路段,屋齡,建坪,房屋總價(萬),車位,房,廳,衛,室,有加蓋,總樓層,起始樓層,最高樓層,物件涵蓋層數,行政區_中山區,行政區_中正區,行政區_信義區,行政區_內湖區,行政區_北投區,行政區_南港區,行政區_士林區,行政區_大同區,行政區_大安區,行政區_文山區,行政區_松山區,行政區_萬華區,房屋類型_公寓,房屋類型_大樓,房屋類型_套房,房屋類型_華廈,房屋類型_透天,單價(萬/坪)
台北市中正區南昌路二段,18.1,47.57,5280.0,1,1.0,2.0,2.0,1.0,0,14.0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,110.9943241538785
台北市中正區汀州路三段,51.0,31.8,2538.0,0,4.0,2.0,2.0,0.0,0,4.0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,79.81132075471697
台北市中正區寧波西街,38.1,33.95,2990.0,0,4.0,2.0,2.0,0.0,0,7.0,5,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,88.07069219440352
台北市中正區羅斯福路一段,16.5,18.13,2990.0,0,2.0,1.0,1.0,0.0,1,14.0,13,13,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,164.9200220628792
台北市中正區濟南路二段,18.3,28.37,2688.0,1,2.0,2.0,1.0,1.0,1,7.0,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,94.74797321113853
台北市中正區信義路二段,17.6,49.7,8680.0,1,3.0,2.0,2.0,2.0,0,13.0,13,13,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,174.64788732394365
台北市中正區信義路二段,47.8,56.99,5588.0,0,4.0,2.0,2.0,0.0,0,12.0,12,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,98.05228987541673
台北市中正區和平西路一段,14.7,87.83,9888.0,1,4.0,2.0,2.0,1.0,0,18.0,11,11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,112.58112262324946
台北市中正區金山南路一段,16.0,47.46,6388.0,1,3.0,2.0,2.0,1.0,0,11.0,5,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,134.59755583649388
台北市中正區新生南路一段,16.2,74.16,9988.0,1,3.0,2.0,2.0,1.0,0,15.0,15,15,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,134.68176914778857
台北市中正區杭州南路一段,2.4,95.31,9980.0,2,4.0,2.0,2.0,0.0,0,22.0,5,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,104.71094323785542
台北市中正區丹陽街,0.8,90.44,13200.0,2,4.0,2.0,3.0,0.0,0,11.0,9,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,145.953118089341
台北市中正區重慶南路三段,14.0,49.73,4360.0,1,3.0,2.0,2.0,0.0,0,15.0,10,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,87.67343655741001
台北市中正區濟南路一段,20.2,83.23,12630.0,1,4.0,2.0,2.0,1.0,0,15.0,13,13,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,151.7481677279827
台北市中正區金山南路一段,16.0,64.51,8800.0,2,4.0,2.0,2.0,0.0,0,11.0,7,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,136.41295923112693
台北市中正區廈門街,58.3,44.7,2928.0,0,4.0,3.0,2.0,1.0,1,4.0,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,65.50335570469798
台北市中正區杭州南路一段,2.4,75.89,11700.0,0,2.0,2.0,2.0,0.0,0,22.0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,154.17050994860983
台北市中正區忠孝東路二段,17.8,91.06,11528.0,1,3.0,2.0,2.0,0.0,0,14.0,6,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,126.59784757302877
台北市中正區羅斯福路一段,16.9,130.24,17588.0,4,4.0,2.0,4.0,2.0,0,14.0,13,13,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,135.04299754299754
台北市中正區泰安街,20.1,122.45,12800.0,3,4.0,2.0,2.0,2.0,1,11.0,5,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,104.53246222948142
台北市中正區重慶南路三段,49.8,38.37,2880.0,0,3.0,2.0,2.0,0.0,0,4.0,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,75.05863956215794
台北市中正區仁愛路二段,45.4,74.28,6998.0,2,3.0,2.0,2.0,1.0,0,12.0,10,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,94.21109316101239
台北市中正區同安街,29.1,28.41,2108.0,1,2.0,1.0,1.0,0.0,1,7.0,6,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,74.19922562478001
台北市中正區青島東路,39.7,36.54,4199.0,0,3.0,2.0,2.0,0.0,0,7.0,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,114.9151614668856
台北市中正區杭州南路一段,2.4,80.84,10588.0,2,0.0,2.0,2.0,0.0,0,22.0,18,18,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,130.9747649678377
台北市中正區水源路,6.9,46.52,4988.0,1,3.0,2.0,2.0,0.0,0,15.0,9,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,107.22269991401546
台北市中正區仁愛路一段,27.6,57.17,6888.0,1,3.0,2.0,2.0,1.0,0,16.0,14,14,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,120.48277068392512
台北市中正區臨沂街,17.7,45.51,4586.0,1,2.0,2.0,1.0,0.0,0,6.0,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.7690617446715
