路段,緯度,經度,行政區_中山區,行政區_中正區,行政區_信義區,行政區_內湖區,行政區_北投區,行政區_南港區,行政區_士林區,行政區_大同區,行政區_大安區,行政區_文山區,行政區_松山區,行政區_萬華區,屋齡,建坪,房屋總價(萬),車位,房,廳,衛,室,有加蓋,總樓層,起始樓層,最高樓層,物件涵蓋層數,房屋類型_公寓,房屋類型_大樓,房屋類型_套房,房屋類型_華廈,房屋類型_透天
台北市中正區南昌路二段,25.02468,121.523568,0,1,0,0,0,0,0,0,0,0,0,0,18.1,47.57,5280,1,1.0,2.0,2.0,1.0,0,14,2,2,1,0,1,0,0,0
台北市中正區汀州路三段,25.01416,121.533201,0,1,0,0,0,0,0,0,0,0,0,0,51.0,31.8,2538,0,4.0,2.0,2.0,0.0,0,4,2,2,1,1,0,0,0,0
台北市中正區寧波西街,25.028701,121.511934,0,1,0,0,0,0,0,0,0,0,0,0,38.1,33.95,2990,0,4.0,2.0,2.0,0.0,0,7,5,5,1,0,0,0,1,0
台北市中正區羅斯福路一段,25.031403,121.519854,0,1,0,0,0,0,0,0,0,0,0,0,16.5,18.13,2990,0,2.0,1.0,1.0,0.0,1,14,13,13,1,0,1,0,0,0
台北市中正區水源路,25.019127,121.523674,0,1,0,0,0,0,0,0,0,0,0,0,23.3,25.03,2188,0,2.0,2.0,1.0,0.0,0,13,4,4,1,0,1,0,0,0
台北市中正區濟南路二段,25.039764,121.532131,0,1,0,0,0,0,0,0,0,0,0,0,18.4,28.37,2688,1,2.0,2.0,1.0,1.0,1,7,3,3,1,0,0,0,1,0
台北市中正區徐州路,25.040084,121.522311,0,1,0,0,0,0,0,0,0,0,0,0,40.6,50.19,4380,0,4.0,2.0,2.0,0.0,0,5,3,3,1,1,0,0,0,0
台北市中正區信義路二段,25.034013,121.529267,0,1,0,0,0,0,0,0,0,0,0,0,17.6,49.7,8680,1,3.0,2.0,2.0,2.0,0,13,13,13,1,0,1,0,0,0
台北市中正區汀州路一段,25.028008,121.508945,0,1,0,0,0,0,0,0,0,0,0,0,48.6,34.91,2200,0,4.0,2.0,2.0,0.0,0,4,4,4,1,1,0,0,0,0
台北市中正區和平西路一段,25.02694,121.517825,0,1,0,0,0,0,0,0,0,0,0,0,14.7,87.83,9888,2,4.0,2.0,2.0,1.0,0,18,11,11,1,0,1,0,0,0
台北市中正區新生南路一段,25.041202,121.532323,0,1,0,0,0,0,0,0,0,0,0,0,16.2,74.16,9988,1,3.0,2.0,2.0,1.0,0,15,15,15,1,0,1,0,0,0
台北市中正區杭州南路一段,25.041466,121.52623,0,1,0,0,0,0,0,0,0,0,0,0,2.4,95.31,9980,2,4.0,2.0,2.0,0.0,0,22,5,5,1,0,1,0,0,0
台北市中正區金山南路一段,25.035173,121.527589,0,1,0,0,0,0,0,0,0,0,0,0,16.0,47.46,6388,1,3.0,2.0,2.0,1.0,0,11,5,5,1,0,1,0,0,0
台北市中正區信義路二段,25.03518,121.525336,0,1,0,0,0,0,0,0,0,0,0,0,47.8,56.99,5588,0,4.0,2.0,2.0,0.0,0,12,12,12,1,0,1,0,0,0
台北市中正區丹陽街,25.039505,121.524095,0,1,0,0,0,0,0,0,0,0,0,0,0.8,90.44,13200,2,4.0,2.0,3.0,0.0,0,11,9,9,1,0,1,0,0,0
