路段,緯度,經度,屋齡,建坪,房屋總價(萬),車位,格局,有加蓋,總樓層,樓層,房屋類型
台北市中山區民族東路,25.067014,121.541946,44.4年,46.25,2750,0,5房3廳2.5衛,1,5,3,['A']
台北市中山區林森北路,25.061156,121.525474,29.6年,9.8,785,0,1房1衛,0,10,9,['M']
台北市中山區新生北路二段,25.055664,121.527192,44.2年,20.33,1998,0,3房2廳2衛,0,12,10,['L']
台北市中山區林森北路,25.06509,121.525797,49.0年,42.19,3300,0,4房1廳3衛,0,11,9,['L']
台北市中山區明水路,25.078436,121.552397,22.9年,118.37,15158,2,4房2廳4衛1室,1,14,9,['L']
台北市中山區八德路二段,25.046341,121.539053,50.0年,55.25,4200,0,4房2廳4衛1室,1,4,4,['A']
台北市中山區長安東路二段,25.04824,121.539353,53.7年,10.66,998,0,1房1衛,0,9,9,['M']
台北市中山區遼寧街,25.055216,121.542458,39.8年,29.78,3380,0,3房2廳1衛,0,15,4,['L']
台北市中山區明水路,25.077722,121.545398,0.8年,41.87,5828,1,2房2廳1.5衛,0,25,8,['L']
台北市中山區新生北路一段,25.050488,121.527874,44.2年,9.45,799,0,1房1廳1衛1室,1,12,5,['L']
台北市中山區吉林路,25.067036,121.532422,40.0年,40.94,3250,0,3房2廳2衛,0,7,4,['M']
台北市中山區新生北路三段,25.064337,121.527343,44.9年,10.96,980,0,1房1廳1衛,0,12,5,['L']
台北市中山區龍江路,25.048711,121.541372,1.8年,17.71,2788,0,1房2廳1衛,0,9,2,['M']
台北市中山區松江路,25.046661,121.532715,40.1年,33.33,2968,0,2房2廳2衛,0,12,8,['L']
台北市中山區南京東路二段,25.053203,121.534139,56.6年,20.21,2098,0,2房2廳1.5衛,0,4,3,['A']
台北市中山區龍江路,25.048711,121.541372,1.8年,18.16,2888,0,1房2廳1衛,0,9,2,['M']
台北市中山區民生東路一段,25.058199,121.524317,45.6年,13.98,1188,0,1房1廳1衛,0,12,6,['L']
台北市中山區長安東路二段,25.048531,121.535375,14.2年,75.69,7950,1,4房2廳2衛,0,15,3,['L']
台北市中山區敬業三路,25.079353,121.555997,25.3年,109.38,11850,2,4房2廳3衛3室,1,8,5,['M']
台北市中山區建國北路二段,25.061091,121.535608,3.5年,71.89,8200,1,3房2廳2衛,0,15,4,['L']
台北市中山區松江路,25.056279,121.531246,17.3年,69.57,7398,2,4房2廳2衛1室,0,14,13,['L']
台北市中山區松江路,25.064133,121.532785,10.7年,37.79,4988,1,2房2廳1衛,0,17,2,['L']
台北市中山區建國北路一段,25.046534,121.537114,7.2年,75.41,9580,1,3房2廳2衛,0,24,8,['L']
台北市中山區建國北路一段,25.047877,121.537443,49.9年,17.99,2480,0,2房2廳1衛,0,4,3,['A']
台北市中山區北安路,25.081854,121.550191,19.8年,101.44,10888,2,4房2廳3衛1室,1,14,6,['L']
台北市中山區北安路,25.081166,121.549719,28.0年,60.34,5480,1,3房2廳2衛,0,5,4,['M']
台北市中山區長安西路,25.049882,121.521002,20.3年,47.32,5000,0,3房2廳2衛,0,14,8,['L']
台北市中山區合江街,25.0606,121.539148,52.8年,32.88,2548,0,1房2廳2衛,0,4,2,['A']
台北市中山區敬業三路,25.078348,121.559771,25.7年,43.29,3750,1,3房2廳2衛,0,12,11,['L']
台北市中山區北安路,25.085899,121.556336,37.5年,35.31,2988,0,3房2廳2衛,0,5,3,['A']
