路段,緯度,經度,屋齡,建坪,房屋總價(萬),車位,格局,有加蓋,總樓層,樓層,房屋類型
台北市信義區吳興街,25.018977,121.570325,39.1年,31.41,1780,0,3房2廳1.5衛,0,5,4,['A']
台北市信義區吳興街,25.02605,121.564044,24.5年,40.87,3980,1,3房2廳2衛,0,13,6,['L']
台北市信義區吳興街,25.01826,121.57185,33.6年,45.54,2880,0,4房2廳2衛1室,0,11,1,['L']
台北市信義區吳興街,25.024788,121.563975,36.4年,36.47,2050,0,3房3廳2衛,1,5,5,['A']
台北市信義區吳興街,25.018671,121.570682,8.5年,57.69,5180,1,3房2廳2衛1室,0,10,6,['M']
台北市信義區基隆路二段,25.031174,121.559428,45.3年,37.03,3500,0,3房2廳2衛,0,7,6,['M']
台北市信義區信義路五段,25.023897,121.571933,42.9年,31.06,1866,0,3房2廳1衛,0,5,4,['A']
台北市信義區莊敬路,25.026913,121.56793,51.7年,26.82,2260,0,3房2廳1.5衛,0,4,3,['A']
台北市信義區信義路五段,25.028285,121.569091,45.6年,25.82,3680,0,3房2廳2衛,0,5,4,['A']
台北市信義區林口街,25.038509,121.580112,56.3年,22.75,3680,0,4房2廳2衛,0,4,3,['A']
台北市信義區永吉路,25.044062,121.575554,32.4年,41.15,4088,0,3房2廳2衛,0,8,4,['M']
台北市信義區吳興街,25.01827,121.572222,16.1年,76.63,5380,3,2房2廳1衛,0,19,18,['L']
台北市信義區吳興街,25.01859,121.570662,8.5年,44.01,3688,1,2房2廳1衛,0,10,2,['M']
台北市信義區和平東路三段,25.019943,121.558884,51.7年,18.01,1688,0,3房3衛,0,4,2,['A']
台北市信義區松隆路,25.045079,121.569242,52.5年,14.76,1698,0,2房2廳1衛,0,4,3,['A']
台北市信義區中坡南路,25.041455810039,121.5866828234,4.9年,68.43,6880,1,3房2廳2衛,0,20,6,['L']
台北市信義區吳興街,25.018447,121.570224,38.5年,27.49,1980,0,3房2廳1衛,0,5,3,['A']
台北市信義區松仁路,25.029152,121.568983,25.0年,125.2,16500,2,3房2廳2衛,0,9,6,['M']
台北市信義區吳興街,25.018788,121.570555,44.4年,39.51,2398,0,2房2廳2衛1室,0,5,1,['A']
台北市信義區吳興街,25.024645,121.566982,56.0年,32.46,2000,0,4房2廳2衛2室,1,4,4,['A']
台北市信義區松山路,25.038347,121.578436,55.0年,26.47,2358,0,3房2廳1衛,0,4,3,['A']
台北市信義區松德路,25.03806,121.575371,0.4年,27.65,4380,0,2房2廳2衛,0,14,12,['L']
台北市信義區基隆路一段,25.034883,121.55884,42.6年,36.08,3688,0,3房2廳2衛,0,12,7,['L']
台北市信義區福德街,25.037776,121.583574,13.9年,117.28,11706,2,2廳,0,13,4,['L']
台北市信義區忠孝東路五段,25.041325,121.574136,18.3年,58.06,6988,2,1房2廳2衛1室,0,9,3,['M']
台北市信義區吳興街,25.021149,121.569248,1.3年,47.45,4388,1,2房2廳2衛1室,0,13,5,['L']
台北市信義區吳興街,25.024453,121.565582,1.7年,39.21,4298,1,3房2廳2衛,0,10,9,['M']
台北市信義區忠孝東路五段,25.036994657838,121.57234603754,28.8年,96.54,15688,1,5房2廳3衛2室,1,2,B2-2,['D']
台北市信義區松德路,25.037481,121.575239,31.4年,59.99,6188,1,4房2廳2衛,0,23,7,['L']
台北市信義區莊敬路,25.026506,121.568136,49.5年,31.72,2880,0,3房2廳2衛1室,1,7,2,['M']
台北市信義區信義路五段,25.033161,121.572013,18.2年,64.89,8500,1,2房2廳2衛1室,0,27,4,['L']
台北市信義區信義路六段,25.035347,121.575373,31.5年,67.69,5888,1,4房2廳2衛1室,0,16,2,['L']
台北市信義區松德路,25.037732,121.574976,31.4年,83.46,6288,0,4房2廳2衛1室,0,24,3,['L']
台北市信義區吳興街,25.025659,121.564818,34.4年,33,2600,0,3房2廳2衛,0,5,1,['M']
台北市信義區莊敬路,25.029389,121.563813,39.6年,44.01,4380,0,4房2廳2衛,0,7,4,['M']
台北市信義區永吉路,25.045424,121.572914,3.2年,91.93,10988,2,4房2廳3衛,0,21,18,['L']
台北市信義區信義路五段,25.025618,121.570319,20.8年,44.76,4450,1,3房2廳2衛,0,13,3,['L']
台北市信義區忠孝東路五段,25.038181411779,121.57229350471,27.6年,98.32,23800,1,6房2廳4衛1室,0,8,1,['M']
台北市信義區松勤街,25.03219,121.561041,18.2年,15.31,2488,0,1房1廳1衛,0,19,15,['C']
台北市信義區松山路,25.044574,121.577526,38.7年,38.2,4180,0,5房3廳3衛,1,16,16,['L']
台北市信義區嘉興街,25.02701,121.556258,53.2年,36.45,2730,0,3房2廳2衛,0,4,3,['A']
台北市信義區松勤街,25.03219,121.561041,18.2年,38.52,5388,1,1房1廳1衛,0,19,18,['L']
台北市信義區永吉路,25.04502,121.57661,39.6年,39.76,4580,0,3房2廳2衛1室,0,14,10,['L']
台北市信義區忠孝東路五段,25.038376,121.573401,19.5年,102.43,11388,3,4房2廳2衛1室,0,9,4,['M']
台北市信義區莊敬路,25.029145,121.56277,40.6年,55.57,5980,0,5房2廳2衛,0,7,6,['M']
台北市信義區吳興街,25.020707,121.569281,32.3年,97.88,5900,2,3房2廳3衛2室,0,15,3,['L']
台北市信義區信義路五段,25.033362644565,121.57200548018,18.2年,88.62,14450,1,2廳1衛,0,27,9,['L']
台北市信義區虎林街,25.044039,121.577043,43.7年,32.36,2580,0,3房2廳1衛1室,0,5,2,['A']
台北市信義區信義路五段,25.033323700058,121.57203770265,18.2年,190.36,29400,3,4廳2衛,0,27,9,['L']
台北市信義區忠孝東路五段,25.039856,121.575129,41.2年,65.02,4500,1,3房2廳2衛1室,0,7,B1-1,['M']
台北市信義區信義路五段,25.033912,121.573922,19.2年,27.82,3200,0,1房1廳1衛1室,0,19,8,['L']
台北市信義區富陽街,25.022445,121.556272,50.1年,31.66,2058,0,6房2廳3衛,1,4,4,['A']
台北市信義區信義路五段,25.033549,121.573741,16.7年,14.47,1770,0,1房1廳1衛,0,19,4,['L']
台北市信義區松德路,25.036225,121.573687,35.0年,79.22,8725,1,4房2廳3衛1室,0,12,4,['L']
台北市信義區嘉興街,25.025977,121.556616,49.2年,28.11,2480,0,3房2廳2衛,0,4,1,['A']
台北市信義區忠孝東路五段,25.038671,121.572672,19.6年,127.6,20888,3,4房2廳4衛,1,14,6,['L']
台北市信義區忠孝東路五段,25.039891,121.575441,41.2年,35.13,3900,0,5房3廳3衛,1,7,7,['M']
台北市信義區信義路五段,25.03348,121.571026,18.7年,124.01,20800,2,3房2廳4衛3室,0,27,19,['L']
台北市信義區信義路五段,25.032304,121.563605,27.9年,52.08,6188,1,3房2廳2衛,0,8,2,['M']
台北市信義區逸仙路,25.039919,121.561666,41.1年,43.06,6980,0,3房2廳2衛,0,12,6,['L']
台北市信義區信義路五段,25.033303820953,121.57215949353,18.2年,101.75,14950,2,2廳1衛,0,27,9,['L']
台北市信義區松山路,25.044535,121.577526,38.7年,43.65,3788,0,4房2廳2衛,0,16,2,['L']
台北市信義區松德路,25.034897,121.574145,26.7年,72.24,9988,2,4房2廳2衛,0,16,14,['L']
台北市信義區松山路,25.037082,121.578237,57.4年,24.9,2156,0,2房2廳1衛,0,4,2,['A']
台北市信義區仁愛路四段,25.037341,121.557863,13.1年,60.28,13500,1,3房2廳2衛,0,15,3,['L']
台北市信義區松平路,25.030069438505,121.56353620233,18.3年,55.91,5900,1,2房2廳2衛,0,8,3,['M']
台北市信義區永吉路,25.045566,121.567628,18.4年,52.43,5226,1,3房2廳2衛,0,12,12,['L']
台北市信義區富陽街,25.02307,121.556884,55.9年,26.31,1838,0,2房2廳1衛2室,0,4,4,['A']
台北市信義區吳興街,25.021992,121.568105,2.1年,14.14,1880,0,1房1廳1衛,0,8,1,['M']
台北市信義區吳興街,25.030657,121.559788,49.1年,26.5,3200,0,3房2廳1衛,0,4,1,['A']
台北市信義區虎林街,25.043369,121.576193,41.9年,36.15,3580,0,3房2廳1衛,0,7,7,['M']
台北市信義區信義路五段,25.033324989984,121.57242951815,18.2年,88.62,13280,1,3房2廳2衛,0,27,22,['L']
台北市信義區信義路六段,25.032305,121.575608,43.1年,28.39,2100,0,3房2廳2衛,0,5,4,['A']
台北市信義區基隆路二段,25.025808,121.554854,44.3年,23.42,3350,0,2房2廳1衛,0,12,8,['L']
台北市信義區光復南路,25.030733,121.557586,17.6年,28.88,3500,0,1房1廳1衛1室,0,18,6,['L']
台北市信義區信義路五段,25.033912,121.573922,19.2年,32.77,3488,1,2房1廳1衛,0,19,17,['L']
台北市信義區松德路,25.03806,121.575371,0.4年,49.76,6688,1,3房2廳2衛,0,14,7,['L']
台北市信義區虎林街,25.038565,121.573657,49.1年,24.85,2700,0,4房1衛,0,5,4,['A']
台北市信義區松德路,25.038032,121.575326,0.4年,43.76,5888,1,3房2廳2衛,0,14,8,['L']
台北市信義區松勇路,25.033759,121.570075,1.6年,93.44,18888,0,1廳,0,16,4,['L']
台北市信義區吳興街,25.017845,121.570333,33.4年,52.97,3988,1,3房2廳2衛,0,5,1,['M']
台北市信義區信義路五段,25.027512,121.569225,43.3年,36.83,2850,0,7房3廳3衛,1,5,5,['A']
台北市信義區富陽街,25.022855,121.556216,43.7年,37.11,3200,0,3房2廳2衛,0,7,5,['M']
台北市信義區吳興街,25.020465,121.569483,32.3年,100.4,5688,2,4房2廳2衛,0,15,2,['L']
台北市信義區信義路五段,25.024951,121.569986,44.1年,37.26,3100,0,3房2廳2衛,0,7,2,['M']
台北市信義區虎林街,25.046953353862,121.57680603972,39.0年,47.21,3450,0,4房2廳2衛1室,0,5,4,['A']
台北市信義區松勇路,25.033764,121.570222,1.6年,107.06,21400,1,3房2廳3衛,0,16,8,['L']
台北市信義區信義路五段,25.033912,121.573922,19.2年,35.92,3468,1,2房1廳1衛,0,19,9,['L']
台北市信義區永吉路,25.045551,121.579445,55.6年,21.6,2098,0,3房2廳1衛,0,4,3,['A']
台北市信義區基隆路二段,25.024958,121.553646,15.5年,51.27,4850,1,2房2廳2衛,0,15,5,['L']
台北市信義區基隆路二段,25.024481,121.553038,43.0年,33.38,2880,0,3房2廳2衛,0,12,5,['L']
台北市信義區永吉路,25.044025,121.569263,16.1年,34.99,4158,1,2房2廳1衛,0,6,6,['M']
台北市信義區松德路,25.038115,121.575467,0.4年,28.83,3750,1,2房2廳1衛,0,14,9,['L']
台北市信義區福德街,25.037776,121.583574,13.9年,121.54,13506,2,3房2廳2衛,0,13,5,['L']
台北市信義區忠孝東路五段,25.04052,121.584216,55.2年,23.99,2160,0,2房2廳1衛,0,4,3,['A']
