路段,緯度,經度,屋齡,建坪,房屋總價(萬),車位,格局,有加蓋,總樓層,樓層,房屋類型
台北市內湖區文湖街,25.088858,121.56076,32.2年,43.44,3280,1,3房2廳2衛,0,9,7,['M']
台北市內湖區內湖路一段,25.085215,121.569396,43.0年,25.14,1688,0,3房2廳1衛,0,5,2,['A']
台北市內湖區民權東路六段,25.072799,121.605593,39.4年,46.8,3380,0,3房2廳2衛2室,0,12,12,['L']
台北市內湖區內湖路一段,25.084078,121.563618,29.6年,19.57,2380,0,2房2廳1衛,0,7,6,['M']
台北市內湖區內湖路二段,25.084284,121.588143,16.5年,76.32,6748,1,4房2廳3衛1室,0,11,5,['L']
台北市內湖區民權東路六段,25.068801,121.590052,17.2年,58.27,4398,1,3房2廳2衛,0,14,8,['L']
台北市內湖區內湖路二段,25.082481,121.59074,1.5年,54,5388,1,3房2廳2衛,0,15,5,['L']
台北市內湖區康寧路一段,25.0774,121.594229,48.4年,22.93,1980,0,3房2廳1.5衛,1,4,1,['A']
台北市內湖區內湖路一段,25.081371,121.579277,48.3年,28.69,2698,0,3房2廳1.5衛,0,4,2,['A']
台北市內湖區民權東路六段,25.071663,121.605932,11.3年,118.68,8288,3,4房2廳3衛1室,0,13,11,['L']
台北市內湖區成功路五段,25.075361,121.608112,28.8年,44.34,3666,1,3房2廳2衛,0,11,11,['L']
台北市內湖區文德路,25.076409,121.584604,23.4年,40.75,3588,1,1房2廳1衛,0,14,14,['L']
台北市內湖區文德路,25.075454,121.580029,42.1年,37.91,3038,0,3房2廳1衛,0,7,6,['M']
台北市內湖區民權東路六段,25.069167,121.608759,37.8年,35.97,2580,0,3房2廳2衛,0,5,3,['A']
台北市內湖區星雲街,25.078686,121.593709,22.2年,53.17,5288,1,4房2廳2衛,0,14,2,['L']
台北市內湖區內湖路二段,25.080145,121.582393,9.4年,86.7,13200,2,4房2廳3衛,0,10,5,['M']
台北市內湖區成功路五段,25.075232730526,121.60836218697,28.8年,60.37,4750,1,4房2廳2衛,0,11,1,['L']
台北市內湖區陽光街,25.075092,121.58447,38.1年,33.22,2980,0,5房4廳3衛,1,5,5,['A']
台北市內湖區東湖路,25.069768,121.613275,34.3年,59.33,4680,1,4房2廳2衛,0,15,13,['L']
台北市內湖區成功路二段,25.069707,121.590971,10.7年,109.4,8688,2,4房2廳3衛,0,14,14,['L']
台北市內湖區成功路五段,25.074435,121.606375,25.4年,34.5,2988,1,2房2廳1衛,0,11,3,['L']
台北市內湖區文德路,25.077255,121.584303,16.0年,31.23,2798,1,2房1廳1衛1室,0,12,5,['L']
台北市內湖區五分街,25.067202,121.616934,18.7年,37.9,2998,2,2房2廳1衛,0,12,11,['L']
台北市內湖區康寧路三段,25.07186,121.61165,41.3年,33.09,1980,0,3房2廳2衛,0,5,5,['A']
台北市內湖區康樂街,25.075994,121.621142,14.1年,41.74,2700,1,2房2廳1衛,0,5,3,['M']
台北市內湖區文德路,25.078271,121.582216,16.2年,113.75,9880,3,4房2廳3衛,0,17,3,['L']
台北市內湖區內湖路二段,25.080145,121.582393,9.4年,87.05,13600,2,3房2廳3衛1室,0,10,8,['M']
台北市內湖區星雲街,25.07946,121.595055,26.8年,49.02,3600,0,3房2廳2衛,0,12,4,['L']
台北市內湖區星雲街,25.0789,121.592731,37.4年,30.85,2088,0,3房2廳2衛,0,5,4,['A']
台北市內湖區星雲街,25.080522,121.597161,30.3年,19.38,2080,0,1房1廳1衛,0,13,2,['L']
台北市內湖區內湖路二段,25.082010459751,121.58070925202,41.7年,58.23,3500,1,4房2廳2衛,0,7,2,['M']
台北市內湖區內湖路二段,25.083126,121.580662,43.3年,40.86,2980,0,3房2廳2衛,0,12,1,['L']
台北市內湖區內湖路二段,25.083507,121.592038,24.0年,41.17,3880,0,3房2廳2衛,0,14,4,['L']
台北市內湖區金湖路,25.073616,121.604526,26.9年,14.65,1698,0,1房1廳1衛,0,10,10,['M']
台北市內湖區內湖路一段,25.084164,121.569671,48.2年,28.12,1900,0,3房2廳1衛,0,4,2,['A']
台北市內湖區麗山街,25.081847,121.572807,44.1年,32.14,2380,0,3房2廳2衛,0,5,2,['A']
台北市內湖區內湖路三段,25.088232,121.584273,45.4年,36.66,1688,0,4房2廳2衛,0,5,4,['A']
台北市內湖區陽光街,25.074415,121.585434,6.7年,20.16,1980,1,1房1廳1衛1室,0,5,2,['M']
台北市內湖區文德路,25.077086,121.584971,43.0年,34.3,2288,0,3房2廳2衛,0,5,4,['A']
台北市內湖區內湖路一段,25.085687,121.559272,37.8年,47.4,3480,0,3房2廳2衛1室,0,5,3,['A']
台北市內湖區內湖路二段,25.083611,121.591412,58.8年,36.6,2815,0,4房3廳3衛,0,3,1-3,['D']
台北市內湖區內湖路一段,25.081258,121.572261,47.8年,34.03,2650,0,4房2廳2衛,0,5,4,['A']
台北市內湖區成功路四段,25.081385,121.591787,42.4年,47.13,3980,0,3房2廳2衛,0,14,5,['L']
台北市內湖區安泰街,25.073509,121.618557,44.2年,33.58,1798,0,3房3廳2衛,1,5,3,['A']
台北市內湖區內湖路二段,25.082276,121.590337,9.8年,44.89,4680,0,3房2廳2衛1室,0,13,6,['L']
台北市內湖區康寧路三段,25.074572489624,121.61170727769,38.9年,32.61,2188,0,3房2廳2衛,0,5,4,['A']
台北市內湖區康樂街,25.071681,121.619712,31.7年,35.9,2280,0,3房2廳2衛,0,7,4,['M']
台北市內湖區內湖路二段,25.083144,121.580965,43.3年,67.38,5100,0,4房2廳3衛,0,12,4,['L']
台北市內湖區內湖路二段,25.081742,121.590259,11.4年,55.84,5188,1,3房2廳2衛,0,12,8,['L']
台北市內湖區文德路,25.077088,121.585027,43.0年,33.68,2199,0,3房2廳2衛,0,5,5,['A']
台北市內湖區成功路四段,25.083593,121.593902,8.0年,72.1,7880,1,1廳,0,29,22,['L']
台北市內湖區內湖路三段,25.086086,121.591167,45.9年,24.75,1428,0,3房2廳1衛,0,5,3,['A']
台北市內湖區新豐街,25.060746,121.585115,11.4年,93.88,7680,2,3房2廳3衛,0,13,4,['L']
台北市內湖區內湖路三段,25.086642,121.590694,49.2年,33.53,1988,0,3房2廳2衛1室,0,4,3,['A']
台北市內湖區內湖路二段,25.082007,121.590452,20.4年,32.86,2835,0,2房2廳1衛1室,1,12,2,['L']
台北市內湖區港華街,25.083762,121.574426,45.7年,35.84,2180,0,3房2廳3衛,0,5,4,['A']
台北市內湖區內湖路一段,25.082473,121.570207,14.2年,80.22,6998,1,3房2廳2衛,0,14,6,['L']
台北市內湖區大湖山莊街,25.088362,121.598567,32.6年,12.9,1200,0,1房2廳1衛,0,8,6,['M']
台北市內湖區民權東路六段,25.066595,121.599913,15.8年,60.9,5490,1,3房2廳2衛,0,10,6,['M']
台北市內湖區民權東路六段,25.070274,121.605926,31.2年,11.97,1168,0,2房1廳1衛,1,7,3,['M']
台北市內湖區成功路四段,25.08235,121.591621,31.7年,39,3200,0,3房2廳2衛,1,10,10,['M']
台北市內湖區康寧路三段,25.070964,121.61008,18.8年,74.82,7988,2,3房2廳3衛1室,0,11,2,['L']
台北市內湖區安泰街,25.07788,121.616697,34.6年,34.73,1588,0,3房2廳2衛,0,5,3,['A']
台北市內湖區內湖路三段,25.08864,121.590828,31.6年,24.77,2100,0,2房2廳1衛,0,20,14,['L']
台北市內湖區內湖路二段,25.082276,121.590337,9.8年,37.71,3680,1,2房2廳1衛,0,13,5,['L']
台北市內湖區成功路三段,25.081741,121.590509,34.3年,15.91,1288,1,1房1廳1衛,0,10,9,['M']
台北市內湖區成功路三段,25.081429,121.590743,36.3年,54.03,4580,1,2房2廳2衛1室,0,12,6,['L']
台北市內湖區文德路,25.079574,121.588941,18.3年,115.82,9880,2,3房2廳2衛3室,0,11,11,['L']
台北市內湖區民權東路六段,25.067847104371,121.59198827116,7.6年,40.69,3480,2,2房2廳1衛,0,15,10,['L']
台北市內湖區成功路二段,25.069707,121.590971,10.7年,109.4,8900,2,3房2廳3衛1室,0,14,8,['L']
台北市內湖區成功路五段,25.074286,121.607325,25.2年,91.46,7900,2,5房2廳2衛,0,14,11,['L']
台北市內湖區金龍路,25.087985,121.585356,32.3年,40.67,2880,1,3房2廳2衛,0,12,12,['L']
台北市內湖區康寧路三段,25.070844,121.609489,23.8年,52.44,4480,1,3房2廳2衛,0,10,2,['M']
台北市內湖區民權東路六段,25.065763,121.592451,10.0年,60.73,4680,1,3房2廳2衛,0,11,3,['L']
台北市內湖區康樂街,25.07205,121.618801,28.1年,32.06,2480,1,2房2廳1衛1室,0,13,4,['L']
台北市內湖區金湖路,25.073718,121.602979,24.1年,66.06,5288,1,4房2廳2衛,0,12,3,['L']
台北市內湖區星雲街,25.078924,121.593504,22.2年,74.14,6288,1,4房2廳3衛,0,14,4,['L']
台北市內湖區成功路四段,25.083466,121.592764,26.2年,45.73,4250,0,4房2廳2衛,0,14,2,['L']
台北市內湖區南京東路六段,25.05853,121.582838,13.2年,89.75,11888,1,4房2廳2衛,0,18,15,['L']
台北市內湖區星雲街,25.078924,121.593504,22.2年,87.16,6588,2,4房2廳2衛,0,14,2,['L']
台北市內湖區成功路四段,25.082073,121.591614,36.4年,34.99,3098,0,3房2廳1衛1室,0,16,8,['L']
台北市內湖區民權東路六段,25.067592,121.591999,7.6年,27.57,2998,0,1房2廳1衛,0,15,14,['L']
台北市內湖區南京東路六段,25.056718,121.579756,17.2年,49.29,3879,1,3房2廳2衛,0,7,3,['M']
台北市內湖區文湖街,25.091467,121.560067,13.9年,56.27,3705,1,3房2廳2衛1室,0,7,2,['M']
台北市內湖區內湖路二段,25.082923,121.580267,3.1年,28.28,2270,1,1房1廳1衛,0,5,4,['M']
台北市內湖區成功路四段,25.08658949133,121.598198,39.7年,99.14,4979,1,4房2廳4衛2室,1,4,B2-4,['D']
台北市內湖區星雲街,25.080666,121.596738,30.3年,24.58,2568,0,2房2廳1.5衛1室,0,16,6,['L']
台北市內湖區新明路,25.054518,121.579268,6.8年,33.69,2880,1,1房2廳1衛,0,20,18,['L']
台北市內湖區金龍路,25.087985,121.585356,32.3年,29.47,1996,1,1房1廳1衛1室,0,12,10,['L']
台北市內湖區內湖路二段,25.08377,121.580896,40.3年,80.14,6250,1,4房2廳2衛,0,7,5-6,['M']
台北市內湖區康樂街,25.073757,121.620262,7.6年,68.22,4980,1,3房2廳2衛1室,0,9,5,['M']
台北市內湖區文湖街,25.090903,121.560086,22.8年,39.6,2880,1,3房2廳2衛,0,8,6,['M']
台北市內湖區金龍路,25.088719,121.586983,33.6年,29.73,2180,1,2房2廳2衛,0,12,4,['L']
台北市內湖區金龍路,25.087985,121.585356,32.3年,19.58,1758,0,2房1廳1衛,0,12,6,['L']
台北市內湖區新豐街,25.060437,121.583634,10.8年,45.15,3698,1,1房2廳1衛,0,10,3,['M']
台北市內湖區新豐街,25.059128,121.582741,5.8年,52.12,4980,1,2房2廳2衛1室,0,11,9,['L']
台北市內湖區安泰街,25.077584,121.616432,16.5年,47.74,2898,1,2房2廳1衛,0,9,9,['M']
台北市內湖區陽光街,25.075707,121.585093,42.7年,28.54,2350,0,3房2廳2衛,0,5,3,['A']
台北市內湖區民權東路六段,25.067373,121.591556,10.6年,82.48,8080,1,4房2廳3衛,0,12,5,['L']
台北市內湖區康樂街,25.075994,121.621142,14.1年,46.45,3779,1,2房2廳2衛2室,1,5,1,['M']
台北市內湖區成功路五段,25.075361,121.608112,28.8年,64.38,6280,1,4房2廳2衛,0,11,10,['L']
台北市內湖區民權東路六段,25.069112,121.592187,18.1年,78.48,6260,2,3房2廳3衛,0,15,11,['L']
台北市內湖區內湖路三段,25.088336,121.593205,8.9年,78.11,6999,2,3房2廳2衛,0,19,15,['L']
台北市內湖區大湖山莊街,25.087716,121.601893,38.8年,34.87,2300,0,5房2廳4衛,1,5,5,['A']
台北市內湖區民權東路六段,25.066113,121.598111,11.4年,53.96,4758,1,3房2廳2衛,0,11,10,['L']
台北市內湖區內湖路三段,25.088366,121.588722,32.8年,27.38,1888,0,3房2廳2衛,0,5,-1,['M']
台北市內湖區康寧路三段,25.073242,121.612313,31.2年,36.32,2680,0,3房2廳2衛,0,10,2,['M']
台北市內湖區成功路五段,25.076274,121.607591,25.4年,47.97,4500,0,3房2廳2.5衛1室,1,19,8-9,['L']
台北市內湖區民權東路六段,25.066628,121.599158,18.6年,44.52,3580,1,2房2廳2衛,0,11,2,['L']
台北市內湖區成功路二段,25.073647,121.589697,13.3年,97.7,7600,2,3房2廳2衛,0,14,14,['L']
台北市內湖區內湖路二段,25.082007,121.590452,20.4年,36.65,2996,0,2房2廳1衛1室,1,12,2,['L']
台北市內湖區東湖路,25.072088,121.615399,38.0年,48.62,2488,0,7房2廳5衛,1,5,5,['A']
台北市內湖區內湖路一段,25.086402,121.557428,35.7年,60.78,4380,1,3房2廳2衛,0,5,5,['M']
台北市內湖區文湖街,25.090957,121.559369,10.4年,99.46,6300,3,4房2廳2衛,0,11,6,['L']
