路段,緯度,經度,屋齡,建坪,房屋總價(萬),車位,格局,有加蓋,總樓層,樓層,房屋類型
台北市北投區清江路,25.131577,121.502189,24.1年,57.59,3200,1,3房2廳2衛,0,14,2,['L']
台北市北投區石牌路二段,25.123473,121.52305,33.4年,21.88,1388,0,2房1廳1衛,0,5,5,['M']
台北市北投區光明路,25.136077,121.50744,43.8年,48.82,3280,0,2房2廳2衛,0,7,1,['M']
台北市北投區中山北路七段,25.127583,121.530385,41.5年,28.68,1800,0,3房2廳2衛,1,7,1,['M']
台北市北投區中央北路一段,25.134891,121.499223,13.9年,61.46,5168,1,4房2廳2衛,0,15,8,['L']
台北市北投區溫泉路,25.135625,121.504762,45.1年,11.62,758,0,1房2廳1衛,0,7,3,['M']
台北市北投區中央北路二段,25.13974,121.489199,10.6年,66.86,4180,1,4房2廳2衛,0,14,7,['L']
台北市北投區大業路,25.134588,121.496671,2.4年,50.49,4680,1,3房2廳2衛,0,24,18,['L']
台北市北投區杏林一路,25.140809,121.497916,59.2年,18.2,3600,0,2房2廳1衛,1,1,1,['D']
台北市北投區磺港路,25.131156,121.503483,0.7年,53.58,4500,1,2房2廳2衛,0,15,2,['L']
台北市北投區中和街,25.144288,121.494533,47.5年,23.23,1100,0,3房2廳1衛,0,4,3,['A']
台北市北投區致遠一路二段,25.113717,121.513035,1.6年,69.67,7280,1,3房2廳1衛1室,0,14,3,['L']
台北市北投區大同街,25.133355,121.49955,1.7年,49.06,4436,1,3房2廳2衛,0,18,7,['L']
台北市北投區大業路,25.137267,121.498504,29.4年,56.54,4280,1,3房2廳3衛1室,0,9,7,['M']
台北市北投區光明路,25.136187,121.503452,8.6年,50.77,3680,1,2房2廳2衛,0,24,8,['L']
台北市北投區大屯路,25.142882,121.500355,13.5年,46.15,2980,1,3房2廳2衛,1,5,3,['M']
台北市北投區三合街一段,25.12912,121.504147,10.7年,49.08,3800,1,1房2廳2衛2室,0,9,6,['M']
台北市北投區同德街,25.125242,121.528938,21.0年,85.57,5300,2,3房2廳2衛1室,0,7,6,['M']
台北市北投區懷德街,25.1125,121.519643,15.6年,80.28,6980,2,3房2廳2衛1室,1,12,6,['L']
台北市北投區三合街一段,25.125672,121.505306,9.7年,96.59,8580,2,3房2廳3衛,0,9,9,['M']
台北市北投區行義路,25.129244,121.529633,17.8年,63.35,4588,1,3房2廳2衛2室,0,5,1,['M']
台北市北投區行義路,25.129102,121.530001,17.4年,92.93,5600,2,3房2廳3衛,0,5,4,['M']
台北市北投區三合街二段,25.126999,121.502656,30.5年,32.99,2680,1,2房2廳2衛,0,7,3,['M']
台北市北投區磺港路,25.129575724402,121.50318494623,11.7年,80.26,6688,1,4房2廳3衛,0,14,12,['L']
台北市北投區公館路,25.125277213898,121.50844033096,45.2年,42.86,1980,0,3房2廳2衛,0,5,4,['A']
台北市北投區中央北路四段,25.127753,121.467755,40.7年,36.95,1850,0,3房2廳2衛2室,0,5,4,['A']
台北市北投區溫泉路,25.136456603403,121.51242717847,11.5年,96.28,5800,2,1廳,0,5,4,['M']
台北市北投區溫泉路,25.136425039025,121.51239762778,11.5年,96.28,5800,2,1廳,0,5,5,['M']
台北市北投區大興街,25.130882,121.50187,1.2年,56.88,4650,1,3房2廳2衛,0,27,6,['L']
台北市北投區公館路,25.124852524914,121.50727898317,35.4年,51.48,3480,0,4房2廳2衛,0,7,2,['M']
台北市北投區承德路七段,25.113092,121.509255,1.7年,98.33,7980,2,4房2廳3衛,0,19,10,['L']
台北市北投區公館路,25.126219,121.50822,10.6年,36.11,3186,1,2房2廳1衛,0,7,6,['M']
台北市北投區溫泉路,25.135842,121.512381,11.9年,91.69,5980,2,3房2廳2衛2室,0,5,2,['M']
台北市北投區中央北路三段,25.139161,121.485555,31.1年,36.24,2420,1,3房2廳2衛,0,7,3,['M']
台北市北投區中央北路二段,25.136787,121.495323,48.6年,23.63,1500,0,2房3廳2衛,1,5,5,['A']
台北市北投區致遠二路,25.114723,121.511133,17.7年,66.55,5380,1,4房2廳2衛,0,7,2,['M']
台北市北投區稻香路,25.144341,121.488975,4.2年,35.14,2388,1,2房2廳1衛,0,5,1,['M']
台北市北投區立農街一段,25.119824,121.503513,53.4年,25.18,2858,0,3房2廳1衛,0,4,1,['A']
台北市北投區尊賢街,25.117763,121.505883,48.9年,22.37,1588,0,2房1廳1衛,0,4,3,['A']
台北市北投區溫泉路,25.140007,121.51188,48.4年,10.53,399,0,1房1廳1衛,0,7,1,['M']
台北市北投區中和街,25.139458,121.501199,1.6年,35.35,3188,1,3房2廳2衛,0,14,12,['L']
台北市北投區復興一路,25.141767,121.503547,71.9年,29.65,5200,0,4房2廳1.5衛,1,1,1,['D']
台北市北投區稻香路,25.142236,121.488258,4.5年,49.31,2408,2,2房2廳1衛,0,5,4,['M']
台北市北投區稻香路,25.142979,121.487983,4.4年,37.57,2350,1,2房2廳1衛,0,5,3,['M']
台北市北投區大業路,25.134774,121.496685,2.4年,35.66,2998,1,1房2廳1衛1室,0,24,23,['L']
台北市北投區中和街,25.144304,121.496953,52.8年,29.04,2980,0,5房2廳3衛1室,1,2,1-2,['D']
台北市北投區公館路,25.120428,121.502324,33.1年,103.7,5800,2,4房2廳2衛2室,0,14,10,['L']
台北市北投區行義路,25.128992,121.529483,44.1年,58.91,2400,0,3房2廳2衛,0,7,2,['M']
台北市北投區崗山路,25.14092,121.487379,6.9年,36.98,2288,1,2房1廳1衛,0,7,6,['M']
台北市北投區溫泉路,25.135452,121.504365,30.7年,17.57,1218,0,1房2廳1衛,0,7,3,['M']
台北市北投區福美路,25.100864,121.504645,8.3年,57.41,4580,1,4房2廳2衛,0,10,8,['M']
台北市北投區民族街,25.133721,121.506756,45.0年,39.18,1600,0,3房2廳2衛1室,0,5,5,['A']
台北市北投區實踐街,25.114861,121.507699,49.4年,27.26,1850,0,3房2廳2衛,0,5,4,['A']
台北市北投區天母西路,25.118086,121.523008,19.3年,127.55,10800,2,3房2廳4衛3室,1,23,4,['L']
台北市北投區知行路,25.119254,121.466256,47.2年,32.07,1080,0,3房2廳1衛,0,5,5,['A']
台北市北投區奇岩路,25.133417,121.507276,13.4年,28.48,1314,1,1房1衛,0,5,5,['M']
台北市北投區中山北路七段,25.127634,121.530513,41.5年,48.18,2388,1,3房2廳2衛1室,0,7,1,['M']
台北市北投區中央北路四段,25.133852,121.475947,41.6年,35.31,1698,0,3房1廳1衛,0,5,4,['A']
台北市北投區行義路,25.124777,121.52678,12.9年,102.05,6400,3,4房2廳2衛1室,0,15,9,['L']
