路段,緯度,經度,屋齡,建坪,房屋總價(萬),車位,格局,有加蓋,總樓層,樓層,房屋類型
台北市南港區舊莊街一段,25.037302,121.624108,36.1年,26.02,1380,0,3房2廳1衛,0,5,5,['A']
台北市南港區福德街,25.038706,121.590042,48.8年,21.94,1688,0,5房3廳2衛,1,4,4,['A']
台北市南港區東新街,25.044827,121.592917,41.3年,31.68,1880,0,5房3廳3衛,1,5,5,['A']
台北市南港區興華路,25.057507,121.605277,17.0年,70.4,5088,2,3房2廳2衛1室,0,12,3,['L']
台北市南港區重陽路,25.060282,121.611828,9.9年,76.04,6380,1,4房2廳2衛,0,15,10,['L']
台北市南港區向陽路,25.054815,121.597658,1.3年,74.77,7380,1,3房2廳2衛,0,15,5,['L']
台北市南港區重陽路,25.055882,121.595294,4.1年,54.93,5888,1,3房2廳2衛,0,14,9,['L']
台北市南港區經貿二路,25.061246,121.616226,11.3年,204.35,18600,4,5房2廳5衛3室,0,21,19,['L']
台北市南港區研究院路二段,25.044183,121.615029,15.1年,75.27,4880,1,3房2廳2衛1室,0,15,4,['L']
台北市南港區舊莊街一段,25.040852,121.61914,1.9年,42.68,3188,1,2房2廳1衛,0,15,12,['L']
台北市南港區研究院路三段,25.035814,121.617063,15.5年,40.09,2083,1,2房2廳2衛,0,5,4,['M']
台北市南港區興南街,25.055505,121.601284,32.1年,28.45,2558,1,2房2廳1.5衛,0,11,4,['L']
台北市南港區經貿二路,25.061819,121.615308,13.3年,109.5,7999,1,1廳,0,14,11,['L']
台北市南港區舊莊街一段,25.040828,121.618877,52.5年,29.78,2300,0,5房2廳2衛,1,4,1,['A']
台北市南港區舊莊街一段,25.03976,121.622401,36.8年,34.24,1850,0,4房2廳2衛,0,5,2,['A']
台北市南港區向陽路,25.058273,121.596563,17.4年,41.56,3098,1,2房2廳1衛1室,0,9,6,['M']
台北市南港區東明街,25.054296,121.601316,16.5年,34.24,3400,1,2房2廳1衛,0,9,8,['M']
台北市南港區經貿二路,25.062486,121.614031,12.0年,115.98,11688,2,3房2廳2衛,0,21,7,['L']
台北市南港區昆陽街,25.04833,121.59327,5.4年,41.38,3988,1,3房2廳1.5衛,0,12,5,['L']
台北市南港區南深路,25.036677,121.620821,27.0年,17.78,1100,0,1房1廳1衛,0,10,3,['M']
台北市南港區向陽路,25.054977,121.597673,1.3年,73.23,7550,1,2房2廳,0,15,2,['L']
台北市南港區經貿二路,25.06114,121.614489,13.1年,35.54,3480,1,2房2廳1衛,0,13,5,['L']
台北市南港區研究院路二段,25.036762,121.614125,41.4年,31.24,2180,0,3房2廳2衛,0,5,1,['A']
台北市南港區南港路二段,25.055686,121.605142,17.3年,50.72,4650,1,3房2廳2衛,0,12,11,['L']
台北市南港區園區街,25.059774,121.613515,16.8年,56.16,4788,2,3房2廳2衛,0,14,8,['L']
台北市南港區向陽路,25.056383,121.594047,17.0年,34.65,3300,1,2房2廳1衛,0,12,6,['L']
台北市南港區松河街,25.05886712415,121.59449435582,17.7年,69.92,4588,2,3房2廳2衛,0,9,2,['M']
台北市南港區港東街,25.05602,121.620223,0.5年,25.49,3420,0,2房2廳2衛,0,10,7,['M']
台北市南港區三重路,25.060175,121.612754,14.1年,69.48,6400,1,3房2廳2衛,0,13,4,['L']
台北市南港區東新街,25.046443,121.588552,16.0年,36.72,3580,1,2房2廳1衛,0,7,4,['M']
台北市南港區成福路,25.040886,121.588869,30.3年,39.84,3225,1,3房2廳2衛,0,18,16,['L']
台北市南港區向陽路,25.056383,121.594047,17.0年,41.99,3688,1,1房2廳1衛1室,0,12,6,['L']
