路段,緯度,經度,屋齡,建坪,房屋總價(萬),車位,格局,有加蓋,總樓層,樓層,房屋類型
台北市士林區中山北路七段,25.122377,121.532616,11.6年,114.39,12000,2,2房2廳4衛1室,0,12,3,['L']
台北市士林區雨聲街,25.103244,121.529051,32.8年,19.02,1398,0,1房1廳1衛,0,5,4,['A']
台北市士林區文林路,25.103731,121.521106,49.4年,28.95,3288,0,3房2廳2衛,0,4,1,['A']
台北市士林區社中街,25.089922,121.510328,48.8年,29.17,1760,0,3房2廳2衛,0,4,3,['A']
台北市士林區忠誠路一段,25.10667,121.530364,33.5年,49.67,4288,0,4房2廳2衛,0,10,2,['M']
台北市士林區永平街,25.089767,121.505132,45.6年,25.14,1398,0,2房2廳1衛,0,5,2,['A']
台北市士林區中山北路五段,25.099485,121.527257,1.5年,83.54,9980,1,4房2廳2衛,0,18,16,['L']
台北市士林區中山北路七段,25.121926,121.530422,21.1年,88.46,8388,4,3房3廳2衛,0,13,2,['L']
台北市士林區中山北路七段,25.123159,121.531923,45.9年,84.52,4580,0,3房2廳3衛1室,0,7,2,['M']
台北市士林區福林路,25.094408,121.533319,17.0年,64.39,5488,1,4房2廳2衛,0,7,1,['M']
台北市士林區華聲街,25.095994,121.521856,46.7年,23.01,1880,0,3房2廳2衛1室,0,5,1,['A']
台北市士林區天母東路,25.116855,121.531115,42.3年,30.36,2400,0,2房2廳2衛,0,5,5,['A']
台北市士林區士東路,25.110904,121.528221,44.5年,38.9,2488,0,3房2廳2衛,0,5,5,['A']
台北市士林區華齡街,25.08415,121.520328,41.9年,37.19,1930,0,3房3廳2衛,1,5,5,['A']
台北市士林區中山北路七段,25.125817,121.535016,48.3年,69.61,3980,0,4房2廳2衛,0,7,2,['M']
台北市士林區福華路,25.102668,121.522926,47.2年,38.19,2968,0,3房2廳2衛,0,5,5,['A']
台北市士林區倫等街,25.093178,121.503373,51.0年,27.15,2200,0,1房3廳1衛,0,3,1,['A']
台北市士林區中山北路五段,25.099136,121.526698,1.9年,74.79,6488,1,3房2廳2衛,0,17,6,['L']
台北市士林區倫等街,25.093178,121.503373,51.0年,27.15,1600,0,3房2廳1衛,0,3,2,['A']
台北市士林區延平北路五段,25.07986,121.510848,54.3年,25.85,1422,0,3房2廳1衛,0,4,3,['A']
台北市士林區基河路,25.091353,121.520971,18.4年,70.92,6888,1,3房2廳2衛,0,12,6,['L']
台北市士林區中山北路七段,25.123311,121.531153,47.2年,33,2950,0,3房2廳2衛,0,5,1,['A']
台北市士林區通河街,25.081368,121.519364,51.3年,31.2,1999,0,3房2廳2衛,0,4,3,['A']
台北市士林區忠誠路二段,25.115494,121.531966,22.1年,113.7,9380,2,4房2廳2衛1室,0,12,2,['L']
台北市士林區中山北路七段,25.127275,121.53245,36.6年,58.67,3980,1,2房2廳3衛,0,7,1,['M']
台北市士林區天母北路,25.121532,121.52636,5.7年,97.73,8988,2,4房2廳3衛,0,24,8,['L']
台北市士林區延平北路六段,25.091574,121.501053,20.1年,48.31,2980,1,2房2廳1衛,1,11,11,['L']
台北市士林區芝玉路一段,25.10904,121.534285,17.3年,71.7,6880,1,4房2廳2衛,0,18,4,['L']
台北市士林區文林路,25.097705,121.52403,9.8年,58.82,5488,1,3房2廳2衛1室,0,15,9,['L']
台北市士林區大西路,25.091515,121.524726,25.2年,81.49,5580,2,4房2廳2衛,1,9,2,['M']
台北市士林區重慶北路四段,25.081388,121.512198,47.2年,23.87,1588,0,1房1廳1衛,0,7,1,['M']
台北市士林區德行東路,25.108958,121.53142,20.2年,83.17,6980,2,3房2廳2衛,0,9,4,['M']
台北市士林區德行東路,25.109757,121.53484,18.8年,71.31,7380,1,4房2廳2衛,1,10,7,['M']
台北市士林區中山北路七段,25.127541,121.532634,36.6年,46.59,2880,1,1房2廳1.5衛2室,0,7,1,['M']
台北市士林區士商路,25.089852,121.520594,18.3年,58.04,4880,2,3房2廳2衛,0,7,2,['M']
台北市士林區中山北路七段,25.121407,121.531262,15.0年,164.32,15888,5,4房2廳4衛1室,0,16,7,['L']
台北市士林區重慶北路四段,25.081617,121.5125,47.2年,25.37,2188,0,3房2廳1衛,0,7,4,['M']
台北市士林區至誠路一段,25.102167,121.534724,7.7年,117.3,9980,2,4房2廳2衛,0,14,12,['L']
台北市士林區福華路,25.100372,121.523619,7.7年,43.44,4140,1,3房2廳2衛,0,9,4,['M']
