路段,緯度,經度,屋齡,建坪,房屋總價(萬),車位,格局,有加蓋,總樓層,樓層,房屋類型
台北市大同區雙連街,25.058972,121.519381,49.3年,39.57,3980,0,4房2廳2衛,0,5,3,['A']
台北市大同區酒泉街,25.072237,121.511822,14.7年,86.13,4988,2,6房3廳3衛,0,7,2,['M']
台北市大同區重慶北路二段,25.059577,121.513763,6.8年,27.87,2728,1,2房1廳1衛,0,15,4,['L']
台北市大同區歸綏街,25.058094,121.512328,37.9年,26.77,1988,0,3房2廳2衛,0,10,2,['M']
台北市大同區延平北路二段,25.05815,121.511392,2.3年,38.47,3980,1,2房2廳2衛,0,12,7,['L']
台北市大同區西寧北路,25.055181,121.508522,93.9年,24.72,2220,0,3房2廳1衛,0,2,2,['A']
台北市大同區延平北路二段,25.05815,121.511392,2.3年,28.03,2980,0,1房2廳1衛,0,12,7,['L']
台北市大同區敦煌路,25.075758,121.517101,16.4年,53.55,4980,0,4房2廳2衛2室,0,15,3,['L']
台北市大同區鄭州路,25.050319,121.51097,36.7年,42.25,3778,0,4房2廳2衛,0,17,8,['L']
台北市大同區民生西路,25.056975,121.508948,55.5年,22.73,1750,0,2房3廳1衛2室,1,4,4,['A']
台北市大同區寧夏路,25.054715,121.515004,29.4年,14.11,1158,0,1房1廳1衛,0,14,5,['C']
台北市大同區寧夏路,25.054715,121.515004,29.4年,17.94,1480,0,1房1廳1衛,0,14,7,['L']
台北市大同區重慶北路二段,25.058108,121.513817,0.9年,64.98,6899,1,4房2廳3衛1室,0,15,12,['L']
台北市大同區通河西街一段,25.079456,121.515108,16.8年,82.6,5600,3,2房2廳3衛,0,15,11,['L']
台北市大同區哈密街,25.075786,121.516555,43.2年,38.62,1888,0,3房3廳2衛,0,5,4,['A']
台北市大同區天水路,25.052868,121.512917,17.3年,38.88,3599,1,1房2廳1衛1室,0,14,2,['L']
台北市大同區南京西路,25.053569,121.507724,43.9年,78.91,5360,0,6房4廳4衛,0,12,6,['L']
台北市大同區承德路二段,25.061412,121.518021,16.6年,107.25,9988,3,3房2廳2衛1室,0,15,12,['L']
台北市大同區通河西街一段,25.079456,121.515108,16.8年,158.69,10788,6,5房3廳6衛,0,15,11,['L']
台北市大同區民權西路,25.06275,121.516409,36.0年,24.48,2200,0,2房2廳1衛,0,18,8,['L']
台北市大同區寧夏路,25.054715,121.515004,29.4年,13.96,1298,0,1房1廳1衛,0,14,7,['L']
台北市大同區市民大道一段,25.049133,121.518412,16.6年,14.52,668,0,1廳1衛,0,16,14,['L']
台北市大同區承德路一段,25.050546,121.517167,3.4年,83.08,9980,1,3房2廳3衛2室,0,32,15,['L']
台北市大同區通河西街一段,25.079498,121.515058,16.8年,76.09,5188,3,3房2廳3衛,0,15,11,['L']
台北市大同區南京西路,25.053569,121.507724,43.9年,40.4,2738,0,4房2廳2衛,0,12,6,['L']
台北市大同區南京西路,25.053588,121.507656,43.9年,38.51,2620,0,2房2廳2衛,0,12,6,['L']
台北市大同區太原路,25.055318,121.516729,24.1年,108.22,8250,2,1廳1衛,0,19,3,['L']
台北市大同區民族西路,25.068833,121.509924,44.2年,50.36,3380,0,4房2廳2衛,0,7,5,['M']
台北市大同區市民大道一段,25.04913,121.51841,16.6年,19.95,860,1,1房1廳1衛,0,16,12,['L']
台北市大同區南京西路,25.053766,121.509322,48.5年,32.94,2688,0,3房2廳1.5衛,0,6,4,['M']
台北市大同區華陰街,25.049837,121.517426,46.8年,16.84,3080,0,1廳1衛,0,5,3,['A']
台北市大同區延平北路二段,25.0574,121.511647,46.9年,8.9,1058,0,2房2廳1衛1室,0,11,9,['L']
台北市大同區歸綏街,25.059172,121.515919,30.4年,12.76,1188,0,1房1廳1衛,0,7,4,['M']
台北市大同區民權西路,25.063115,121.51721,38.3年,33.65,2998,0,3房2廳2衛,0,12,7,['L']
台北市大同區迪化街二段,25.068995,121.511043,45.1年,42.63,2700,0,5房2廳2衛,0,7,6,['M']
台北市大同區太原路,25.055074,121.516385,13.0年,74.31,8588,1,3房2廳2衛1室,0,12,8,['L']
台北市大同區重慶北路一段,25.050466,121.513782,37.4年,171.99,13755,0,9房6廳5衛1室,0,12,9,['L']
台北市大同區承德路二段,25.057803,121.518401,1.3年,13.42,1710,0,1房1廳1衛,0,15,2,['L']
台北市大同區民族西路,25.067639,121.511495,58.6年,18.53,1898,0,2房1廳1衛,0,4,1,['A']
台北市大同區延平北路四段,25.076246,121.512097,52.1年,22.79,1280,0,2房2廳1衛,0,4,3,['A']
台北市大同區延平北路二段,25.059328,121.511551,46.9年,12.74,1198,0,2房1廳1衛,0,11,5,['L']
台北市大同區太原路,25.055074,121.516385,13.0年,47.22,5385,1,2房1廳1衛1室,0,12,8,['L']
台北市大同區民生西路,25.057043,121.511942,48.8年,33.55,2550,0,3房2廳2衛,0,11,4,['L']
台北市大同區民族西路,25.06847,121.515365,3.5年,45.73,3988,1,3房2廳2衛,0,7,5,['M']
台北市大同區承德路二段,25.057803,121.518401,1.3年,13.09,1833,0,1房1廳1衛,0,15,4,['L']
台北市大同區安西街,25.060268,121.510067,42.5年,21.47,2288,0,2房2廳2衛,0,9,5,['M']
台北市大同區哈密街,25.072814,121.5132,46.5年,19.36,1198,0,3房2廳1衛,0,5,4,['A']
台北市大同區西寧北路,25.056719,121.508878,40.9年,36.7,2880,0,3房2廳2衛,0,7,2,['M']
台北市大同區太原路,25.055074,121.516385,13.0年,27.09,3198,0,1房1廳1衛,0,12,8,['L']
台北市大同區重慶北路三段,25.073629,121.513398,48.3年,17.39,1338,0,2房2廳1衛,1,5,4,['A']
台北市大同區南京西路,25.053083,121.519354,7.0年,24.59,3480,1,1房1廳1衛,0,19,13,['L']
台北市大同區長安西路,25.050339,121.51982,53.6年,44.52,4788,0,5房4廳4衛,0,8,4,['M']
台北市大同區太原路,25.054034,121.516136,52.4年,17.4,2188,0,2房2廳1衛,1,4,2,['A']
台北市大同區哈密街,25.074462,121.51772,55.2年,26.51,2888,0,2房2廳2.5衛1室,1,4,1,['A']
台北市大同區哈密街,25.07306,121.515028,46.2年,43.16,2098,0,4房2廳1衛,0,5,3,['A']
台北市大同區迪化街二段,25.069331,121.511956,41.1年,61.75,4300,1,4房2廳2衛,0,7,6,['M']
台北市大同區民權西路,25.06343,121.511823,6.7年,90.63,8600,2,4房2廳3衛,0,19,17,['L']
台北市大同區承德路三段,25.065858679573,121.51886936602,28.1年,66.71,4800,1,3房2廳2衛2室,0,11,3,['L']
台北市大同區重慶北路二段,25.058108,121.513817,0.9年,44.5,4670,1,3房2廳2衛,0,15,13,['L']
台北市大同區承德路三段,25.067353,121.519277,49.1年,40.15,3200,0,5房3廳3衛3室,1,5,5,['A']
台北市大同區民族西路,25.069799,121.512187,43.9年,42.74,3855,0,5房2廳2衛2室,1,7,7,['M']
台北市大同區重慶北路三段,25.076274,121.514449,45.3年,34.88,2168,0,3房2廳2衛,0,5,3,['A']
台北市大同區延平北路四段,25.072614,121.511311,46.5年,31.08,2020,0,5房2廳2衛,1,5,5,['A']
台北市大同區迪化街二段,25.071714,121.51176,50.8年,26.18,2450,0,2廳1衛,1,4,1,['A']
台北市大同區昌吉街,25.065732,121.516661,55.5年,30.12,2272,0,3房2廳2衛1室,0,4,3,['A']
台北市大同區重慶北路三段,25.064302,121.513885,0.6年,48.53,5088,1,3房2廳2衛,0,15,2,['L']
台北市大同區天水路,25.052374,121.512489,43.7年,24.95,2250,0,2房2廳1衛,0,11,10,['L']
台北市大同區延平北路三段,25.06537,121.51027,47.5年,30.39,1888,0,4房3廳2衛1室,1,4,4,['A']
台北市大同區赤峰街,25.054031,121.519356,14.0年,21.3,2688,1,2房1廳1衛,1,7,6,['M']
台北市大同區重慶北路二段,25.058108,121.513817,0.9年,44.5,4600,1,3房2廳2衛,0,15,11,['L']
台北市大同區迪化街二段,25.070889,121.511655,55.9年,17.65,1288,0,2房2廳1衛1室,1,4,4,['A']
