路段,緯度,經度,屋齡,建坪,房屋總價(萬),車位,格局,有加蓋,總樓層,樓層,房屋類型
台北市大安區和平東路三段,25.020997,121.555865,40.0年,44.13,3350,0,4房2廳2衛,0,12,4,['L']
台北市大安區安和路二段,25.026403,121.550612,0.8年,14.18,2270,0,1房1廳1衛,0,5,4,['M']
台北市大安區安和路二段,25.026403,121.550612,0.8年,14.18,2220,0,1衛,0,5,3,['M']
台北市大安區安和路二段,25.026403,121.550612,0.8年,17.13,2780,0,2房1廳1衛,0,5,4,['M']
台北市大安區復興南路二段,25.027695,121.543272,42.0年,54.39,4998,1,4房3廳3衛,1,12,12,['L']
台北市大安區浦城街,25.024348,121.525835,50.1年,56.52,4980,0,4房3廳2衛1室,0,4,2,['A']
台北市大安區信義路三段,25.035433,121.534636,14.8年,44.33,6588,1,2房2廳1.5衛,0,9,3,['M']
台北市大安區信義路三段,25.035533,121.543077,5.3年,42.86,5788,1,2房2廳2衛,0,7,7,['M']
台北市大安區臥龍街,25.017965,121.551379,17.4年,38.41,3780,0,3房2廳2衛,0,9,3,['M']
台北市大安區敦化南路一段,25.040255,121.551339,37.6年,43.81,6550,0,3房1廳2衛,0,8,6,['M']
台北市大安區光復南路,25.031386,121.557257,17.7年,22.33,3280,0,2房2廳1衛,0,14,8,['L']
台北市大安區新生南路三段,25.024156,121.53444,47.2年,55.36,5818,0,4房2廳2衛,0,12,7,['L']
台北市大安區泰順街,25.022186,121.529934,2.1年,34.86,5880,0,3房2廳2衛,0,11,3,['L']
台北市大安區復興南路一段,25.04331,121.543,44.2年,26.77,2288,0,2房2廳1衛,0,12,5,['L']
台北市大安區四維路,25.031376,121.547065,58.9年,29.91,6580,0,3房2廳2衛1室,1,4,1,['A']
台北市大安區新生南路一段,25.034068,121.536609,22.6年,74.07,8988,2,5房2廳3衛1室,1,7,5,['M']
台北市大安區新生南路三段,25.020516,121.533837,49.9年,49.17,5888,0,4房2廳2衛,0,7,7,['M']
台北市大安區信義路三段,25.034448,121.542055,57.9年,59.08,8400,0,3房2廳2衛2室,1,5,4,['M']
台北市大安區和平東路二段,25.025842,121.546081,40.8年,38.44,3650,0,3房2廳2衛,0,17,6,['L']
台北市大安區金山南路二段,25.02727,121.526223,11.2年,21.4,3750,0,1房1廳1衛,0,14,2,['L']
台北市大安區溫州街,25.023748,121.531689,43.0年,46.35,4868,0,4房2廳2衛,0,6,2,['M']
台北市大安區師大路,25.021376,121.528214,58.3年,21.77,2188,0,2房2廳1衛,0,4,2,['A']
台北市大安區通化街,25.032147,121.553698,48.9年,26.55,2388,0,2房2廳1衛,0,4,4,['A']
台北市大安區建國南路一段,25.035567,121.537426,7.9年,20.49,3380,0,2房2廳1衛,0,14,3,['L']
台北市大安區溫州街,25.024097,121.532888,43.2年,48.08,7268,0,4房2廳2衛,0,7,1,['M']
台北市大安區復興南路二段,25.027878,121.545522,40.8年,30.54,2888,0,3房2廳1衛,0,17,3,['L']
台北市大安區羅斯福路三段,25.018621,121.531268,18.7年,46.93,5888,1,2房2廳2衛,0,7,4,['M']
台北市大安區和平東路二段,25.024653,121.536019,17.2年,89.28,7980,2,3房2廳2衛,0,10,3,['M']
台北市大安區敦化南路一段,25.044549,121.548483,5.5年,58.68,9450,1,3房2廳2衛1室,0,23,11,['L']
台北市大安區和平東路二段,25.023413,121.540055,3.0年,57.03,8988,1,3房2廳2衛,0,11,10,['L']
台北市大安區光復南路,25.031053,121.557192,17.7年,76.37,9288,1,4房2廳2衛1室,0,19,19,['L']
台北市大安區敦化南路二段,25.024173,121.548359,43.3年,66.7,7988,0,5房2廳2衛1室,0,12,7,['L']
台北市大安區敦化南路二段,25.032229,121.548402,38.7年,45.94,6880,0,4房2廳2衛1室,0,18,13,['L']
台北市大安區忠孝東路四段,25.040749,121.550533,46.7年,43.6,4300,0,3房2廳2衛1室,0,7,2,['M']
台北市大安區信義路四段,25.034195,121.556195,18.2年,109.35,14950,2,4房2廳2衛2室,0,15,13,['L']
台北市大安區仁愛路四段,25.038008,121.555832,44.1年,71.15,7499,1,4房1廳2衛,0,14,9,['L']
台北市大安區復興南路二段,25.031051,121.540903,18.6年,79.38,10088,1,2房2廳2衛2室,0,8,2,['M']
台北市大安區仁愛路三段,25.039677,121.543127,43.1年,52.56,5188,0,4房2廳2衛,0,7,3,['M']
台北市大安區安和路二段,25.029178,121.551191,42.3年,35.24,3988,0,3房2廳2衛,0,7,5,['M']
台北市大安區信義路四段,25.032543,121.544549,1.3年,46.21,7038,1,1房2廳2衛1室,0,13,12,['L']
台北市大安區泰順街,25.025344,121.53015,60.4年,35.2,3680,0,2房3廳2衛1室,1,4,4,['A']
台北市大安區敦化南路二段,25.025198,121.548044,40.9年,41.66,4180,0,3房2廳2衛,0,19,8,['L']
台北市大安區復興南路二段,25.026336,121.543222,3.1年,24.66,4888,0,1房2廳1衛,0,34,24,['L']
台北市大安區瑞安街,25.026067,121.539063,27.3年,49.31,5680,1,4房2廳2衛,0,5,3,['M']
台北市大安區樂業街,25.01995,121.555355,49.0年,32.4,2198,0,3房2廳2衛,0,4,3,['A']
台北市大安區新生南路一段,25.035886,121.532987,5.0年,31.91,5366,1,2房2廳2衛,0,12,12,['L']
台北市大安區臥龍街,25.017347,121.558082,1.4年,42.96,3960,1,2房2廳2衛,0,23,5,['L']
台北市大安區復興南路二段,25.024315,121.543779,1.1年,56.13,8288,1,3房2廳2衛,0,23,10,['L']
台北市大安區瑞安街,25.029726,121.540643,10.8年,23.55,3318,1,2房2廳1衛,0,7,7,['M']
