路段,緯度,經度,屋齡,建坪,房屋總價(萬),車位,格局,有加蓋,總樓層,樓層,房屋類型
台北市文山區辛亥路四段,25.006585,121.55936,43.5年,33.61,1430,0,3房2廳1衛1室,0,5,5,['A']
台北市文山區景華街,24.996313,121.547997,18.5年,43.64,3380,1,3房2廳2衛,0,7,2,['M']
台北市文山區福興路,25.006857,121.551147,42.5年,21.79,1388,0,2房2廳1衛,0,5,2,['A']
台北市文山區試院路,24.990366,121.546028,40.2年,43.02,1850,0,7房2廳2衛,0,5,1,['A']
台北市文山區景華街,24.996552,121.547996,48.9年,44.72,2088,0,5房3廳2衛1室,0,4,4,['A']
台北市文山區辛亥路四段,25.008661,121.561555,22.5年,13.31,998,0,1房1廳1衛,0,14,4,['L']
台北市文山區興德路,25.003209,121.557744,47.6年,28.28,1750,0,3房2廳1衛,0,4,2,['A']
台北市文山區辛亥路五段,24.99808,121.553112,42.6年,41.19,2768,0,3房2廳2衛1室,0,7,7,['M']
台北市文山區景福街,24.995978,121.536368,44.8年,33.8,1888,0,3房2廳2衛,0,5,4,['A']
台北市文山區辛亥路四段,25.008921,121.560663,22.5年,62.23,3688,1,3房2廳2衛,0,11,7,['L']
台北市文山區福興路,25.005534,121.551807,36.3年,30.65,1880,0,3房2廳2衛,0,5,1,['A']
台北市文山區景仁街,24.998615,121.537437,46.1年,32.49,2288,0,3房2廳2衛,0,4,2,['A']
台北市文山區福興路,25.006146,121.550107,16.3年,46.47,2898,1,3房2廳2衛,0,12,7,['L']
台北市文山區景華街,24.999044,121.547555,54.6年,38.02,2150,0,4房2廳2衛,0,4,4,['A']
台北市文山區羅斯福路五段,25.003159,121.538255,46.6年,41.46,2688,0,4房2廳2衛,0,5,4,['A']
台北市文山區木柵路二段,24.992526,121.561958,29.5年,34.6,1968,0,3房2廳2衛,0,17,4,['L']
台北市文山區福興路,25.005984,121.551704,34.9年,44.04,2288,0,3房2廳2衛,0,6,5,['M']
台北市文山區木柵路三段,24.989841,121.568757,1.2年,65.92,5800,1,4房2廳2衛,0,29,19,['L']
台北市文山區木柵路一段,24.987749,121.546837,43.2年,22.35,1220,0,2房2廳1衛,0,5,2,['A']
台北市文山區景興路,24.993061,121.545334,43.7年,24.42,1450,0,3房2廳1衛,0,5,4,['A']
台北市文山區木柵路一段,24.98684,121.548205,20.8年,34.39,2568,0,2房2廳2衛1室,1,9,9,['M']
台北市文山區仙岩路,24.995958,121.549926,28.0年,41.74,1998,1,3房2廳2衛,0,3,3,['A']
台北市文山區辛亥路四段,25.008779,121.561218,22.5年,13.85,1240,0,1房1廳1衛,0,14,13,['L']
