路段,緯度,經度,屋齡,建坪,房屋總價(萬),車位,格局,有加蓋,總樓層,樓層,房屋類型
台北市萬華區中華路二段,25.030549,121.502297,44.6年,23.4,1488,0,2房2廳1衛,0,5,3,['A']
台北市萬華區西園路二段,25.026482,121.490987,49.6年,14.18,758,0,1房1廳1衛,0,5,3,['A']
台北市萬華區康定路,25.039268,121.502022,9.9年,16.24,1300,0,1房1廳1衛,0,26,11,['L']
台北市萬華區康定路,25.039453,121.502041,9.9年,39.14,2788,1,2房1廳1衛1室,0,26,12,['L']
台北市萬華區桂林路,25.036072,121.493713,44.7年,30.3,1420,0,3房2廳1衛,0,5,3,['A']
台北市萬華區成都路,25.043016,121.505272,23.2年,13.42,1250,0,1房1廳1衛,0,13,12,['L']
台北市萬華區中華路二段,25.02868,121.50377,13.7年,52.88,4088,1,3房2廳2衛,0,14,7,['L']
台北市萬華區國興路,25.024739,121.508736,47.0年,13.94,1258,0,1房2廳1衛,0,12,9,['L']
台北市萬華區南寧路,25.035727,121.503755,37.2年,37.17,2780,0,3房2廳2衛,0,12,2,['L']
台北市萬華區開封街二段,25.04615,121.50846,17.0年,57.34,5680,1,4房2廳2衛,0,12,10,['L']
台北市萬華區德昌街,25.023921,121.496272,15.1年,78.85,6888,2,3房2廳2衛1室,0,23,23,['L']
台北市萬華區峨眉街,25.044026850608,121.5040056994,48.7年,10.06,798,0,1房1廳1衛,0,9,4,['M']
台北市萬華區青年路,25.025796,121.503898,39.0年,33.52,2680,0,3房2廳1.5衛,0,12,1,['L']
台北市萬華區西昌街,25.040458,121.501034,41.2年,30.45,1950,0,3房2廳2衛,0,8,5,['M']
台北市萬華區東園街,25.02497,121.496118,44.4年,41.81,2550,0,3房2廳2衛,0,5,4,['A']
台北市萬華區西園路一段,25.037873,121.498717,40.2年,30.87,1598,0,3房2廳1衛,0,5,4,['A']
台北市萬華區國興路,25.024142,121.50918,43.7年,24.7,1738,0,3房2廳1衛,0,12,2,['L']
台北市萬華區康定路,25.042601,121.502312,14.9年,54.46,4988,1,3房2廳2衛,0,15,7,['L']
台北市萬華區西藏路,25.029375,121.50202,46.1年,32.65,2450,0,3房2廳2衛,0,12,5,['L']
台北市萬華區漢中街,25.040966,121.506392,21.4年,14.15,1260,0,1房1廳1衛,0,13,6,['L']
台北市萬華區國興路,25.023861,121.508494,43.7年,24.7,2480,0,2房2廳1衛,0,12,10,['L']
台北市萬華區萬大路,25.021066,121.500472,27.6年,45.89,2850,1,3房2廳2衛,0,13,1,['L']
台北市萬華區中華路二段,25.027097,121.504688,39.0年,32.72,2480,0,3房2廳2衛,0,12,4,['L']
台北市萬華區昆明街,25.041796,121.504671,22.3年,44.1,3850,0,4房2廳2衛,0,14,8,['L']
台北市萬華區國興路,25.024099,121.508463,43.7年,16.41,1430,0,2房1廳1衛,0,12,1,['L']
台北市萬華區成都路,25.043665,121.50291,18.7年,35.01,2480,1,2房2廳2衛,0,14,2,['L']
台北市萬華區西園路二段,25.023935,121.492003,25.6年,34.35,2498,0,3房2廳2衛,0,13,9,['L']
台北市萬華區莒光路,25.030577,121.503072,49.5年,29.85,1950,0,3房2廳1衛,0,5,4,['A']
台北市萬華區成都路,25.043378,121.502221,8.9年,30.91,2958,0,2房2廳1衛,0,22,10,['L']
台北市萬華區德昌街,25.02341,121.493882,2.9年,36.9,3245,1,2房2廳2衛,0,13,10,['L']
台北市萬華區成都路,25.0436,121.502931,18.7年,14.63,1328,0,1房1廳1衛,0,14,14,['L']
台北市萬華區西園路二段,25.030417,121.497254,5.6年,37.24,3420,1,3房2廳2衛,0,12,11,['L']
台北市萬華區西園路二段,25.030417,121.497254,5.6年,14.9,1700,0,1房2廳1衛,0,12,12,['L']
台北市萬華區貴陽街二段,25.040103,121.498776,25.5年,38.13,1998,1,2房2廳2衛,0,11,5,['L']
台北市萬華區中華路二段,25.025777,121.508025,47.0年,17.66,1500,0,2房1廳1衛,0,12,2,['L']
台北市萬華區和平西路三段,25.03537,121.501648,15.0年,27.08,2466,0,2房1廳1衛,0,13,11,['L']
台北市萬華區環河南路一段,25.046862,121.504181,42.7年,27.43,1499,0,2房2廳2衛,0,12,3,['L']
台北市萬華區康定路,25.039268,121.502022,9.9年,15.76,1350,0,1房1廳1衛,0,26,24,['L']
台北市萬華區和平西路三段,25.035312,121.492277,49.8年,24.35,2100,0,2房3廳1衛,1,4,1,['A']
台北市萬華區西園路二段,25.026444,121.490367,53.3年,23.78,1270,0,3房3廳1衛,1,4,4,['A']
台北市萬華區康定路,25.039268,121.502022,9.9年,13.52,1288,0,1房1廳1衛,0,26,3,['L']
台北市萬華區貴陽街二段,25.039857,121.503946,22.2年,39.73,2988,0,3房2廳2衛,0,13,3,['L']
台北市萬華區長沙街二段,25.040683,121.505449,14.1年,29.04,2380,1,2房2廳1衛1室,0,15,13,['L']
台北市萬華區康定路,25.039268,121.502022,9.9年,20,1780,0,1房1廳1衛,0,26,8,['L']
台北市萬華區東園街,25.026496,121.494786,33.5年,11.63,570,0,1廳1衛,0,6,2,['M']
台北市萬華區漢口街二段,25.045945,121.506186,45.2年,13.33,1080,0,1房1廳1衛,0,11,11,['L']
台北市萬華區昆明街,25.042088,121.504723,23.1年,14.69,990,0,1房1廳1衛,0,14,14,['C']
台北市萬華區武成街,25.018315,121.495718,44.2年,27.36,1680,0,4房2廳1衛,0,5,3,['A']
台北市萬華區中華路二段,25.024701,121.509552,44.6年,36.56,2500,0,3房2廳2衛1室,0,7,3,['M']
台北市萬華區環河南路一段,25.046862,121.504181,42.7年,47.35,2550,0,4房2廳2衛,0,12,4,['L']
台北市萬華區大理街,25.03422,121.497823,13.6年,50.89,3750,1,3房2廳2衛,0,7,5,['M']
台北市萬華區和平西路三段,25.034213,121.503401,44.4年,26.74,1845,0,1房2廳1衛,0,5,4,['A']
台北市萬華區康定路,25.039268,121.502022,9.9年,46.42,3150,1,3房2廳1衛,0,26,11,['L']
台北市萬華區西寧南路,25.038723,121.506389,9.2年,20.51,1890,1,1房2廳1衛,0,13,10,['L']
台北市萬華區開封街二段,25.0467,121.506112,30.3年,16.24,1450,0,1房1廳1衛,0,16,5,['L']
台北市萬華區貴陽街二段,25.040254,121.500568,43.3年,39.52,2888,0,3房2廳2衛,0,10,3,['M']
台北市萬華區康定路,25.04091,121.502037,43.0年,90.18,5500,0,4房2廳3衛1室,0,11,5,['L']
台北市萬華區中華路二段,25.033224,121.505069,38.8年,25.29,1988,0,3房2廳2衛,0,7,2,['M']
台北市萬華區桂林路,25.03642,121.492369,55.2年,28.55,1498,0,3房2廳1衛1室,0,4,3,['A']
台北市萬華區西園路二段,25.030087,121.496093,11.6年,48.02,3980,1,3房2廳2衛,0,9,4,['M']
台北市萬華區峨眉街,25.044163,121.503885,48.7年,10.06,868,0,1房1衛,0,9,3,['C']
