2026-03-08 18:22:52 [INFO] 正在處理 Taipei-city-中正區, 第 1/21 頁, 抓到 20 筆
2026-03-08 18:23:42 [INFO] 正在處理 Taipei-city-中正區, 第 2/21 頁, 抓到 20 筆
2026-03-08 18:24:21 [INFO] 正在處理 Taipei-city-中正區, 第 3/21 頁, 抓到 20 筆
2026-03-08 18:24:52 [INFO] 正在處理 Taipei-city-中正區, 第 4/21 頁, 抓到 20 筆
2026-03-08 18:25:33 [INFO] 正在處理 Taipei-city-中正區, 第 5/21 頁, 抓到 20 筆
2026-03-08 18:26:00 [INFO] 正在處理 Taipei-city-中正區, 第 6/21 頁, 抓到 20 筆
2026-03-08 18:26:31 [INFO] 正在處理 Taipei-city-中正區, 第 7/21 頁, 抓到 20 筆
2026-03-08 18:27:04 [INFO] 正在處理 Taipei-city-中正區, 第 8/21 頁, 抓到 20 筆
2026-03-08 18:27:24 [INFO] 正在處理 Taipei-city-中正區, 第 9/21 頁, 抓到 20 筆
2026-03-08 18:27:46 [INFO] 正在處理 Taipei-city-中正區, 第 10/21 頁, 抓到 20 筆
2026-03-08 18:28:11 [INFO] 正在處理 Taipei-city-中正區, 第 11/21 頁, 抓到 20 筆
2026-03-08 18:28:31 [INFO] 正在處理 Taipei-city-中正區, 第 12/21 頁, 抓到 20 筆
2026-03-08 18:28:45 [INFO] 正在處理 Taipei-city-中正區, 第 13/21 頁, 抓到 20 筆
2026-03-08 18:29:09 [INFO] 正在處理 Taipei-city-中正區, 第 14/21 頁, 抓到 20 筆
2026-03-08 18:29:39 [INFO] 正在處理 Taipei-city-中正區, 第 15/21 頁, 抓到 20 筆
2026-03-08 18:30:12 [INFO] 正在處理 Taipei-city-中正區, 第 16/21 頁, 抓到 20 筆
2026-03-08 18:30:46 [INFO] 正在處理 Taipei-city-中正區, 第 17/21 頁, 抓到 20 筆
2026-03-08 18:31:07 [INFO] 正在處理 Taipei-city-中正區, 第 18/21 頁, 抓到 20 筆
2026-03-08 18:31:27 [INFO] 正在處理 Taipei-city-中正區, 第 19/21 頁, 抓到 20 筆
2026-03-08 18:31:41 [INFO] 正在處理 Taipei-city-中正區, 第 20/21 頁, 抓到 20 筆
2026-03-08 18:31:44 [INFO] 正在處理 Taipei-city-中正區, 第 21/21 頁, 抓到 7 筆
2026-03-08 18:31:51 [INFO] 正在處理 Taipei-city-大同區, 第 1/13 頁, 抓到 20 筆
2026-03-08 18:32:18 [INFO] 正在處理 Taipei-city-大同區, 第 2/13 頁, 抓到 20 筆
2026-03-08 18:32:53 [INFO] 正在處理 Taipei-city-大同區, 第 3/13 頁, 抓到 20 筆
2026-03-08 18:33:09 [INFO] 正在處理 Taipei-city-大同區, 第 4/13 頁, 抓到 20 筆
2026-03-08 18:33:26 [INFO] 正在處理 Taipei-city-大同區, 第 5/13 頁, 抓到 20 筆
2026-03-08 18:33:53 [INFO] 正在處理 Taipei-city-大同區, 第 6/13 頁, 抓到 20 筆
2026-03-08 18:34:17 [INFO] 正在處理 Taipei-city-大同區, 第 7/13 頁, 抓到 20 筆
2026-03-08 18:34:53 [INFO] 正在處理 Taipei-city-大同區, 第 8/13 頁, 抓到 20 筆
