路段,屋齡,房屋類型,建坪,主建物/陽台,格局,樓層,房屋總價(萬),車位
台北市中山區合江街,40.6年,華廈/辦公,建坪 34.77,主 + 陽27.8,2房2廳2衛,3樓/7樓,"3,288",0
台北市中山區新生北路二段,44.2年,大樓,建坪 20.33,主 + 陽15.06,3房2廳2衛,10樓/12樓,"1,998",0
台北市中山區林森北路,49.0年,大樓,建坪 42.19,主 + 陽35.14,4房1廳3衛,9樓/11樓,"3,300",0
台北市中山區八德路二段,50.0年,公寓,建坪 55.25,主建物55.25,4房2廳4衛1室(含加蓋1房1衛1室),4樓/4樓,"4,200",0
台北市中山區長安東路二段,53.7年,華廈,建坪 10.66,主建物9.51,1房1衛,9樓/9樓,998,0
台北市中山區遼寧街,39.8年,大樓,建坪 29.78,主 + 陽23.38,3房2廳1衛,4樓/15樓,"3,380",0
台北市中山區明水路,0.8年,大樓,建坪 41.87,主 + 陽19.66,2房2廳1.5衛,8樓/25樓,"5,828",1
台北市中山區新生北路一段,44.2年,大樓,建坪 9.45,主 + 陽7.56,1房1廳1衛1室(含加蓋1室),5樓/12樓,799,0
台北市中山區吉林路,40.0年,華廈,建坪 40.94,主 + 陽38.93,3房2廳2衛,4樓/7樓,"3,250",0
台北市中山區敬業一路,16.1年,辦公,建坪 92.34,主 + 陽41.09,3房2廳2衛,2樓/7樓,"8,780",2
台北市中山區中山北路二段,預售,大樓,建坪 38.64,主+附 16.64,2房2廳1衛1室,7樓/12樓,"3,768",1
台北市中山區林森北路,29.6年,華廈,建坪 9.8,主 + 陽6.76,1房1衛,9樓/10樓,785,0
台北市中山區中山北路二段,預售,大樓,建坪 61.19,主+附 31.39,3房2廳2衛1室,6樓/12樓,"7,148",1
台北市中山區新生北路三段,44.9年,大樓,建坪 10.96,主 + 陽8.8,1房1廳1衛,5樓/12樓,980,0
台北市中山區龍江路,1.8年,華廈,建坪 17.71,主 + 陽10.81,1房2廳1衛,2樓/9樓,"2,788",0
台北市中山區松江路,40.1年,大樓,建坪 33.33,主 + 陽27.29,2房2廳2衛,8樓/12樓,"2,968",0
台北市中山區南京東路二段,56.6年,公寓,建坪 20.21,主 + 陽20.21,2房2廳1.5衛,3樓/4樓,"2,098",0
台北市中山區龍江路,1.8年,華廈,建坪 18.16,主 + 陽11.11,1房2廳1衛,2樓/9樓,"2,888",0
台北市中山區民生東路二段,47.0年,辦公/店面,建坪 40.34,主建物36.76,3房2廳1衛1室,1樓/7樓,"6,689",0
台北市中山區南京東路二段,15.5年,大樓/套房,建坪 26.01,主 + 陽9.2,1房1廳1衛,6樓/18樓,"2,138",1
台北市中山區建國北路一段,49.8年,公寓,建坪 17.99,主 + 陽17.99,2房2廳1衛,3樓/4樓,"2,480",0
台北市中山區明水路,22.9年,大樓,建坪 118.37,主 + 陽62.85,4房2廳4衛1室(含加蓋1房1衛),9樓/14樓,"15,158",2
台北市中山區長安東路二段,14.2年,大樓,建坪 75.69,主 + 陽40.46,4房2廳2衛,3樓/15樓,"7,950",1
台北市中山區敬業三路,25.3年,華廈,建坪 109.38,主 + 陽60.07,4房2廳3衛3室(含加蓋1室),5樓/8樓,"11,850",2
台北市中山區建國北路二段,3.5年,大樓,建坪 71.89,主 + 陽39.81,3房2廳2衛,4樓/15樓,"8,200",1
台北市中山區松江路,17.3年,大樓,建坪 69.57,主 + 陽36.65,4房2廳2衛1室,13樓/14樓,"7,398",1
台北市中山區民權西路,48.7年,辦公/大樓,建坪 33.39,主 + 陽28.47,2房1廳1衛,8樓/12樓,"2,980",0
台北市中山區松江路,10.7年,大樓,建坪 37.79,主 + 陽18.71,2房2廳1衛,2樓/17樓,"4,988",1
台北市中山區建國北路一段,7.2年,大樓,建坪 75.41,主 + 陽40.18,3房2廳2衛,8樓/24樓,"9,580",1
台北市中山區長安東路二段,18.4年,辦公/大樓,建坪 91.66,主 + 陽55.26,3房1廳2衛2室(含加蓋1室),2樓/15樓,"8,688",1
