路段,屋齡,房屋類型,建坪,主建物/陽台,格局,樓層,房屋總價(萬),車位
台北市中正區同安街,34.2年,店面,建坪 10.54,主建物8.63,1廳1衛1室(含加蓋1室),1樓/7樓,"2,250",0
台北市中正區南昌路二段,18.1年,大樓,建坪 47.57,主 + 陽24.94,1房2廳2衛1室,2樓/14樓,"5,280",1
台北市中正區汀州路三段,51.0年,公寓,建坪 31.8,主 + 陽31.79,4房2廳2衛,2樓/4樓,"2,538",0
台北市中正區寧波西街,38.1年,華廈,建坪 33.95,主 + 陽27.21,4房2廳2衛,5樓/7樓,"2,990",0
台北市中正區羅斯福路一段,16.5年,大樓,建坪 18.13,主建物10.3,2房1廳1衛(含加蓋1房),13樓/14樓,"2,990",0
台北市中正區濟南路二段,18.3年,華廈,建坪 28.37,主 + 陽11,2房2廳1衛1室(含加蓋1房),3樓/7樓,"2,688",1
台北市中正區信義路二段,17.6年,大樓,建坪 49.7,主 + 陽33.61,3房2廳2衛2室,13樓/13樓,"8,680",1
台北市中正區師大路,44.2年,店面/辦公/大樓,建坪 109.83,主建物45.86,1廳1衛1室,1樓/12樓,"5,800",2
台北市中正區信義路二段,47.8年,大樓,建坪 56.99,主 + 陽51.08,4房2廳2衛,12樓/12樓,"5,588",0
台北市中正區和平西路一段,14.7年,大樓,建坪 87.83,主 + 陽46.31,4房2廳2衛1室,11樓/18樓,"9,888",1
台北市中正區金山南路一段,16.0年,大樓,建坪 47.46,主 + 陽27.25,3房2廳2衛1室,5樓/11樓,"6,388",1
台北市中正區新生南路一段,16.2年,大樓,建坪 74.16,主 + 陽44.16,3房2廳2衛1室,15樓/15樓,"9,988",1
台北市中正區杭州南路一段,2.4年,大樓,建坪 95.31,主 + 陽46.58,4房2廳2衛,5樓/22樓,"9,980",2
台北市中正區丹陽街,0.8年,大樓,建坪 90.44,主 + 陽42.87,4房2廳3衛,9樓/11樓,"13,200",2
台北市中正區同安街,0.7年,店面,建坪 23.19,主建物10.94,1廳1衛,1樓/7樓,"4,340",1
台北市中正區重慶南路三段,14.0年,大樓,建坪 49.73,主 + 陽30.02,3房2廳2衛,10樓/15樓,"4,360",1
台北市中正區濟南路一段,20.2年,大樓,建坪 83.23,主 + 陽49.22,4房2廳2衛1室,13樓/15樓,"12,630",1
台北市中正區金山南路一段,16.0年,大樓,建坪 64.51,主 + 陽37.29,4房2廳2衛,7樓/11樓,"8,800",2
台北市中正區廈門街,58.3年,公寓,建坪 44.7,主 + 陽44.71,4房3廳2衛1室(含加蓋1廳1室),4樓/4樓,"2,928",0
台北市中正區開封街一段,37.5年,店面,建坪 92.23,主建物41.5,1廳2衛(含加蓋2衛),1樓/12樓,"9,888",0
台北市中正區杭州南路一段,2.4年,大樓,建坪 75.89,主 + 陽50.42,2房2廳2衛,2樓/22樓,"11,700",0
台北市中正區忠孝東路二段,17.8年,大樓,建坪 91.06,主 + 陽49.94,3房2廳2衛,6樓/14樓,"11,528",1
台北市中正區羅斯福路三段,4.8年,店面,建坪 34.93,主建物18.91,1廳1衛,1樓/22樓,"6,500",0
台北市中正區羅斯福路一段,16.9年,大樓,建坪 130.24,主 + 陽94.28,4房2廳4衛2室,13樓/14樓,"17,588",4
台北市中正區泰安街,20.1年,大樓,建坪 122.45,主 + 陽55.96,4房2廳2衛2室(含加蓋1房),5樓/11樓,"12,800",3
台北市中正區重慶南路三段,49.8年,公寓,建坪 38.37,主 + 陽38.37,3房2廳2衛,3樓/4樓,"2,880",0
台北市中正區博愛路,10.4年,辦公/大樓,建坪 38.5,主 + 陽24.44,2房2廳2衛1室,5樓/15樓,"4,800",1
台北市中正區仁愛路二段,45.4年,大樓/辦公,建坪 74.28,主 + 陽49.47,3房2廳2衛1室,10樓/12樓,"6,998",2
台北市中正區同安街,29.1年,華廈,建坪 28.41,主 + 陽7.85,2房1廳1衛(含加蓋2房),6樓/7樓,"2,108",1
