路段,屋齡,房屋類型,建坪,主建物/陽台,格局,樓層,房屋總價(萬),車位
台北市信義區吳興街,39.1年,公寓,建坪 31.41,主 + 陽28.39,3房2廳1.5衛,4樓/5樓,"1,780",0
台北市信義區吳興街,24.5年,大樓,建坪 40.87,主 + 陽26.19,3房2廳2衛,6樓/13樓,"3,980",1
台北市信義區吳興街,33.6年,大樓,建坪 45.54,主建物35.01,4房2廳2衛1室,1樓/11樓,"2,880",0
台北市信義區忠孝東路五段,42.7年,大樓/辦公,建坪 42.58,主 + 陽37.22,1廳2衛2室,14樓/14樓,"4,380",0
台北市信義區吳興街,8.5年,華廈,建坪 57.69,主 + 陽29.83,3房2廳2衛1室,6樓/10樓,"5,180",1
台北市信義區基隆路二段,45.3年,華廈,建坪 37.03,主 + 陽30.9,3房2廳2衛,6樓/7樓,"3,500",0
台北市信義區信義路五段,42.9年,公寓,建坪 31.06,主 + 陽27.27,3房2廳1衛,4樓/5樓,"1,866",0
台北市信義區信義路五段,45.6年,公寓,建坪 25.82,主 + 陽25.81,3房2廳2衛,4樓/5樓,"3,680",0
台北市信義區林口街,56.3年,公寓,建坪 22.75,主 + 陽22.74,4房2廳2衛,3樓/4樓,"3,680",0
台北市信義區和平東路三段,44.9年,公寓/辦公,建坪 45.76,主建物24.65,3房3廳2衛,B1-1樓/5樓,"3,998",0
台北市信義區莊敬路,51.7年,公寓,建坪 26.82,主 + 陽26.82,3房2廳1.5衛,3樓/4樓,"2,260",0
台北市信義區永吉路,32.4年,華廈,建坪 41.15,主 + 陽29.35,3房2廳2衛,4樓/8樓,"4,088",0
台北市信義區吳興街,16.1年,大樓,建坪 76.63,主 + 陽31.38,2房2廳1衛,18樓/19樓,"5,380",1
台北市信義區吳興街,8.5年,華廈,建坪 44.01,主 + 陽20.82,2房2廳1衛,2樓/10樓,"3,688",1
台北市信義區忠孝東路四段,49.0年,店面/辦公,建坪 54.5,主建物41.05,1廳1衛3室(含加蓋1衛),1樓/10樓,"19,500",0
台北市信義區中坡南路,4.9年,大樓,建坪 68.43,主 + 陽35.36,3房2廳2衛,6樓/20樓,"6,880",1
台北市信義區基隆路一段,42.5年,大樓,建坪 36.08,主 + 陽27.89,3房2廳2衛,7樓/12樓,"3,688",0
台北市信義區吳興街,38.4年,公寓,建坪 27.49,主 + 陽27.49,3房2廳1衛,3樓/5樓,"1,980",0
台北市信義區松仁路,25.0年,華廈,建坪 125.2,主 + 陽69.36,3房2廳2衛,6樓/9樓,"16,500",2
台北市信義區松山路,55.0年,公寓,建坪 26.47,主 + 陽26.46,3房2廳1衛,3樓/4樓,"2,358",0
台北市信義區松德路,0.4年,大樓,建坪 27.65,主 + 陽17.96,2房2廳2衛,12樓/14樓,"4,380",0
台北市信義區吳興街,44.4年,公寓,建坪 39.51,主建物28.03,2房2廳2衛1室,1樓/5樓,"2,398",0
台北市信義區吳興街,56.0年,公寓,建坪 32.46,主建物32.46,4房2廳2衛2室(含加蓋1房1衛1室),4樓/4樓,"2,000",0
台北市信義區福德街,13.9年,大樓,建坪 117.28,主 + 陽48.82,2廳,4樓/13樓,"11,706",2
台北市信義區忠孝東路五段,18.3年,華廈,建坪 58.06,主 + 陽26.29,1房2廳2衛1室,3樓/9樓,"6,988",2
台北市信義區吳興街,1.3年,大樓,建坪 47.45,主 + 陽24.28,2房2廳2衛1室,5樓/13樓,"4,388",1
台北市信義區忠孝東路五段,44.1年,華廈/辦公,建坪 51.99,主建物36.89,1房1廳2衛1室,1樓/7樓,"5,980",0
台北市信義區吳興街,1.7年,華廈,建坪 39.21,主 + 陽17.81,3房2廳2衛,9樓/10樓,"4,298",1
台北市信義區松德路,31.4年,大樓,建坪 59.99,主 + 陽38.56,4房2廳2衛,7樓/23樓,"6,188",1
台北市信義區基隆路二段,預售,大樓,建坪 38.09,主+附 24.64,2房2廳2衛,21樓/24樓,"7,047",0
台北市信義區基隆路二段,預售,大樓,建坪 38.5,主+附 24.9,2房2廳2衛,7樓/24樓,"6,679",0
台北市信義區基隆路一段,48.0年,店面,建坪 31.12,主建物24.55,1廳2衛,1樓/12樓,"4,500",0
台北市信義區吳興街,34.4年,華廈,建坪 33,主建物26.61,3房2廳2衛,1樓/5樓,"2,600",0
台北市信義區忠孝東路五段,28.8年,別墅/透天,建坪 96.54,主 + 陽49.47,5房2廳3衛2室(含加蓋1房1室),B2-2樓/2樓,"15,688",1
台北市信義區信義路五段,27.4年,辦公/大樓,建坪 20.04,主 + 陽9.39,1廳1衛,14樓/14樓,"2,780",1
台北市信義區基隆路二段,預售,大樓,建坪 36.65,主+附 23.71,2房2廳2衛,24樓/24樓,"6,945",0
台北市信義區莊敬路,49.5年,華廈,建坪 31.72,主 + 陽26.63,3房2廳2衛1室(含加蓋1室),2樓/7樓,"2,880",0
台北市信義區信義路五段,18.2年,大樓,建坪 64.89,主 + 陽36.15,2房2廳2衛1室,4樓/27樓,"8,500",1
台北市信義區忠孝東路五段,26.4年,華廈,建坪 12.56,主 + 陽9.02,1房1廳1衛,2樓/5樓,"1,700",0
台北市信義區莊敬路,50.3年,店面/公寓,建坪 27.84,主建物18.75,3房2廳1衛(含加蓋1衛),1樓/4樓,"3,980",0
台北市信義區信義路六段,31.5年,大樓,建坪 67.69,主 + 陽47.71,4房2廳2衛1室,2樓/16樓,"5,888",1
台北市信義區松勤街,18.2年,套房,建坪 15.31,主建物9.8,1房1廳1衛,15樓/19樓,"2,488",0
台北市信義區松德路,31.4年,大樓,建坪 83.46,主 + 陽43.29,4房2廳2衛1室,3樓/24樓,"6,288",0
台北市信義區莊敬路,39.6年,華廈,建坪 44.01,主 + 陽40.44,4房2廳2衛,4樓/7樓,"4,380",0
台北市信義區永吉路,3.2年,大樓,建坪 91.93,主 + 陽42.23,4房2廳3衛,18樓/21樓,"10,988",2
台北市信義區忠孝東路五段,26.4年,華廈/店面,建坪 10.17,主建物7.28,1房1廳1衛1室,1樓/5樓,"1,800",0
台北市信義區信義路五段,20.7年,大樓,建坪 44.76,主 + 陽27.21,3房2廳2衛,3樓/13樓,"4,450",1
台北市信義區松仁路,29.4年,店面,建坪 17.2,主建物12.64,1房2廳1衛1室(含加蓋1室),1樓/16樓,"2,688",0
