路段,屋齡,房屋類型,建坪,主建物/陽台,格局,樓層,房屋總價(萬),車位
台北市內湖區文湖街,32.2年,華廈,建坪 43.44,主 + 陽28.82,3房2廳2衛,7樓/9樓,"3,280",1
台北市內湖區內湖路一段,29.6年,華廈,建坪 19.57,主 + 陽14.8,2房2廳1衛,6樓/7樓,"2,380",0
台北市內湖區內湖路二段,16.5年,大樓,建坪 76.32,主 + 陽45.37,4房2廳3衛1室,5樓/11樓,"6,748",1
台北市內湖區民權東路六段,17.2年,大樓,建坪 58.27,主 + 陽31.09,3房2廳2衛,8樓/14樓,"4,398",1
台北市內湖區大湖山莊街,33.2年,華廈/辦公,建坪 18.32,主建物12.67,2房2廳1衛,-1樓/8樓,"1,058",0
台北市內湖區內湖路二段,1.5年,大樓,建坪 54,主 + 陽29.6,3房2廳2衛,5樓/15樓,"5,388",1
台北市內湖區康寧路一段,48.4年,公寓,建坪 22.93,主建物20.08,3房2廳1.5衛(含加蓋0.5衛),1樓/4樓,"1,980",0
台北市內湖區內湖路一段,48.3年,公寓,建坪 28.69,主 + 陽28.68,3房2廳1.5衛,2樓/4樓,"2,698",0
台北市內湖區民權東路六段,11.3年,大樓,建坪 118.68,主 + 陽50.33,4房2廳3衛1室,11樓/13樓,"8,288",3
台北市內湖區民權東路六段,37.8年,公寓,建坪 35.97,主 + 陽33.26,3房2廳2衛,3樓/5樓,"2,580",0
台北市內湖區文德路,23.4年,大樓,建坪 40.75,主 + 陽19.15,1房2廳1衛,14樓/14樓,"3,588",1
台北市內湖區文德路,42.1年,華廈,建坪 37.91,主 + 陽29.09,3房2廳1衛,6樓/7樓,"3,038",0
台北市內湖區星雲街,37.4年,公寓,建坪 30.85,主 + 陽30.44,3房2廳2衛,4樓/5樓,"2,088",0
台北市內湖區星雲街,22.2年,大樓,建坪 53.17,主 + 陽29.64,4房2廳2衛,2樓/14樓,"5,288",1
台北市內湖區內湖路二段,9.4年,華廈,建坪 86.7,主 + 陽58.03,4房2廳3衛,5樓/10樓,"13,200",2
台北市內湖區成功路五段,28.8年,大樓,建坪 60.37,主 + 陽40.79,4房2廳2衛,1樓/11樓,"4,750",1
台北市內湖區陽光街,38.1年,公寓,建坪 33.22,主 + 陽32.38,5房4廳3衛(含加蓋2房2廳1衛),5樓/5樓,"2,980",0
台北市內湖區東湖路,34.3年,大樓,建坪 59.33,主 + 陽38.88,4房2廳2衛,13樓/15樓,"4,680",1
台北市內湖區成功路二段,10.7年,大樓,建坪 109.4,主 + 陽56.82,4房2廳3衛,14樓/14樓,"8,688",2
台北市內湖區成功路五段,25.4年,大樓,建坪 34.5,主 + 陽21.21,2房2廳1衛,3樓/11樓,"2,988",1
台北市內湖區文德路,16.0年,大樓,建坪 31.23,主 + 陽14.26,2房1廳1衛1室,5樓/12樓,"2,798",1
台北市內湖區五分街,18.7年,大樓,建坪 37.9,主 + 陽17.73,2房2廳1衛,11樓/12樓,"2,998",2
台北市內湖區康寧路三段,41.2年,公寓,建坪 33.09,主 + 陽30.29,3房2廳2衛,5樓/5樓,"1,980",0
台北市內湖區康樂街,14.1年,華廈,建坪 41.74,主 + 陽19.24,2房2廳1衛,3樓/5樓,"2,700",1
台北市內湖區文德路,16.2年,大樓,建坪 113.75,主 + 陽52.39,4房2廳3衛,3樓/17樓,"9,880",1
台北市內湖區內湖路二段,9.4年,華廈,建坪 87.05,主 + 陽58.27,3房2廳3衛1室,8樓/10樓,"13,600",2
台北市內湖區星雲街,26.8年,大樓,建坪 49.02,主 + 陽34.27,3房2廳2衛,4樓/12樓,"3,600",0
台北市內湖區民權東路六段,17.9年,大樓/辦公,建坪 38.8,主 + 陽25.88,3房2廳2衛,2樓/13樓,"3,636",0
台北市內湖區星雲街,30.3年,大樓,建坪 19.38,主 + 陽16.31,1房1廳1衛,2樓/13樓,"2,080",0
台北市內湖區內湖路二段,41.7年,華廈,建坪 58.23,主建物32.19,4房2廳2衛,2樓/7樓,"3,500",1
台北市內湖區內湖路二段,43.3年,大樓,建坪 40.86,主 + 陽33.17,3房2廳2衛,1樓/12樓,"2,980",0
台北市內湖區文德路,16.0年,辦公/大樓,建坪 28.58,主 + 陽9.2,1廳1衛,2樓/12樓,"1,588",1
台北市內湖區內湖路二段,24.0年,大樓,建坪 41.17,主 + 陽30.39,3房2廳2衛,4樓/14樓,"3,880",0
台北市內湖區新明路,15.9年,店面/辦公/大樓,建坪 116.43,主 + 陽55.42,1廳2衛1室,1樓/14樓,"9,900",2
台北市內湖區內湖路三段,45.4年,公寓,建坪 36.66,主 + 陽36.66,4房2廳2衛,4樓/5樓,"1,688",0
