路段,屋齡,房屋類型,建坪,主建物/陽台,格局,樓層,房屋總價(萬),車位
台北市北投區石牌路二段,33.4年,華廈,建坪 21.88,主 + 陽10.4,2房1廳1衛,5樓/5樓,"1,388",0
台北市北投區中山北路七段,41.5年,華廈,建坪 28.68,主建物21.23,3房2廳2衛(含加蓋1房),1樓/7樓,"1,800",0
台北市北投區中央北路一段,13.9年,大樓,建坪 61.46,主 + 陽35.44,4房2廳2衛,8樓/15樓,"5,168",1
台北市北投區溫泉路,45.1年,華廈,建坪 11.62,主 + 陽10.01,1房2廳1衛,3樓/7樓,758,0
台北市北投區中央北路二段,10.6年,大樓,建坪 66.86,主 + 陽40.03,4房2廳2衛,7樓/14樓,"4,180",1
台北市北投區杏林一路,59.2年,透天,建坪 18.2,主建物18.2,2房2廳1衛(含加蓋1衛),1樓/1樓,"3,600",0
台北市北投區大業路,2.4年,大樓,建坪 50.49,主 + 陽25.77,3房2廳2衛,18樓/24樓,"4,680",1
台北市北投區三合街二段,30.5年,華廈,建坪 32.99,主 + 陽19.85,2房2廳2衛,3樓/7樓,"2,680",1
台北市北投區中和街,47.5年,公寓,建坪 23.23,主 + 陽22.26,3房2廳1衛,3樓/4樓,"1,100",0
台北市北投區致遠一路二段,1.6年,大樓,建坪 69.67,主 + 陽38.77,3房2廳1衛1室,3樓/14樓,"7,280",1
台北市北投區大同街,1.7年,大樓,建坪 49.06,主 + 陽23.63,3房2廳2衛,7樓/18樓,"4,436",1
台北市北投區行義路,17.4年,華廈,建坪 92.93,主 + 陽49.7,3房2廳3衛,4樓/5樓,"5,600",2
台北市北投區大業路,29.4年,華廈,建坪 56.54,主 + 陽32.3,3房2廳3衛1室,7樓/9樓,"4,280",1
台北市北投區光明路,8.6年,大樓,建坪 50.77,主 + 陽22.09,2房2廳2衛,8樓/24樓,"3,680",1
台北市北投區大屯路,13.5年,華廈,建坪 46.15,主 + 陽25.91,3房2廳2衛(含加蓋1房),3樓/5樓,"2,980",1
台北市北投區三合街一段,10.7年,華廈,建坪 49.08,主 + 陽23.22,1房2廳2衛2室,6樓/9樓,"3,800",1
台北市北投區同德街,21.0年,華廈,建坪 85.57,主 + 陽39.1,3房2廳2衛1室,6樓/7樓,"5,300",1
台北市北投區懷德街,15.6年,大樓,建坪 80.28,主 + 陽38.61,3房2廳2衛1室(含加蓋1室),6樓/12樓,"6,980",1
台北市北投區三合街一段,9.7年,華廈,建坪 96.59,主 + 陽46.34,3房2廳3衛,9樓/9樓,"8,580",2
台北市北投區行義路,17.8年,華廈,建坪 63.35,主 + 陽37.82,3房2廳2衛2室,1樓/5樓,"4,588",1
台北市北投區公館路,45.2年,公寓,建坪 42.86,主 + 陽39.06,3房2廳2衛,4樓/5樓,"1,980",0
台北市北投區中央北路四段,40.7年,公寓,建坪 36.95,主 + 陽34.05,3房2廳2衛2室,4樓/5樓,"1,850",0
台北市北投區磺港路,11.7年,大樓,建坪 80.26,主 + 陽44.13,4房2廳3衛,12樓/14樓,"6,688",1
台北市北投區溫泉路,11.5年,華廈,建坪 96.28,主 + 陽44.55,1廳,4樓/5樓,"5,800",2
台北市北投區稻香路,4.2年,華廈,建坪 35.14,主建物16.47,2房2廳1衛,1樓/5樓,"2,388",1
台北市北投區溫泉路,11.5年,華廈,建坪 96.28,主 + 陽44.55,1廳,5樓/5樓,"5,800",2
台北市北投區大興街,1.2年,大樓,建坪 56.88,主 + 陽32.11,3房2廳2衛,6樓/27樓,"4,650",1
台北市北投區公館路,35.4年,華廈,建坪 51.48,主 + 陽42.03,4房2廳2衛,2樓/7樓,"3,480",0
台北市北投區承德路七段,1.7年,大樓,建坪 98.33,主 + 陽47.32,4房2廳3衛,10樓/19樓,"7,980",2
台北市北投區公館路,10.6年,華廈,建坪 36.11,主 + 陽20.4,2房2廳1衛,6樓/7樓,"3,186",1
台北市北投區吉利街,48.9年,公寓,建坪 37.39,主 + 陽37.39,5房4廳3衛(含加蓋2房2廳1衛),4樓/4樓,"2,356",0
台北市北投區溫泉路,11.9年,華廈,建坪 91.69,主 + 陽43.65,3房2廳2衛2室,2樓/5樓,"5,980",2
台北市北投區大屯路,55.2年,公寓,建坪 22.16,主建物22.16,2房2廳2衛,2樓/3樓,"1,200",0
台北市北投區中央北路三段,31.1年,華廈,建坪 36.24,主 + 陽26.41,3房2廳2衛,3樓/7樓,"2,420",1
台北市北投區致遠二路,17.7年,華廈,建坪 66.55,主 + 陽39.44,4房2廳2衛,2樓/7樓,"5,380",1
台北市北投區溫泉路,48.4年,華廈,建坪 10.53,主建物7.62,1房1廳1衛,1樓/7樓,399,0
台北市北投區中山路,44.2年,店面,建坪 43.39,主建物38.08,15房1廳2衛,-2樓/8樓,"2,998",0
台北市北投區中央北路二段,48.6年,公寓,建坪 23.63,主 + 陽23.63,2房3廳2衛(含加蓋1廳1衛),5樓/5樓,"1,500",0
台北市北投區西安街二段,11.8年,店面/辦公,建坪 44.26,主 + 陽25.98,1廳1衛1室,1樓/7樓,"3,980",1
台北市北投區立農街一段,53.4年,公寓,建坪 25.18,主建物25.18,3房2廳1衛,1樓/4樓,"2,858",0
台北市北投區大屯路,55.2年,公寓,建坪 27.3,主建物22.16,2房2廳2衛1室,B1-1樓/3樓,"1,400",0
台北市北投區尊賢街,48.9年,公寓,建坪 22.37,主 + 陽22.37,2房1廳1衛,3樓/4樓,"1,588",0
台北市北投區中和街,1.6年,大樓,建坪 35.35,主 + 陽22.33,3房2廳2衛,12樓/14樓,"3,188",1
台北市北投區復興一路,71.9年,透天,建坪 29.65,主建物22.08,4房2廳1.5衛(含加蓋1房),1樓/1樓,"5,200",0
台北市北投區中和街,52.8年,透天,建坪 29.04,主建物29.04,5房2廳3衛1室(含加蓋2房2衛),1-2樓/2樓,"2,980",0
台北市北投區稻香路,4.5年,華廈,建坪 49.31,主 + 陽16.78,2房2廳1衛,4樓/5樓,"2,408",2
台北市北投區稻香路,4.4年,華廈,建坪 37.57,主 + 陽15.3,2房2廳1衛,3樓/5樓,"2,350",1
台北市北投區大業路,2.4年,大樓,建坪 35.66,主 + 陽16.21,1房2廳1衛1室,23樓/24樓,"2,998",1
台北市北投區崗山路,6.9年,華廈,建坪 36.98,主 + 陽15.15,2房1廳1衛,6樓/7樓,"2,288",1
台北市北投區公館路,33.1年,大樓,建坪 103.7,主 + 陽61.9,4房2廳2衛2室,10樓/14樓,"5,800",2
台北市北投區行義路,44.1年,華廈,建坪 58.91,主 + 陽57.11,3房2廳2衛,2樓/7樓,"2,400",0
台北市北投區溫泉路,30.7年,華廈,建坪 17.57,主 + 陽12.98,1房2廳1衛,3樓/7樓,"1,218",0
台北市北投區福美路,8.3年,華廈,建坪 57.41,主 + 陽33.89,4房2廳2衛,8樓/10樓,"4,580",1
台北市北投區民族街,44.9年,公寓,建坪 39.18,主 + 陽39.18,3房2廳2衛1室,5樓/5樓,"1,600",0
台北市北投區實踐街,49.3年,公寓,建坪 27.26,主 + 陽27.27,3房2廳2衛,4樓/5樓,"1,850",0
台北市北投區天母西路,19.3年,大樓,建坪 127.55,主 + 陽57.64,3房2廳4衛3室(含加蓋1衛1室),4樓/23樓,"10,800",2
台北市北投區知行路,47.2年,公寓,建坪 32.07,主 + 陽32.08,3房2廳1衛,5樓/5樓,"1,080",0
台北市北投區天母西路,41.3年,華廈,建坪 44.99,主 + 陽38.77,3房2廳2衛,5樓/7樓,"3,350",0
台北市北投區奇岩路,13.4年,華廈,建坪 28.48,主 + 陽9.89,1房1衛,5樓/5樓,"1,314",1
台北市北投區中山北路七段,41.5年,華廈,建坪 48.18,主建物27.5,3房2廳2衛1室,1樓/7樓,"2,388",1
台北市北投區中央北路四段,12.3年,辦公/大樓,建坪 31.39,主 + 陽20.16,2房2廳1衛,10樓/14樓,"2,580",0
台北市北投區中央北路四段,41.6年,公寓,建坪 35.31,主 + 陽32.83,3房1廳1衛,4樓/5樓,"1,698",0
台北市北投區珠海路,44.2年,公寓,建坪 29.88,主 + 陽29.17,3房2廳2衛,4樓/5樓,"1,298",0
台北市北投區行義路,12.9年,大樓,建坪 102.05,主 + 陽42.57,4房2廳2衛1室,9樓/15樓,"6,400",3
台北市北投區清江路,42.5年,公寓,建坪 34.91,主 + 陽34.92,3房2廳2衛,4樓/5樓,"1,788",0
台北市北投區天母西路,6.2年,大樓,建坪 119.83,主 + 陽49.39,3廳3衛,5樓/21樓,"9,867",3
台北市北投區光明路,8.6年,大樓/辦公,建坪 59.77,主 + 陽37.14,1房2廳3衛1室,1樓/24樓,"6,638",1
台北市北投區稻香路,8.6年,華廈,建坪 97.53,主 + 陽53.51,4房2廳3衛,3樓/5樓,"4,480",2
台北市北投區光明路,8.6年,大樓,建坪 52.94,主 + 陽37.14,1房2廳3衛1室,1樓/24樓,"6,488",0
台北市北投區稻香路,4.4年,華廈,建坪 62.88,主 + 陽22.89,3房2廳2衛,5樓/5樓,"3,150",2
台北市北投區中央北路四段,40.3年,公寓,建坪 32.24,主 + 陽29.7,4房3廳3衛(含加蓋1房1廳1衛),5樓/5樓,"1,798",0
台北市北投區光明路,48.3年,華廈,建坪 29.72,主 + 陽25.85,2房2廳1衛1室,10樓/10樓,"1,980",0
台北市北投區文林北路,9.0年,大樓,建坪 112.21,主 + 陽64.35,2房2廳3衛1室,17樓/25樓,"12,800",1
台北市北投區行義路,25.3年,大樓,建坪 75.59,主 + 陽46.1,4房2廳2衛,9-10樓/16樓,"4,280",1
台北市北投區東華街二段,17.6年,大樓,建坪 76.5,主 + 陽45.79,3房2廳2衛,9樓/14樓,"7,280",1
台北市北投區知行路,16.7年,華廈,建坪 53.52,主 + 陽25.86,2房2廳2衛1室,6樓/7樓,"3,380",1
台北市北投區知行路,16.7年,大樓,建坪 27.05,主 + 陽13.54,1房2廳1衛,10樓/11樓,"1,780",1
台北市北投區光明路,14.8年,大樓,建坪 44.69,主 + 陽27.53,3房2廳2衛1室,14樓/14樓,"4,580",1
台北市北投區溫泉路,20.3年,大樓,建坪 10.16,主 + 陽6.72,1房1廳1衛,6樓/13樓,850,0
台北市北投區稻香路,4.4年,華廈,建坪 50.7,主 + 陽22.89,3房2廳2衛,2樓/5樓,"2,980",1
台北市北投區溫泉路,30.7年,華廈,建坪 22.54,主 + 陽17.34,2房2廳1衛,3樓/7樓,"1,680",0
台北市北投區吉利街,30.3年,華廈,建坪 44.14,主 + 陽30.82,3房2廳2衛,7樓/7樓,"3,488",1
台北市北投區大度路三段,17.4年,大樓,建坪 17.5,主 + 陽11.19,1房1廳1衛,8樓/14樓,"1,488",0
台北市北投區光明路,43.8年,華廈,建坪 48.82,主建物37.07,2房2廳2衛,1樓/7樓,"3,280",0
台北市北投區大興街,46.2年,公寓,建坪 25.11,主 + 陽25.11,4房3廳2衛(含加蓋2房1廳1衛),4樓/4樓,"1,950",0
台北市北投區新民路,44.1年,華廈,建坪 44.61,主 + 陽26.72,2房2廳1衛,4樓/6樓,"1,598",1
台北市北投區奇岩路,13.4年,華廈,建坪 42.7,主 + 陽18.46,1房1廳1衛,5樓/5樓,"1,828",1
台北市北投區文林北路,12.4年,大樓,建坪 57.85,主 + 陽34.97,3房2廳2衛,2樓/14樓,"5,445",1
台北市北投區稻香路,44.2年,公寓,建坪 34.62,主 + 陽34.62,4房2廳2衛,4樓/4樓,"1,698",0
台北市北投區崗山路,18.2年,大樓,建坪 50.84,主 + 陽27.6,3房2廳2衛,8樓/12樓,"3,088",1
台北市北投區溫泉路,45.1年,華廈,建坪 10.39,主建物8.42,1房1廳1衛,-1樓/7樓,530,0
台北市北投區中央北路一段,11.5年,大樓,建坪 39.12,主 + 陽22.66,3房2廳2衛,3樓/12樓,"3,200",1
台北市北投區永興路二段,50.9年,公寓,建坪 26.41,主 + 陽26.41,3房2廳1衛,4樓/4樓,"1,268",0
台北市北投區清江路,1.2年,店面,建坪 23.61,主建物17.44,1廳1衛,1樓/27樓,"2,998",0
台北市北投區中山北路七段,41.5年,華廈,建坪 37.32,主 + 陽32.76,3房2廳2衛,2樓/7樓,"2,080",0
台北市北投區中和街,1.6年,大樓,建坪 22.22,主 + 陽14.84,2房2廳1衛,3樓/14樓,"1,980",0
台北市北投區石牌路二段,1.2年,大樓,建坪 50.04,主 + 陽24.7,3房2廳2衛,5樓/14樓,"4,500",1
台北市北投區光明路,40.5年,公寓,建坪 26.83,主 + 陽23.16,4房2廳2衛(含加蓋2房1廳1衛),5樓/5樓,"1,398",0
台北市北投區石牌路二段,1.2年,大樓,建坪 49.63,主 + 陽24.43,3房2廳2衛,7樓/14樓,"4,500",1
台北市北投區民族街,41.7年,公寓,建坪 37.27,主 + 陽34.68,3房2廳2衛,4樓/5樓,"1,500",0
台北市北投區大度路三段,39.1年,公寓,建坪 31.03,主 + 陽27.79,3房2廳2衛,2樓/5樓,"1,488",0
台北市北投區大度路三段,39.3年,公寓,建坪 27.48,主 + 陽24.78,3房2廳1.5衛,4樓/4樓,"1,098",0
台北市北投區奇岩路,40.5年,華廈,建坪 17.18,主 + 陽14.2,1房1廳1衛,3樓/5樓,880,0
台北市北投區民族街,44.9年,公寓,建坪 39.18,主 + 陽39.18,6房1廳2衛,5樓/5樓,"1,888",0
台北市北投區榮華三路,43.3年,華廈,建坪 73.25,主 + 陽63.03,3房2廳2衛,4樓/7樓,"5,880",1
台北市北投區石牌路一段,1.1年,大樓,建坪 52.43,主 + 陽25.35,3房2廳2衛,4樓/14樓,"5,668",1
台北市北投區泉源路,44.8年,公寓,建坪 23.39,主 + 陽23.39,2房2廳1衛,4樓/5樓,"1,158",0
台北市北投區同德街,41.7年,公寓,建坪 35.29,主 + 陽32.21,3房2廳2衛,3樓/5樓,"1,765",0
台北市北投區公館路,39.8年,公寓,建坪 27.8,主建物22.7,3房2廳2衛,1樓/5樓,"2,500",0
台北市北投區泉源路,46.4年,公寓,建坪 34.19,主 + 陽34.19,6房4廳3衛(含加蓋3房2廳1衛),5樓/5樓,"1,350",0
台北市北投區北科路,0.4年,華廈,建坪 38.76,主 + 陽16.45,2房2廳1衛,3樓/9樓,"3,688",1
台北市北投區中央北路一段,29.1年,華廈,建坪 68.27,主 + 陽32.17,3房2廳2衛1室,5樓/5樓,"3,880",1
台北市北投區泉源路,10.0年,大樓,建坪 98.61,主 + 陽49.22,2房2廳2衛1室,16樓/19樓,"7,388",2
台北市北投區大興街,1.2年,大樓,建坪 61.17,主 + 陽34.59,4房2廳2衛,16樓/27樓,"5,250",1
台北市北投區天母西路,19.3年,大樓,建坪 126.13,主 + 陽57.64,4房2廳5衛2室(含加蓋1房1衛),6樓/23樓,"13,800",2
