路段,屋齡,房屋類型,建坪,主建物/陽台,格局,樓層,房屋總價(萬),車位
台北市南港區經園街,預售,其它/華廈,建坪 24.44,主+附 15.28,2房1廳1衛,5樓/8樓,"3,160",0
台北市南港區經園街,預售,其它/華廈,建坪 14.62,主+附 9.14,2房1廳1衛,6樓/8樓,"1,915",0
台北市南港區福德街,48.8年,公寓,建坪 21.94,主 + 陽21.94,5房3廳2衛(含加蓋2房1廳1衛),4樓/4樓,"1,688",0
台北市南港區舊莊街一段,36.1年,公寓,建坪 26.02,主 + 陽23.9,3房2廳1衛,5樓/5樓,"1,380",0
台北市南港區向陽路,2.3年,華廈,建坪 34.22,主 + 陽16.62,2房1廳1衛,9樓/10樓,"3,280",1
台北市南港區東新街,41.3年,公寓,建坪 31.68,主 + 陽28.96,5房3廳3衛(含加蓋2房1廳1衛),5樓/5樓,"1,880",0
台北市南港區興華路,17.0年,大樓,建坪 70.4,主 + 陽32.59,3房2廳2衛1室,3樓/12樓,"5,088",2
台北市南港區向陽路,1.3年,大樓,建坪 74.77,主 + 陽45.49,3房2廳2衛,5樓/15樓,"7,380",1
台北市南港區重陽路,9.9年,大樓,建坪 76.04,主 + 陽37.25,4房2廳2衛,10樓/15樓,"6,380",1
台北市南港區舊莊街一段,1.9年,大樓,建坪 42.68,主 + 陽18.84,2房2廳1衛,12樓/15樓,"3,188",1
台北市南港區重陽路,4.1年,大樓,建坪 54.93,主 + 陽28.53,3房2廳2衛,9樓/14樓,"5,888",1
台北市南港區經貿二路,11.3年,大樓,建坪 204.35,主 + 陽115.57,5房2廳5衛3室,19樓/21樓,"18,600",4
台北市南港區研究院路二段,15.1年,大樓,建坪 75.27,主 + 陽39.19,3房2廳2衛1室,4樓/15樓,"4,880",1
台北市南港區重陽路,19.3年,店面/辦公,建坪 23.64,主 + 陽12.03,1房1廳1衛(含加蓋1房),1樓/8樓,"2,800",0
台北市南港區研究院路三段,15.5年,華廈,建坪 40.09,主 + 陽16.86,2房2廳2衛,4樓/5樓,"2,083",1
台北市南港區園區街,17.5年,華廈,建坪 50.42,主 + 陽26.63,3房2廳2衛,5樓/10樓,"3,998",1
台北市南港區舊莊街一段,52.4年,公寓,建坪 29.78,主建物23.1,5房2廳2衛(含加蓋1廳1衛),1樓/4樓,"2,300",0
台北市南港區興南街,32.1年,大樓,建坪 28.45,主 + 陽19.14,2房2廳1.5衛,4樓/11樓,"2,558",1
台北市南港區經貿二路,13.3年,大樓,建坪 109.5,主 + 陽60.16,1廳,11樓/14樓,"7,999",1
台北市南港區舊莊街一段,36.8年,公寓,建坪 34.24,主 + 陽28.89,4房2廳2衛,2樓/5樓,"1,850",0
台北市南港區向陽路,17.4年,華廈,建坪 41.56,主 + 陽20.26,2房2廳1衛1室,6樓/9樓,"3,098",1
台北市南港區經園街,預售,華廈,建坪 25.88,主+附 16.17,2房1廳1衛,4樓/8樓,"3,415",0
台北市南港區東明街,16.5年,華廈,建坪 34.24,主 + 陽18.43,2房2廳1衛,8樓/9樓,"3,400",1
台北市南港區經貿二路,12.0年,大樓,建坪 115.98,主 + 陽60.94,3房2廳2衛,7樓/21樓,"11,688",2
台北市南港區昆陽街,5.4年,大樓,建坪 41.38,主 + 陽19.82,3房2廳1.5衛,5樓/12樓,"3,988",1
台北市南港區玉成街,41.4年,公寓/辦公,建坪 36.19,主 + 陽32.87,3房2廳2衛,2樓/5樓,"2,780",0
台北市南港區港東街,0.5年,華廈,建坪 25.49,主 + 陽16.59,2房2廳2衛,7樓/10樓,"3,420",0
台北市南港區南深路,27.0年,華廈,建坪 17.78,主 + 陽12.54,1房1廳1衛,3樓/10樓,"1,100",0
台北市南港區向陽路,1.3年,大樓,建坪 73.23,主 + 陽45.56,2房2廳,2樓/15樓,"7,550",1
台北市南港區經貿二路,13.0年,大樓,建坪 35.54,主 + 陽17.88,2房2廳1衛,5樓/13樓,"3,480",1
台北市南港區研究院路二段,41.4年,公寓,建坪 31.24,主建物25.1,3房2廳2衛,1樓/5樓,"2,180",0
台北市南港區南港路二段,17.3年,大樓,建坪 50.72,主 + 陽23.66,3房2廳2衛,11樓/12樓,"4,650",1
台北市南港區園區街,16.8年,大樓,建坪 56.16,主 + 陽24.84,3房2廳2衛,8樓/14樓,"4,788",1
台北市南港區向陽路,17.0年,大樓,建坪 34.65,主 + 陽17.79,2房2廳1衛,6樓/12樓,"3,300",1
台北市南港區松河街,17.6年,華廈,建坪 69.92,主 + 陽27.51,3房2廳2衛,2樓/9樓,"4,588",2
台北市南港區東新街,15.9年,華廈,建坪 36.72,主 + 陽19.3,2房2廳1衛,4樓/7樓,"3,580",1
台北市南港區成福路,30.3年,大樓,建坪 39.84,主 + 陽25.55,3房2廳2衛,16樓/18樓,"3,225",1
台北市南港區向陽路,17.0年,大樓,建坪 41.99,主 + 陽19.09,1房2廳1衛1室,6樓/12樓,"3,688",1
台北市南港區經貿二路,13.3年,大樓,建坪 124.27,主 + 陽60.18,1廳1室,6樓/14樓,"9,750",2
台北市南港區重陽路,3.2年,大樓,建坪 49.8,主 + 陽22.35,2房2廳2衛,11樓/12樓,"4,588",1
台北市南港區研究院路二段,12.6年,華廈,建坪 57.04,主 + 陽29.86,3房2廳2衛,3樓/5樓,"3,799",1
台北市南港區園區街,16.8年,大樓,建坪 56.45,主 + 陽25.61,3房2廳2衛,3樓/14樓,"4,775",1
台北市南港區重陽路,3.2年,大樓,建坪 44.46,主 + 陽22.35,3房2廳2衛,8樓/12樓,"4,588",1
台北市南港區東明街,17.3年,大樓,建坪 46.75,主 + 陽23.64,3房2廳2衛,2樓/13樓,"4,380",1
台北市南港區經貿二路,12.0年,華廈,建坪 70.58,主 + 陽38.5,4房2廳2衛,6樓/9樓,"6,988",1
台北市南港區經貿二路,11.3年,大樓,建坪 99.7,主 + 陽55.81,3房2廳3衛,14樓/21樓,"10,988",2
台北市南港區園區街,16.8年,大樓,建坪 30.81,主 + 陽16.17,2房1廳1衛,5樓/14樓,"3,188",1
台北市南港區三重路,14.1年,大樓,建坪 76.1,主 + 陽39.29,3房2廳2衛,4樓/13樓,"6,658",1
台北市南港區重陽路,15.4年,華廈,建坪 74.98,主 + 陽44.53,3房2廳2衛1室,1樓/7樓,"8,988",2
台北市南港區興南街,1.2年,大樓,建坪 60.77,主 + 陽30.33,3房2廳2衛,7樓/26樓,"6,688",2
