路段,屋齡,房屋類型,建坪,主建物/陽台,格局,樓層,房屋總價(萬),車位
台北市士林區中山北路七段,11.6年,大樓,建坪 114.39,主 + 陽58.48,2房2廳4衛1室,3樓/12樓,"12,000",2
台北市士林區中山北路七段,45.9年,店面/辦公,建坪 67.69,主建物56.86,3廳2衛1室(含加蓋1室),1樓/7樓,"5,500",0
台北市士林區雨聲街,32.8年,公寓,建坪 19.02,主 + 陽13.18,1房1廳1衛,4樓/5樓,"1,398",0
台北市士林區文林路,49.4年,公寓,建坪 28.95,主建物25.02,3房2廳2衛,1樓/4樓,"3,288",0
台北市士林區社中街,48.8年,公寓,建坪 29.17,主 + 陽29.16,3房2廳2衛,3樓/4樓,"1,760",0
台北市士林區忠誠路一段,33.5年,華廈,建坪 49.67,主 + 陽41.66,4房2廳2衛,2樓/10樓,"4,288",0
台北市士林區永平街,45.6年,公寓,建坪 25.14,主 + 陽25.15,2房2廳1衛,2樓/5樓,"1,398",0
台北市士林區中山北路五段,1.5年,大樓,建坪 83.54,主 + 陽44.27,4房2廳2衛,16樓/18樓,"9,980",1
台北市士林區中山北路七段,45.9年,華廈,建坪 84.52,主 + 陽72.09,3房2廳3衛1室,2樓/7樓,"4,580",0
台北市士林區福林路,17.0年,華廈,建坪 64.39,主 + 陽41.51,4房2廳2衛,1樓/7樓,"5,488",1
台北市士林區華聲街,46.7年,公寓,建坪 23.01,主建物16.44,3房2廳2衛1室,1樓/5樓,"1,880",0
台北市士林區士東路,44.5年,公寓,建坪 38.9,主 + 陽37.87,3房2廳2衛,5樓/5樓,"2,488",0
台北市士林區福華路,47.2年,公寓,建坪 38.19,主 + 陽38.19,3房2廳2衛,5樓/5樓,"2,968",0
台北市士林區延平北路五段,54.3年,公寓,建坪 25.85,主建物25.85,3房2廳1衛,3樓/4樓,"1,422",0
台北市士林區基河路,18.4年,大樓,建坪 70.92,主 + 陽41.37,3房2廳2衛,6樓/12樓,"6,888",1
台北市士林區華齡街,41.9年,公寓,建坪 37.19,主 + 陽36.24,3房3廳2衛(含加蓋1廳),5樓/5樓,"1,930",0
台北市士林區中山北路七段,48.2年,華廈,建坪 69.61,主 + 陽62.93,4房2廳2衛,2樓/7樓,"3,980",0
台北市士林區中山北路五段,1.9年,大樓,建坪 74.79,主 + 陽38.94,3房2廳2衛,6樓/17樓,"6,488",1
台北市士林區中山北路七段,47.1年,公寓,建坪 33,主建物28.9,3房2廳2衛,1樓/5樓,"2,950",0
台北市士林區通河街,51.3年,公寓,建坪 31.2,主 + 陽31.2,3房2廳2衛,3樓/4樓,"1,999",0
台北市士林區忠誠路二段,22.1年,大樓,建坪 113.7,主 + 陽60.35,4房2廳2衛1室,2樓/12樓,"9,380",2
台北市士林區芝玉路二段,5.5年,華廈,建坪 63.26,主 + 陽29.55,3房2廳2衛,4樓/9樓,"5,250",1
台北市士林區中山北路七段,36.6年,華廈,建坪 58.67,主 + 陽37.72,2房2廳3衛,1樓/7樓,"3,980",1
台北市士林區天母北路,5.7年,大樓,建坪 97.73,主 + 陽42.72,4房2廳3衛,8樓/24樓,"8,988",2
台北市士林區延平北路六段,20.1年,大樓,建坪 48.31,主 + 陽20.57,2房2廳1衛(含加蓋1房1衛),11樓/11樓,"2,980",1
台北市士林區芝玉路一段,17.3年,大樓,建坪 71.7,主 + 陽42.23,4房2廳2衛,4樓/18樓,"6,880",1
台北市士林區文林路,9.8年,大樓,建坪 58.82,主 + 陽31.34,3房2廳2衛1室,9樓/15樓,"5,488",1
台北市士林區大西路,25.1年,華廈,建坪 81.49,主 + 陽39.86,4房2廳2衛(含加蓋1房),2樓/9樓,"5,580",2
台北市士林區重慶北路四段,47.2年,華廈,建坪 23.87,主建物19.56,1房1廳1衛,1樓/7樓,"1,588",0
台北市士林區德行東路,20.2年,華廈,建坪 83.17,主 + 陽39.91,3房2廳2衛,4樓/9樓,"6,980",2
台北市士林區德行東路,18.8年,華廈,建坪 71.31,主 + 陽41.2,4房2廳2衛(含加蓋1房),7樓/10樓,"7,380",1
台北市士林區中山北路七段,36.6年,華廈,建坪 46.59,主 + 陽28.79,1房2廳1.5衛2室,1樓/7樓,"2,880",1
台北市士林區士商路,18.3年,華廈,建坪 58.04,主 + 陽27.12,3房2廳2衛,2樓/7樓,"4,880",2
台北市士林區中山北路七段,15.0年,大樓,建坪 164.32,主 + 陽65.17,4房2廳4衛1室,7樓/16樓,"15,888",3
台北市士林區重慶北路四段,47.2年,華廈,建坪 25.37,主 + 陽23.12,3房2廳1衛,4樓/7樓,"2,188",0
台北市士林區至誠路一段,7.7年,大樓,建坪 117.3,主 + 陽56.8,4房2廳2衛,12樓/14樓,"9,980",2
台北市士林區福華路,7.7年,華廈,建坪 43.44,主 + 陽25.24,3房2廳2衛,4樓/9樓,"4,140",1
台北市士林區忠誠路二段,39.6年,大樓,建坪 44.96,主 + 陽37.74,3房2廳2衛,9樓/14樓,"4,160",0
台北市士林區中正路,27.6年,店面,建坪 35.95,主 + 陽20.17,1廳1衛,1樓/9樓,"1,911",1
