路段,屋齡,房屋類型,建坪,主建物/陽台,格局,樓層,房屋總價(萬),車位
台北市大同區酒泉街,14.7年,華廈,建坪 86.13,主 + 陽49.71,6房3廳3衛,2樓/7樓,"4,988",2
台北市大同區重慶北路二段,6.8年,大樓,建坪 27.87,主 + 陽13.38,2房1廳1衛,4樓/15樓,"2,728",1
台北市大同區歸綏街,37.9年,華廈,建坪 26.77,主 + 陽22.52,3房2廳2衛,2樓/10樓,"1,988",0
台北市大同區延平北路二段,2.3年,大樓,建坪 38.47,主 + 陽22.73,2房2廳2衛,7樓/12樓,"3,980",1
台北市大同區重慶北路二段,42.5年,大樓/辦公,建坪 6.91,主 + 陽5.6,1房1廳1衛(含加蓋1房),9樓/12樓,738,0
台北市大同區貴德街,46.5年,華廈/辦公,建坪 53.66,主 + 陽46.28,4房2廳3衛,6樓/7樓,"3,990",0
台北市大同區太原路,13.0年,店面,建坪 23.62,主建物9.31,1房2廳1衛,1樓/12樓,"3,500",1
台北市大同區西寧北路,93.9年,公寓,建坪 24.72,主建物24.72,3房2廳1衛,2樓/2樓,"2,220",0
台北市大同區甘谷街,45.2年,華廈/辦公,建坪 53.82,主 + 陽53.82,4房2廳1衛,4樓/7樓,"3,329",0
台北市大同區延平北路二段,2.3年,大樓,建坪 28.03,主 + 陽17.98,1房2廳1衛,7樓/12樓,"2,980",0
台北市大同區敦煌路,16.4年,大樓,建坪 53.55,主 + 陽36.87,4房2廳2衛2室,3樓/15樓,"4,980",0
台北市大同區鄭州路,36.7年,大樓,建坪 42.25,主 + 陽33.22,4房2廳2衛,8樓/17樓,"3,778",0
台北市大同區民生西路,55.5年,公寓,建坪 22.73,主建物22.73,2房3廳1衛2室(含加蓋1廳2室),4樓/4樓,"1,750",0
台北市大同區延平北路二段,2.2年,店面,建坪 32.82,主 + 陽16.58,1廳1衛,1樓/9樓,"3,890",1
台北市大同區寧夏路,29.4年,套房,建坪 14.11,主 + 陽9,1房1廳1衛,5樓/14樓,"1,158",0
台北市大同區寧夏路,29.4年,大樓,建坪 17.94,主 + 陽11.02,1房1廳1衛,7樓/14樓,"1,480",0
台北市大同區重慶北路二段,32.6年,辦公/大樓,建坪 101.37,主 + 陽86.2,9房1廳2衛4室,2樓/12樓,"6,780",0
台北市大同區重慶北路二段,0.9年,大樓,建坪 64.98,主 + 陽36.72,4房2廳3衛1室,12樓/15樓,"6,899",1
台北市大同區延平北路一段,13.8年,辦公/大樓,建坪 68.72,主 + 陽41.03,4房2廳2衛,8樓/15樓,"6,880",1
