路段,屋齡,房屋類型,建坪,主建物/陽台,格局,樓層,房屋總價(萬),車位
台北市大安區安和路二段,0.8年,華廈,建坪 14.18,主 + 陽8.57,1房1廳1衛,4樓/5樓,"2,270",0
台北市大安區安和路二段,0.8年,華廈,建坪 14.18,主 + 陽8.57,1衛,3樓/5樓,"2,220",0
台北市大安區安和路二段,0.8年,華廈,建坪 17.13,主 + 陽10.35,2房1廳1衛,4樓/5樓,"2,780",0
台北市大安區和平東路一段,44.3年,店面/辦公/大樓,建坪 47.95,主 + 陽17.89,2廳1衛,1樓/12樓,"5,680",0
台北市大安區復興南路二段,42.0年,大樓,建坪 54.39,主 + 陽34.3,4房3廳3衛(含加蓋1房1廳1衛),12樓/12樓,"4,998",1
台北市大安區信義路三段,14.8年,華廈,建坪 44.33,主 + 陽21.94,2房2廳1.5衛,3樓/9樓,"6,588",1
台北市大安區臥龍街,17.4年,華廈,建坪 38.41,主 + 陽25.07,3房2廳2衛,3樓/9樓,"3,780",0
台北市大安區新生南路三段,1.6年,店面,建坪 42.44,主建物28.25,2廳2衛,1樓/12樓,"7,428",0
台北市大安區復興南路一段,47.2年,大樓/辦公,建坪 75.8,主 + 陽40.72,1廳2衛5室,14樓/14樓,"6,628",2
台北市大安區敦化南路一段,37.6年,華廈,建坪 43.81,主 + 陽41.74,3房1廳2衛,6樓/8樓,"6,550",0
台北市大安區敦化南路一段,51.0年,大樓/辦公,建坪 19.13,主 + 陽15.67,1廳1衛,5樓/14樓,"2,988",0
台北市大安區復興南路二段,39.6年,大樓/辦公,建坪 50.3,主 + 陽31.38,3房2廳2衛,5樓/16樓,"4,800",1
台北市大安區泰順街,2.1年,大樓,建坪 34.86,主 + 陽22.71,3房2廳2衛,3樓/11樓,"5,880",0
台北市大安區四維路,58.9年,公寓,建坪 29.91,主建物29.91,3房2廳2衛1室(含加蓋2衛),1樓/4樓,"6,580",0
台北市大安區新生南路三段,47.2年,大樓,建坪 55.36,主 + 陽49.83,4房2廳2衛,7樓/12樓,"5,818",0
台北市大安區仁愛路四段,49.0年,大樓/辦公,建坪 48.51,主 + 陽38.51,4房2廳2衛,2樓/12樓,"5,880",0
台北市大安區新生南路三段,49.9年,華廈,建坪 49.17,主 + 陽49.16,4房2廳2衛,7樓/7樓,"5,888",0
台北市大安區信義路三段,57.9年,華廈,建坪 59.08,主建物57.11,3房2廳2衛2室(含加蓋1室),4樓/5樓,"8,400",0
台北市大安區和平東路二段,40.8年,大樓,建坪 38.44,主 + 陽29.61,3房2廳2衛,6樓/17樓,"3,650",0
台北市大安區信義路四段,43.4年,大樓/辦公,建坪 81.44,主 + 陽57.01,4房2廳4衛,15樓/15樓,"7,980",1
台北市大安區復興南路一段,44.2年,大樓,建坪 26.77,主 + 陽20.7,2房2廳1衛,5樓/12樓,"2,288",0
台北市大安區溫州街,43.0年,華廈,建坪 46.35,主 + 陽39.33,4房2廳2衛,2樓/6樓,"4,868",0
台北市大安區新生南路一段,22.5年,華廈,建坪 74.07,主 + 陽47.26,5房2廳3衛1室(含加蓋1房1廳),5樓/7樓,"8,988",2
台北市大安區金山南路二段,11.2年,大樓,建坪 21.4,主建物13.33,1房1廳1衛,2樓/14樓,"3,750",0
台北市大安區師大路,58.3年,公寓,建坪 21.77,主 + 陽21.77,2房2廳1衛,2樓/4樓,"2,188",0
台北市大安區建國南路一段,7.9年,大樓,建坪 20.49,主 + 陽12.88,2房2廳1衛,3樓/14樓,"3,380",0
台北市大安區溫州街,43.1年,華廈,建坪 48.08,主建物29.98,4房2廳2衛,1樓/7樓,"7,268",0
台北市大安區復興南路二段,40.8年,大樓,建坪 30.54,主 + 陽22.78,3房2廳1衛,3樓/17樓,"2,888",0
台北市大安區羅斯福路三段,18.7年,華廈,建坪 46.93,主 + 陽21.29,2房2廳2衛,4樓/7樓,"5,888",1
台北市大安區和平東路二段,17.2年,華廈,建坪 89.28,主 + 陽40.58,3房2廳2衛,3樓/10樓,"7,980",2
台北市大安區新生南路三段,1.6年,店面,建坪 21.39,主建物14.24,1廳1衛,1樓/12樓,"3,744",0
台北市大安區敦化南路一段,5.5年,大樓,建坪 58.68,主 + 陽31.34,3房2廳2衛1室,11樓/23樓,"9,450",1
台北市大安區通化街,48.9年,公寓,建坪 26.55,主 + 陽26.55,2房2廳1衛,4樓/4樓,"2,388",0
台北市大安區和平東路二段,3.0年,大樓,建坪 57.03,主 + 陽29.99,3房2廳2衛,10樓/11樓,"8,988",1
台北市大安區新生南路三段,1.6年,店面,建坪 21.05,主建物14.01,1廳1衛,1樓/12樓,"3,684",0
台北市大安區光復南路,17.7年,大樓,建坪 76.37,主 + 陽43.45,4房2廳2衛1室,19樓/19樓,"9,288",1
台北市大安區敦化南路二段,43.3年,大樓,建坪 66.7,主 + 陽55.89,5房2廳2衛1室,7樓/12樓,"7,988",0
台北市大安區安和路二段,44.5年,辦公/大樓,建坪 25.09,主 + 陽19.22,1廳,11樓/12樓,"3,180",0
台北市大安區敦化南路二段,38.7年,大樓,建坪 45.94,主 + 陽38.36,4房2廳2衛1室,13樓/18樓,"6,880",0
台北市大安區忠孝東路四段,46.7年,華廈,建坪 43.6,主 + 陽37.1,3房2廳2衛1室,2樓/7樓,"4,300",0
台北市大安區仁愛路四段,44.1年,大樓,建坪 71.15,主 + 陽45.81,4房1廳2衛,9樓/14樓,"7,499",1
台北市大安區敦化南路一段,56.6年,店面,建坪 32.32,主建物29.84,3房2廳1衛(含加蓋1衛),1樓/4樓,"9,680",0
台北市大安區復興南路二段,18.6年,華廈,建坪 79.38,主 + 陽44.95,2房2廳2衛2室,2樓/8樓,"10,088",1
台北市大安區仁愛路三段,43.1年,華廈,建坪 52.56,主 + 陽39.29,4房2廳2衛,3樓/7樓,"5,188",0
台北市大安區信義路四段,1.3年,大樓,建坪 46.21,主 + 陽21.59,1房2廳2衛1室,12樓/13樓,"7,038",1
台北市大安區安和路二段,42.3年,華廈,建坪 35.24,主 + 陽29.95,3房2廳2衛,5樓/7樓,"3,988",0
台北市大安區光復南路,13.7年,店面,建坪 33.72,主 + 陽22.96,1廳1衛2室(含加蓋1室),1樓/14樓,"8,088",0
台北市大安區泰順街,60.4年,公寓,建坪 35.2,主 + 陽31.46,2房3廳2衛1室(含加蓋1廳),4樓/4樓,"3,680",0
台北市大安區敦化南路二段,40.9年,大樓,建坪 41.66,主 + 陽28.55,3房2廳2衛,8樓/19樓,"4,180",0
台北市大安區復興南路二段,3.1年,大樓,建坪 24.66,主 + 陽15.52,1房2廳1衛,24樓/34樓,"4,888",0
台北市大安區瑞安街,27.3年,華廈,建坪 49.31,主 + 陽32.72,4房2廳2衛,3樓/5樓,"5,680",1
台北市大安區樂業街,49.0年,公寓,建坪 32.4,主 + 陽32.4,3房2廳2衛,3樓/4樓,"2,198",0
台北市大安區新生南路一段,5.0年,大樓,建坪 31.91,主 + 陽16.24,2房2廳2衛,12樓/12樓,"5,366",1
台北市大安區臥龍街,1.4年,大樓,建坪 42.96,主 + 陽20.03,2房2廳2衛,5樓/23樓,"3,960",1
台北市大安區忠孝東路三段,2.6年,辦公/大樓,建坪 102.71,主 + 陽58.01,1廳,15樓/15樓,"13,983",2
台北市大安區復興南路二段,1.1年,大樓,建坪 56.13,主 + 陽29.88,3房2廳2衛,10樓/23樓,"8,288",1
