路段,屋齡,房屋類型,建坪,主建物/陽台,格局,樓層,房屋總價(萬),車位
台北市文山區辛亥路四段,30.8年,套房/華廈,建坪 17.45,主 + 陽14.03,1房1廳1衛,5樓/10樓,"1,250",0
台北市文山區木柵路二段,預售,大樓,建坪 29.86,主+附 19.53,2房2廳1衛,18樓/22樓,"2,976",0
台北市文山區木柵路二段,預售,大樓,建坪 36.27,主+附 23.73,3房2廳2衛,13樓/22樓,"3,720",0
台北市文山區辛亥路四段,43.5年,公寓,建坪 33.61,主 + 陽33.61,3房2廳1衛1室,5樓/5樓,"1,430",0
台北市文山區景華街,18.5年,華廈,建坪 43.64,主 + 陽24.82,3房2廳2衛,2樓/7樓,"3,380",1
台北市文山區辛亥路四段,22.5年,大樓,建坪 13.31,主 + 陽9.25,1房1廳1衛,4樓/14樓,998,0
台北市文山區試院路,40.2年,公寓,建坪 43.02,主建物36.71,7房2廳2衛,1樓/5樓,"1,850",0
台北市文山區辛亥路五段,42.6年,華廈,建坪 41.19,主 + 陽35.14,3房2廳2衛1室,7樓/7樓,"2,768",0
台北市文山區景福街,44.8年,公寓,建坪 33.8,主 + 陽33.8,3房2廳2衛,4樓/5樓,"1,888",0
台北市文山區福興路,36.3年,公寓,建坪 30.65,主建物26.76,3房2廳2衛,1樓/5樓,"1,880",0
台北市文山區景仁街,46.1年,公寓,建坪 32.49,主 + 陽32.49,3房2廳2衛,2樓/4樓,"2,288",0
台北市文山區興德路,47.6年,公寓,建坪 28.28,主 + 陽28.28,3房2廳1衛,2樓/4樓,"1,750",0
台北市文山區景華街,54.6年,公寓,建坪 38.02,主 + 陽38.01,4房2廳2衛,4樓/4樓,"2,150",0
台北市文山區興隆路二段,28.7年,華廈/辦公,建坪 49.54,主建物33.41,3房2廳2衛,-2樓/6樓,"1,850",0
台北市文山區辛亥路四段,22.5年,大樓,建坪 62.23,主 + 陽34.37,3房2廳2衛,7樓/11樓,"3,688",1
台北市文山區羅斯福路五段,46.6年,公寓,建坪 41.46,主 + 陽41.46,4房2廳2衛,4樓/5樓,"2,688",0
台北市文山區木柵路三段,1.2年,大樓,建坪 65.92,主 + 陽35.13,4房2廳2衛,19樓/29樓,"5,800",1
台北市文山區辛亥路四段,22.5年,大樓,建坪 13.85,主 + 陽9.81,1房1廳1衛,13樓/14樓,"1,240",0
