路段,屋齡,房屋類型,建坪,主建物/陽台,格局,樓層,房屋總價(萬),車位
台北市松山區民生東路五段,36.7年,套房,建坪 11.41,主 + 陽9.33,1房1衛,19樓/20樓,"1,068",0
台北市松山區健康路,33.0年,大樓,建坪 44.23,主 + 陽34.23,4房2廳2衛,5樓/12樓,"3,988",0
台北市松山區光復北路,37.4年,店面,建坪 35.06,主建物26.54,1房2廳2衛(含加蓋1房1廳),1樓/10樓,"6,500",0
台北市松山區民生東路五段,36.7年,大樓,建坪 11.41,主 + 陽9.33,1房1廳1衛,10樓/20樓,"1,088",0
台北市松山區松河街,10.9年,大樓/辦公,建坪 32.62,主 + 陽17.62,2房2廳1衛,2樓/15樓,"3,280",1
台北市松山區南京東路五段,43.0年,華廈,建坪 33.6,主建物25.21,3房2廳2衛,5樓/6樓,"3,188",0
台北市松山區南京東路五段,36.1年,大樓,建坪 21.56,主 + 陽17.4,2房2廳1衛,3樓/19樓,"2,200",0
台北市松山區民生東路五段,43.1年,大樓,建坪 56.78,主 + 陽49.25,4房2廳2衛,5樓/15樓,"4,960",0
台北市松山區南京東路五段,21.5年,華廈/辦公,建坪 46.63,主建物30.68,2房2廳2衛,4樓/10樓,"4,158",1
台北市松山區民生東路五段,43.1年,大樓,建坪 15.86,主 + 陽13.38,1房1廳1衛,10樓/15樓,"1,698",0
台北市松山區民生東路五段,36.7年,大樓,建坪 36.31,主 + 陽29.42,3房2廳2衛,16樓/20樓,"3,260",0
台北市松山區八德路三段,37.2年,大樓,建坪 12.86,主 + 陽10.76,2房2廳1衛,9樓/12樓,"1,980",0
台北市松山區敦化北路,13.8年,華廈,建坪 109.79,主 + 陽45.69,3房2廳3衛2室,4樓/10樓,"15,880",2
台北市松山區敦化北路,42.9年,華廈,建坪 46.2,主 + 陽39.58,5房3廳3衛(含加蓋2房1廳1衛),7樓/7樓,"4,788",0
台北市松山區八德路四段,12.2年,大樓,建坪 24.78,主建物10.91,1房1廳1衛,7樓/13樓,"2,295",1
台北市松山區新東街,47.1年,店面,建坪 23.37,主建物22.01,1廳1衛,1樓/7樓,"3,880",0
台北市松山區敦化北路,31.7年,大樓,建坪 51.83,主 + 陽30.74,3房2廳2衛,11樓/12樓,"5,980",0
台北市松山區新東街,54.6年,公寓,建坪 22.19,主 + 陽22.19,5房2廳5衛(含加蓋1房2廳1衛),4樓/4樓,"1,980",0
台北市松山區民生東路五段,39.2年,透天,建坪 92.77,主 + 陽38.26,5房3廳4衛1室(含加蓋1房1衛),B2-3樓/3樓,"8,980",1
台北市松山區三民路,52.4年,公寓,建坪 27.07,主 + 陽27.07,3房2廳1衛,3樓/4樓,"2,598",0
台北市松山區復興北路,43.7年,辦公/大樓,建坪 56.8,主建物36.98,1廳5室,14樓/16樓,"4,588",1
台北市松山區光復北路,0.6年,辦公/大樓,建坪 240.42,主 + 陽119.66,1廳,4樓/11樓,"21,800",4
台北市松山區南京東路五段,20.2年,店面,建坪 17.28,主建物7.2,1廳1室(含加蓋1室),1樓/11樓,"1,898",0
台北市松山區基隆路一段,31.1年,辦公/大樓,建坪 41.84,主建物30.18,3房1廳,12樓/18樓,"2,650",0
台北市松山區健康路,28.6年,大樓,建坪 54.7,主 + 陽33.91,4房2廳2衛,3樓/13樓,"4,988",0
台北市松山區基隆路一段,43.8年,公寓,建坪 24.4,主 + 陽24.4,2房2廳1衛,2樓/5樓,"1,880",0
