路段,屋齡,房屋類型,建坪,主建物/陽台,格局,樓層,房屋總價(萬),車位
台北市萬華區南寧路,預售,大樓,建坪 42.07,主+附 26.27,3房2廳2衛,11樓/15樓,"4,856",0
台北市萬華區西園路二段,49.6年,公寓,建坪 14.18,主建物12.65,1房1廳1衛,3樓/5樓,758,0
台北市萬華區南寧路,預售,大樓,建坪 35.81,主+附 22.8,3房2廳2衛,14樓/15樓,"4,429",0
台北市萬華區康定路,9.9年,大樓,建坪 39.14,主 + 陽17.25,2房1廳1衛1室,12樓/26樓,"2,788",1
台北市萬華區桂林路,44.7年,公寓,建坪 30.3,主 + 陽27.94,3房2廳1衛,3樓/5樓,"1,420",0
台北市萬華區成都路,23.2年,大樓,建坪 13.42,主 + 陽8.77,1房1廳1衛,12樓/13樓,"1,250",0
台北市萬華區中華路二段,13.7年,大樓,建坪 52.88,主 + 陽31.39,3房2廳2衛,7樓/14樓,"4,088",1
台北市萬華區國興路,47.0年,大樓,建坪 13.94,主 + 陽13.94,1房2廳1衛,9樓/12樓,"1,258",0
台北市萬華區峨眉街,48.6年,華廈,建坪 10.06,主建物7.8,1房1廳1衛,4樓/9樓,798,0
台北市萬華區南寧路,37.2年,大樓,建坪 37.17,主 + 陽31.32,3房2廳2衛,2樓/12樓,"2,780",0
台北市萬華區開封街二段,17.0年,大樓,建坪 57.34,主 + 陽34.75,4房2廳2衛,10樓/12樓,"5,680",1
台北市萬華區德昌街,15.1年,大樓,建坪 78.85,主 + 陽36.51,3房2廳2衛1室,23樓/23樓,"6,888",2
台北市萬華區青年路,39.0年,大樓,建坪 33.52,主建物22.75,3房2廳1.5衛,1樓/12樓,"2,680",0
台北市萬華區貴陽街二段,22.2年,大樓/辦公,建坪 53.96,主 + 陽39.95,4房2廳2衛,3樓/13樓,"4,500",0
台北市萬華區西昌街,41.2年,華廈,建坪 30.45,主 + 陽26.13,3房2廳2衛,5樓/8樓,"1,950",0
台北市萬華區長沙街二段,7.0年,店面,建坪 24.77,主建物12.63,1廳1衛,1樓/18樓,"2,588",0
台北市萬華區東園街,44.4年,公寓,建坪 41.81,主 + 陽41.8,3房2廳2衛,4樓/5樓,"2,550",0
台北市萬華區南寧路,預售,大樓,建坪 36.41,主+附 22.81,3房2廳2衛,13樓/15樓,"4,598",0
台北市萬華區莒光路,38.0年,店面/華廈,建坪 20.38,主建物16.64,2房2廳1衛1室(含加蓋1室),1樓/7樓,"2,298",0
台北市萬華區西園路一段,40.1年,公寓,建坪 30.87,主 + 陽25.87,3房2廳1衛,4樓/5樓,"1,598",0
台北市萬華區國興路,43.7年,大樓,建坪 24.7,主 + 陽18.78,3房2廳1衛,2樓/12樓,"1,738",0
台北市萬華區康定路,14.9年,大樓,建坪 54.46,主 + 陽32.85,3房2廳2衛,7樓/15樓,"4,988",1
台北市萬華區西園路二段,42.9年,大樓/辦公,建坪 15.89,主 + 陽13.29,1房1廳1衛,12樓/12樓,"1,320",0
台北市萬華區西藏路,46.1年,大樓,建坪 32.65,主 + 陽30.8,3房2廳2衛,5樓/12樓,"2,450",0
台北市萬華區漢中街,21.4年,大樓,建坪 14.15,主 + 陽8.9,1房1廳1衛,6樓/13樓,"1,260",0
台北市萬華區國興路,43.7年,大樓,建坪 24.7,主 + 陽18.78,2房2廳1衛,10樓/12樓,"2,480",0
台北市萬華區西園路二段,25.6年,店面/辦公/大樓,建坪 34.04,主 + 陽21.5,2廳1衛,1樓/13樓,"3,200",1
台北市萬華區成都路,10.4年,其它,建坪 84.45,主 + 陽49.58,2房2廳2衛,12樓/15樓,"6,666",1
台北市萬華區萬大路,27.6年,大樓,建坪 45.89,主 + 陽25.41,3房2廳2衛,1樓/13樓,"2,850",1
台北市萬華區中華路二段,39.0年,大樓,建坪 32.72,主 + 陽25.36,3房2廳2衛,4樓/12樓,"2,480",0
台北市萬華區漢口街二段,30.2年,其它,建坪 10.21,主 + 陽7.32,1房1廳1衛,2樓/12樓,888,0
台北市萬華區昆明街,22.3年,大樓,建坪 44.1,主 + 陽32.1,4房2廳2衛,8樓/14樓,"3,888",0
台北市萬華區國興路,43.7年,大樓,建坪 16.41,主建物11.5,2房1廳1衛,1樓/12樓,"1,430",0
台北市萬華區成都路,18.7年,大樓,建坪 35.01,主 + 陽19.65,2房2廳2衛,2樓/14樓,"2,480",1
台北市萬華區西園路二段,25.6年,大樓,建坪 34.35,主 + 陽25.28,3房2廳2衛,9樓/13樓,"2,498",0
台北市萬華區東園街,8.8年,店面,建坪 24.37,主建物16.51,1廳1衛,1樓/13樓,"2,550",0
