出入口名稱,經度,緯度
新北市頂埔站出口1,121.4183364,24.9593267
新北市頂埔站出口2,121.4183575,24.95894725
新北市頂埔站出口3,121.4192802,24.95950272
新北市頂埔站出口4,121.4199687,24.96025528
台北市松山機場站出口1,121.5520427,25.0636308
台北市松山機場站出口2,121.5509869,25.0635351
台北市松山機場站出口3,121.5518415,25.0631707
台北市中山國中站出口,121.5439794,25.06082643
台北市忠孝復興站出口1,121.543143,25.041797
台北市忠孝復興站出口2,121.543517,25.041206
台北市忠孝復興站出口3,121.544806,25.041467
台北市忠孝復興站出口4,121.54506,25.041772
台北市忠孝復興站出口5,121.543985,25.04202
台北市大安站出口1,121.5420001,25.03360186
台北市大安站出口2,121.5415899,25.03364917
台北市大安站出口3,121.54233,25.033241
台北市大安站出口4,121.5439764,25.0331244
台北市大安站出口5,121.543719,25.032862
台北市大安站出口6,121.543749,25.034006
台北市科技大樓站出口,121.543636,25.026154
台北市六張犁站出口,121.552737,25.023852
台北市麟光站出口,121.558606,25.018554
台北市辛亥站出口,121.557021,25.005119
台北市萬芳醫院站出口,121.557737,24.999383
台北市萬芳社區站出口,121.5684087,24.99858101
台北市木柵站出口,121.573417,24.998174
台北市動物園站出口1,121.579942,24.9982988
台北市動物園站出口2,121.579321,24.997971
台北市大直站出口1,121.5469257,25.08036069
台北市大直站出口2,121.546823,25.079584
台北市大直站出口3,121.5470127,25.07943891
台北市劍南路站出口1,121.5553542,25.08548437
台北市劍南路站出口2,121.5552019,25.08459783
台北市劍南路站出口3,121.5560658,25.08432308
台北市西湖站出口1,121.566647,25.082339
台北市西湖站出口2,121.567141,25.082023
台北市港墘站出口1,121.5758005,25.08013028
台北市港墘站出口2,121.574704,25.080065
台北市文德站出口1,121.58564,25.078671
台北市文德站出口2,121.5845981,25.07835342
台北市內湖站出口1,121.594266,25.083745
台北市內湖站出口2,121.594612,25.083636
台北市大湖公園站出口1,121.602377,25.083894
台北市大湖公園站出口2,121.60221,25.083675
台北市葫洲站出口1,121.6080683,25.0725096
