區域,地址,價格,類型,屋齡,總坪數,實際坪數,樓層,規格,車位,緯度,經度
中正區,台北市中正區杭州南路一段,19998,住宅大樓,3.0年,建坪128.42,主+陽56.62,14/20樓,3房(室)2廳3衛,3,25.039353,121.5269084
中正區,台北市中正區泉州街,2300,華廈,39.9年,建坪38.17,主+陽27.30,2/7樓,3房(室)2廳2衛,0,25.0245279793,121.513082553
中正區,台北市中正區,1728,華廈,--年,建坪12.51,主+陽7.14,2/9樓,1房(室)--廳1衛,0,25.0272177622697,121.508756494026
中正區,台北市中正區忠孝東路一段,3380,住宅大樓,19.5年,建坪36.38,主+陽17.54,7/13樓,2房(室)2廳1衛(含加蓋1房(室)--廳--衛),1,25.0444557622,121.525651786
中正區,台北市中正區忠孝東路一段,3680,住宅大樓,19.5年,建坪38.70,主+陽19.13,2/13樓,1房(室)1廳1衛,1,25.0444557622,121.525651786
中正區,台北市中正區信義路二段,6136,住宅大樓,44.8年,建坪53.36,主+陽45.01,8/12樓,5房(室)2廳3衛,1,25.035076,121.525613
中正區,台北市中正區衡陽路,4980,住宅大樓,7.7年,建坪39.25,主+陽21.88,15/15樓,3房(室)2廳2衛,1,25.0423779792738,121.511794677
中正區,台北市中正區汀州路二段,8300,住宅大樓,8.7年,建坪79.65,主+陽44.18,6/19樓,4房(室)2廳3衛,1,25.0255302566768,121.517600416269
中正區,台北市中正區金華街,12888,住宅大樓,19.6年,建坪95.40,主+陽54.25,4/13樓,4房(室)3廳3衛(含加蓋--房(室)1廳--衛),2,25.0309292462,121.521987988
中正區,台北市中正區思源街,5000,住宅大樓,25.4年,建坪51.42,主+陽29.61,3/12樓,3房(室)2廳2衛,1,25.0147674,121.5315222
中正區,台北市中正區羅斯福路一段,1535,住宅大樓,43.2年,建坪13.21,主9.69,6/12樓,--房(室)1廳1衛,1,25.0320588265,121.518626621
中正區,台北市中正區,1475,華廈,--年,建坪10.30,主+陽5.88,2/9樓,1房(室)--廳1衛,0,25.0272226230059,121.508756494026
中正區,台北市中正區同安街,2108,華廈,29.1年,建坪28.46,主+陽+露16.68,6/7樓,2房(室)1廳1衛(含加蓋1房(室)--廳--衛),1,25.0231416967696,121.520846764358
中正區,台北市中正區同安街,2488,華廈,0.8年,建坪22.38,主+陽13.88,1/9樓,1房(室)1廳1.5衛,1,25.023114,121.520998
中正區,台北市中正區羅斯福路一段,2990,套房,16.5年,建坪18.13,主10.30,13/14樓,2房(室)1廳1衛(含加蓋1房(室)--廳--衛),0,25.0313541448,121.519875379
中正區,台北市中正區杭州南路一段,9980,住宅大樓,2.4年,建坪95.31,主+陽46.58,5/22樓,4房(室)2廳2衛,2,25.041417,121.5262622
中正區,台北市中正區杭州南一段,10588,住宅大樓,2.3年,建坪80.84,主+陽40.22,18/22樓,--房(室)2廳2衛,2,25.0413850632131,121.526164445222
中正區,台北市中正區仁愛路二段,4588,華廈,15.3年,建坪39.65,主+陽21.40,1/7樓,3房(室)2廳1衛,1,25.038965,121.5257846
中正區,台北市中正區,1755,華廈,--年,建坪12.96,主+陽7.40,2/9樓,1房(室)--廳1衛,0,25.0272189774538,121.508751129608
中正區,台北市中正區新生南路一段,9988,住宅大樓,16.1年,建坪74.16,主+陽44.16,15/15樓,3房(室)2廳2衛,1,25.0411954,121.5323612
中正區,台北市中正區和平西路一段,3000,華廈,48.1年,建坪37.35,主+陽31.33,2/8樓,4房(室)2廳2衛(含加蓋--房(室)--廳1衛),1,25.0273687861397,121.515069677164
中正區,台北市中正區寧波西街,2990,華廈,38.1年,建坪33.95,主+陽27.21,5/7樓,4房(室)2廳2衛,1,25.0286988935,121.511929049
中正區,台北市中正區信義路二段,6388,住宅大樓,7.6年,建坪42.82,主+陽21.04,11/14樓,--房(室)2廳1衛,2,25.033883,121.531609
中正區,台北市中正區仁愛路二段,21800,住宅大樓,13.8年,建坪186.98,主+陽81.68,13/18樓,3房(室)2廳4衛,5,25.0383941848,121.531301834
中正區,台北市中正區杭州南路一段,8500,華廈,46.8年,建坪119.15,主+陽71.92,6/6樓,13房(室)5廳11衛(含加蓋3房(室)3廳2衛),2,25.0363913925,121.525910849
中正區,台北市中正區,2734,住宅大樓,--年,建坪26.97,主+陽17.59,2/14樓,3房(室)1廳1.5衛,1,25.0225957550912,121.517563531422
中正區,台北市中正區中華路二段,1880,公寓,47.3年,建坪30.83,主+陽30.83,2/5樓,3房(室)2廳2衛,0,25.0247531568928,121.512142724787
中正區,台北市中正區水源路,9500,住宅大樓,6.9年,建坪91.53,主+陽47.61,13/15樓,3房(室)2廳2衛,2,25.0211046,121.5199908
