區域,地址,價格,類型,屋齡,總坪數,實際坪數,樓層,規格,車位,緯度,經度
信義區,台北市信義區林口街,2500,公寓,53.0年,建坪28.34,主+陽28.35,4/4樓,3房(室)2廳1衛,0,25.0399725489,121.580511591
信義區,台北市信義區富陽街,2250,公寓,50.1年,建坪31.01,主31.01,3/4樓,3房(室)2廳1衛,0,25.0221651804,121.555591226
信義區,台北市信義區永吉路,1680,透天厝,32.2年,建坪4.67,主4.67,1~3/3樓,2房(室)2廳1衛(含加蓋1房(室)--廳1衛),0,25.0464054851,121.579056405
信義區,台北市信義區忠孝東路五段,3900,華廈,41.2年,建坪35.13,主+陽31.95,7/7樓,5房(室)3廳3衛(含加蓋2房(室)1廳1衛),1,25.0398907306,121.575435198
信義區,台北市信義區吳興街,3980,住宅大樓,24.5年,建坪40.87,主+陽26.19,6/13樓,3房(室)2廳2衛,1,25.0260497133,121.564038922
信義區,台北市信義區永吉路,2160,公寓,55.6年,建坪21.60,主21.60,3/4樓,3房(室)2廳1衛,0,25.045550337,121.579440147
信義區,台北市信義區永吉路,2988,公寓,36.2年,建坪43.22,主+陽35.97,4~5/5樓,6房(室)4廳2.5衛(含加蓋4房(室)2廳1衛),0,25.0449003443,121.574701245
信義區,台北市信義區吳興街,2600,華廈,34.6年,建坪33.00,主+平28.85,1/5樓,3房(室)2廳2衛,1,25.0256263,121.564814
信義區,台北市信義區和平東路三段,2980,公寓,47.4年,建坪27.25,主+平27.25,1/5樓,4房(室)2廳2.5衛(含加蓋1房(室)1廳--衛),0,25.0217993161,121.558014739
信義區,台北市信義區富陽街,2388,公寓,55.9年,建坪22.21,主22.21,1/4樓,3房(室)3廳2衛(含加蓋--房(室)1廳--衛),0,25.0229842,121.5568149
信義區,台北市信義區富陽街,2480,公寓,44.6年,建坪33.38,主+陽33.38,5/5樓,5房(室)3廳3衛(含加蓋2房(室)1廳1衛),0,25.0227388988,121.55597439
信義區,台北市信義區松德路,2980,公寓,40.6年,建坪39.97,主+陽35.34,5/5樓,6房(室)3廳3衛(含加蓋2房(室)1廳1衛),0,25.0355252677632,121.574773828207
信義區,台北市信義區吳興街,2498,華廈,43.3年,建坪32.04,主+陽+露27.90,6/7樓,3房(室)2廳2衛(含加蓋--房(室)1廳--衛),0,25.0254792892,121.566560681
信義區,台北市信義區忠孝東路五段,2170,華廈,16.5年,建坪15.28,主+陽8.24,3/7樓,1房(室)1廳1衛,1,25.0418299376162,121.566681131223
信義區,台北市信義區永吉路,4900,住宅大樓,18.7年,建坪63.65,主+陽28.94,14/14樓,2房(室)2廳2衛,2,25.0458458393,121.569052536
信義區,台北市信義區永吉路,1980,公寓,52.6年,建坪22.77,主22.77,4/4樓,8房(室)2廳3衛(含加蓋3房(室)1廳2衛),0,25.045053497,121.573896735
信義區,台北市信義區松德路,6288,住宅大樓,31.4年,建坪83.46,主+陽+露75.45,3/24樓,4房(室)2廳2衛,1,25.0377411,121.5749903
信義區,台北市信義區吳興街,2398,公寓,44.3年,建坪39.51,主+平31.35,1/5樓,3房(室)2廳2衛,0,25.018806,121.570515
信義區,台北市信義區松德路,5158,住宅大樓,31.3年,建坪51.97,主+陽33.54,2/24樓,2房(室)2廳2衛,1,25.0377320211,121.57497109
信義區,台北市信義區松山路,4180,住宅大樓,38.6年,建坪38.20,主+陽29.48,16/16樓,5房(室)3廳3衛(含加蓋2房(室)1廳1衛),0,25.044573504,121.577520843
信義區,台北市信義區祥雲街,2580,公寓,44.7年,建坪39.93,主+陽36.56,5/5樓,3房(室)2廳2衛(含加蓋1房(室)--廳1衛),1,25.019191,121.5749137
信義區,台北市信義區松山路,2488,公寓,53.3年,建坪21.51,主+平21.52,1/4樓,3房(室)2廳2衛(含加蓋--房(室)--廳1衛),0,25.0386296953322,121.578603120821
信義區,台北市信義區吳興街,1868,公寓,41.6年,建坪25.76,主+陽23.65,5/5樓,3房(室)2廳2衛(含加蓋1房(室)1廳1衛),0,25.0250845239,121.566216837
信義區,台北市信義區崇德街,3100,華廈,37.3年,建坪38.92,主+陽33.02,7/7樓,2房(室)2廳1衛,1,25.0238671894738,121.555993009955
信義區,台北市信義區富陽街,1838,公寓,55.9年,建坪26.31,主+陽26.31,4/4樓,2房(室)2廳1衛,0,25.0230536032972,121.557011884451
信義區,台北市信義區吳興街,2268,公寓,49.7年,建坪25.24,主25.24,2/4樓,3房(室)2廳2衛,0,25.0261060168,121.565628169
信義區,台北市信義區松德路,9680,住宅大樓,34.9年,建坪92.40,主+陽+露68.52,2/13樓,5房(室)2廳3衛(含加蓋2房(室)--廳1衛),1,25.0358259793203,121.574156024893
信義區,台北市信義區福德街,2380,公寓,42.0年,建坪29.92,主+陽26.52,5/5樓,5房(室)2廳2.5衛(含加蓋3房(室)--廳1衛),0,25.0389463475,121.58608393
信義區,台北市信義區松山路,2498,公寓,41.3年,建坪32.33,主+陽28.59,4/5樓,3房(室)2廳2衛,0,25.0476940952,121.578887364
信義區,台北市信義區松山路,2850,住宅大樓,40.6年,建坪35.72,主+陽28.02,2/14樓,2房(室)2廳2衛,0,25.0391159,121.5778237
信義區,台北市信義區莊敬路,2260,公寓,51.6年,建坪26.82,主26.82,3/4樓,3房(室)1廳1.5衛,0,25.0269119836,121.567924793
信義區,台北市信義區松山路,1398,公寓,49.0年,建坪29.11,主+陽17.65,4/4樓,4房(室)3廳2衛(含加蓋2房(室)1廳1衛),0,25.0315414724706,121.578071490748
信義區,台北市信義區松仁路,10808,住宅大樓,33.8年,建坪95.54,主+陽+露81.66,9~10/12樓,5房(室)3廳5衛(含加蓋--房(室)1廳--衛),1,25.0313475082,121.568608387
信義區,台北市信義區松德路,2485,公寓,47.6年,建坪29.64,主+陽29.64,2/5樓,3房(室)2廳1.5衛,0,25.0308101928,121.574943094
信義區,台北市信義區信義路五段,1750,住宅大樓,19.1年,建坪14.80,主+陽9.25,14/19樓,1房(室)1廳1衛,1,25.0339141929559,121.574027524537
信義區,台北市信義區忠孝東路五段,1688,公寓,52.3年,建坪21.62,主21.62,4/4樓,3房(室)2廳1衛,0,25.0437524993,121.580524251
信義區,台北市信義區吳興街,2188,公寓,41.2年,建坪31.06,主+陽28.35,4/5樓,3房(室)2廳3衛,0,25.023755746,121.562378847
信義區,台北市信義區永吉路,2588,公寓,49.2年,建坪29.60,主29.60,3/4樓,3房(室)2廳1.5衛,0,25.0429739722,121.567987234
信義區,台北市信義區信義路六段,1988,公寓,54.0年,建坪19.69,主19.69,4/4樓,5房(室)2廳2衛(含加蓋3房(室)1廳1衛),0,25.0362894918,121.578168141
信義區,台北市信義區,5600,住宅大樓,--年,建坪78.37,主+陽33.60,3/24樓,3房(室)2廳2衛,2,25.0184082389939,121.559562394196
信義區,台北市信義區吳興街,1860,公寓,43.3年,建坪32.50,主+陽32.49,3/5樓,3房(室)2廳2衛,0,25.0189508192,121.571622736417
信義區,台北市信義區永吉路,3680,住宅大樓,15.8年,建坪31.69,主+陽16.48,4/12樓,4房(室)2廳2衛(含加蓋2房(室)--廳1衛),1,25.0472713615,121.574328158
信義區,台北市信義區松仁路,2880,公寓,41.3年,建坪39.06,主+陽37.93,4/5樓,4房(室)2廳2衛,0,25.0197324531,121.571106688
信義區,台北市信義區吳興街,3980,公寓,38.5年,建坪26.55,主+平26.56,1/5樓,4房(室)4廳4衛(含加蓋2房(室)2廳2衛),0,25.0185123263,121.570232414
信義區,台北市信義區信義路五段,3180,住宅大樓,19.2年,建坪32.59,主+陽16.96,10/19樓,2房(室)1廳1衛,1,25.033954146353,121.574104303054
信義區,台北市信義區信安街,2380,住宅大樓,2.1年,建坪26.52,主+陽9.35,11/12樓,1房(室)1廳1衛,1,25.0231453091,121.555217978
信義區,台北市信義區忠孝東路五段,4380,住宅大樓,42.7年,建坪42.58,主+陽37.22,14/14樓,2房(室)2廳2衛,1,25.0412981444,121.564958767
信義區,台北市信義區永吉路,2688,公寓,47.2年,建坪28.97,主+陽28.97,5/5樓,5房(室)3廳2衛(含加蓋3房(室)1廳1衛),0,25.0446221554,121.569954439
信義區,台北市信義區松隆路,5680,華廈,42.5年,建坪47.16,主+平42.98,1/7樓,4房(室)2廳2衛(含加蓋--房(室)1廳--衛),0,25.0439192388459,121.566948942805
信義區,台北市信義區吳興街,2880,住宅大樓,33.6年,建坪45.54,主+平39.78,1/11樓,5房(室)2廳2衛,1,25.0182228,121.5718421
信義區,台北市信義區忠孝東路五段,4280,華廈,41.2年,建坪48.04,主+陽31.95,7/7樓,5房(室)3廳3衛(含加蓋2房(室)1廳1衛),1,25.0398907306,121.575435198
信義區,台北市信義區信義路六段,6500,公寓,54.0年,建坪33.49,主33.49,1/4樓,--房(室)1廳1衛,0,25.0362075428522,121.577951795258
信義區,台北市信義區基隆路一段,3288,住宅大樓,42.5年,建坪32.72,主+陽23.68,10/12樓,2房(室)2廳2衛,1,25.03501145,121.558172861
信義區,台北市信義區福德街,1888,公寓,39.7年,建坪24.72,主+陽24.72,4/5樓,3房(室)2廳2衛,0,25.0394108474,121.586940737
信義區,台北市信義區吳興街,2568,公寓,49.4年,建坪28.96,主28.96,4/4樓,3房(室)2廳1衛,0,25.0282082352,121.560318619
信義區,台北市信義區祥雲街,7888,透天厝,49.6年,建坪66.70,主59.73,1~2/2樓,5房(室)2廳4衛,1,25.016703,121.575127
信義區,台北市信義區基隆路二段,5118,住宅大樓,36.5年,建坪71.06,主45.89,12/12樓,3房(室)2廳2衛,1,25.0317385,121.5591187
信義區,台北市信義區永吉路,5226,住宅大樓,18.4年,建坪52.43,主+陽26.32,12/12樓,3房(室)2廳2衛,1,25.0455658533,121.567622542
信義區,台北市信義區虎林街,2680,公寓,24.4年,建坪28.39,主+陽23.72,4/5樓,3房(室)1廳2衛,0,25.042331643,121.57687774
信義區,台北市信義區吳興街,3150,華廈,35.4年,建坪57.07,主+陽40.24,2/6樓,4房(室)2廳2衛,1,25.0224576562,121.563518054
信義區,台北市信義區基隆路二段,3450,住宅大樓,11.4年,建坪32.71,主+陽19.72,2/15樓,1房(室)1廳1衛,1,25.0268143472405,121.555523036701
信義區,台北市信義區松山路,3788,住宅大樓,38.7年,建坪43.65,主+陽33.60,2/16樓,4房(室)2廳2衛,0,25.044534512,121.57752066
信義區,台北市信義區虎林街,2680,公寓,24.4年,建坪18.45,主+陽15.47,5/5樓,3房(室)1廳2衛(含加蓋1房(室)--廳1衛),0,25.042331643,121.57687774
信義區,台北市信義區忠孝東路五段,2780,公寓,50.2年,建坪30.34,主30.34,4/4樓,4房(室)3廳2衛(含加蓋1房(室)1廳1衛),0,25.0414639281,121.584419051
信義區,台北市信義區忠孝東路五段,3700,公寓,54.0年,建坪24.71,主24.71,4/4樓,3房(室)3廳3衛(含加蓋1房(室)1廳1衛),0,25.0412255,121.5692779
信義區,台北市信義區忠孝東路五段,2600,公寓,49.2年,建坪24.19,主24.19,3/4樓,5房(室)--廳4衛,0,25.0423530334835,121.580151554568
信義區,台北市信義區中坡南路,5580,華廈,12.3年,建坪63.33,主+陽26.43,1/7樓,3房(室)3廳2衛(含加蓋2房(室)--廳--衛),1,25.0431099,121.582477
信義區,台北市信義區松山路,2888,公寓,55.1年,建坪23.91,主23.91,1/4樓,2房(室)1廳1.5衛(含加蓋--房(室)--廳0.5衛),0,25.0382012554,121.579106263
信義區,台北市信義區忠孝東路五段,15688,透天厝,28.8年,建坪96.54,主+陽+露63.45,B1~2/2樓,5房(室)2廳3衛(含加蓋1房(室)--廳--衛),1,25.0371958,121.572143
信義區,台北市信義區永吉路,2990,公寓,48.3年,建坪32.45,主+陽32.44,3/4樓,5房(室)--廳5衛,0,25.0452739905705,121.579557616046
