區域,地址,價格,類型,屋齡,總坪數,實際坪數,樓層,規格,車位,緯度,經度
文山區,台北市文山區萬盛街,2288,華廈,9.6年,建坪31.84,主+陽12.30,2/8樓,2房(室)2廳1衛(含加蓋1房(室)--廳--衛),1,25.0057003409,121.542794336
文山區,台北市文山區新光路一段,1890,公寓,44.6年,建坪35.67,主+陽35.67,5/5樓,10房(室)2廳3.5衛(含加蓋6房(室)1廳1.5衛),1,24.9926331039,121.57354916
文山區,台北市文山區萬安街,1580,華廈,42.7年,建坪24.91,主+陽19.46,2/7樓,3房(室)2廳1衛,0,24.9994360157866,121.571700697688
文山區,台北市文山區一壽街,2980,華廈,35.8年,建坪46.54,主+陽32.28,4/8樓,4房(室)2廳2衛,1,24.9797772892,121.557227384
文山區,台北市文山區政大一街,2480,華廈,23.2年,建坪43.96,主+陽30.72,3/7樓,3房(室)2廳1衛,1,24.9878222682337,121.587520929479
文山區,台北市文山區萬美街一段,1738,公寓,39.1年,建坪34.19,主+陽27.14,4/4樓,4房(室)3廳3衛(含加蓋1房(室)1廳1衛),1,25.0017259486528,121.562641998539
文山區,台北市文山區羅斯福路六段,7280,住宅大樓,20.7年,建坪100.29,主+陽56.68,19~20/20樓,4房(室)2廳3衛(含加蓋1房(室)--廳1衛),1,24.9889062622,121.539260414
文山區,台北市文山區羅斯福路六段,2988,住宅大樓,15.5年,建坪32.73,主+陽16.46,14/14樓,3房(室)2廳1衛(含加蓋1房(室)--廳--衛),1,24.9945688649,121.541405556
文山區,台北市文山區景文街,2680,住宅大樓,9.9年,建坪28.50,主+陽14.55,9/11樓,1房(室)2廳1衛,0,24.990438677,121.541104489
文山區,台北市文山區政大二街,1688,公寓,22.8年,建坪43.10,主+陽26.34,5/5樓,3房(室)2廳1衛,1,24.9884277148041,121.586938523656
文山區,台北市文山區辛亥路四段,1430,公寓,43.5年,建坪33.61,主+陽33.61,5/5樓,3房(室)2廳1衛,1,25.0065840106,121.559354537
文山區,台北市文山區景興路,1450,公寓,43.6年,建坪24.42,主+陽24.42,4/5樓,3房(室)2廳1衛,0,24.9930593764,121.545328644
文山區,台北市文山區辛亥路五段,1780,公寓,44.8年,建坪37.99,主+陽38.00,2~3/5樓,3房(室)2廳2衛,0,24.9978441596,121.552534741
文山區,台北市文山區木柵路二段,1968,住宅大樓,29.5年,建坪34.60,主+陽27.25,4/17樓,3房(室)2廳2衛,1,24.9925240101,121.561952683
文山區,台北市文山區木柵路二段,1988,住宅大樓,29.5年,建坪34.38,主+陽22.80,12/17樓,3房(室)2廳2衛,1,24.9920283929,121.561489735
文山區,台北市文山區辛亥路四段,2988,住宅大樓,30.6年,建坪56.45,主+陽27.70,14/18樓,3房(室)2廳2衛,2,25.0089553472,121.559122883
文山區,台北市文山區木新路三段,3150,公寓,35.6年,建坪61.52,主+平23.73,B1~1/5樓,4房(室)3廳3衛(含加蓋3房(室)1廳2衛),1,24.981289,121.562713
文山區,台北市文山區萬安街,1950,華廈,42.6年,建坪30.37,主+平23.62,1/7樓,3房(室)2廳1衛,0,24.9989984,121.5702792
文山區,台北市文山區景仁街,2288,公寓,46.1年,建坪32.49,主+陽32.49,2/4樓,3房(室)2廳2衛,0,24.9986130784,121.537429076
文山區,台北市文山區秀明路一段,3880,住宅大樓,16.9年,建坪57.99,主+陽31.30,5/11樓,2房(室)2廳2衛,2,24.9896558176458,121.564365171192
文山區,台北市文山區景明街,1680,公寓,48.6年,建坪20.64,主+陽20.65,4/4樓,5房(室)3廳3衛(含加蓋2房(室)2廳1衛),0,25.0014452621,121.541577647
文山區,台北市文山區萬美街二段,998,住宅大樓,42.5年,建坪14.15,主+陽10.85,2/12樓,1房(室)1廳1衛,0,25.0027172737,121.562671954
文山區,台北市文山區木新路二段,2750,華廈,31.0年,建坪40.92,主+陽28.74,5/10樓,3房(室)2廳2衛,1,24.9832366307851,121.569768402791
文山區,台北市文山區興隆路四段,1398,公寓,44.8年,建坪26.20,主+陽+露24.36,5/5樓,6房(室)3廳2衛(含加蓋2房(室)2廳1衛),1,24.9834455673591,121.562461190404
文山區,台北市文山區和興路,7980,透天厝,17.4年,建坪110.78,主+陽87.74,B1~5/5樓,6房(室)4廳5衛,1,24.985484,121.5495028
文山區,台北市文山區辛亥路四段,3688,住宅大樓,22.5年,建坪62.23,主+陽34.37,7/11樓,3房(室)2廳2衛,1,25.0089195009,121.560657126
文山區,台北市文山區萬安街,1198,華廈,30.9年,建坪17.15,主+陽+露12.66,5/5樓,2房(室)1廳1衛(含加蓋1房(室)--廳--衛),1,24.9997094119,121.571543897
文山區,台北市文山區光輝路,1980,公寓,43.9年,建坪39.10,主+陽36.05,3/5樓,4房(室)2廳2衛,1,24.9843995545699,121.555496882598
文山區,台北市文山區秀明路一段,5988,透天厝,35.1年,建坪120.56,主+平+陽+露94.70,B1~3/3樓,6房(室)4廳4.5衛(含加蓋--房(室)1廳0.5衛),0,24.993211,121.568969
文山區,台北市文山區久康街,4088,華廈,19.5年,建坪61.58,主+陽31.83,6/9樓,4房(室)2廳2衛,1,24.9894945871,121.56576535
文山區,台北市文山區政大二街,3880,華廈,16.4年,建坪75.94,主+陽42.84,3/4樓,4房(室)2廳2衛(含加蓋1房(室)--廳--衛),1,24.9885362567328,121.586749344344
文山區,台北市文山區木柵路四段,2200,住宅大樓,32.3年,建坪30.91,主+陽23.20,9/12樓,2房(室)2廳1衛,1,24.9989863712,121.574719499
文山區,台北市文山區羅斯福路五段,2688,公寓,46.6年,建坪41.46,主+陽41.46,4/5樓,4房(室)2廳2衛,1,25.0031570396,121.538248361
文山區,台北市文山區興隆路三段,1388,公寓,46.8年,建坪24.11,主+陽24.11,5/5樓,5房(室)3廳2衛(含加蓋2房(室)1廳1衛),0,24.9923671202266,121.559033550762
文山區,台北市文山區萬盛街,3083,華廈,9.5年,建坪35.17,主17.19,1/8樓,3房(室)2廳2衛(含加蓋2房(室)--廳--衛),1,25.0057674119,121.542695081
文山區,台北市文山區羅斯福路五段,1990,公寓,45.8年,建坪28.37,主+陽28.37,4/5樓,3房(室)2廳2衛(含加蓋--房(室)--廳1衛),0,25.0036175252,121.53806177
文山區,台北市文山區興隆路三段,1720,公寓,45.5年,建坪27.23,主+平+陽27.23,1/5樓,3房(室)2廳2衛,0,24.9937965352704,121.56063522809
文山區,台北市文山區木柵路一段,1220,公寓,43.2年,建坪22.35,主+陽20.39,2/5樓,2房(室)2廳1衛,1,24.9877457902,121.546831227
文山區,台北市文山區下崙路,2368,華廈,35.7年,建坪43.88,主+陽+露40.09,3/10樓,4房(室)2廳2衛,1,24.9862894605557,121.559941775969
文山區,台北市文山區木柵路四段,1320,公寓,45.0年,建坪32.85,主+陽30.83,5/5樓,5房(室)4廳2衛(含加蓋2房(室)2廳1衛),1,25.0001091238,121.575180991
文山區,台北市文山區萬壽路,4480,華廈,12.9年,建坪68.93,主+陽35.82,3/10樓,4房(室)2廳2衛,1,24.9880376190027,121.575676118351
文山區,台北市文山區福興路,3198,住宅大樓,13.5年,建坪52.11,主+陽24.02,11/14樓,3房(室)2廳2衛,2,25.0066134417046,121.549794496672
文山區,台北市文山區興隆路二段,2480,華廈,37.6年,建坪37.54,主+陽27.53,4/7樓,3房(室)2廳2衛,1,25.0021990369422,121.553882960045
文山區,台北市文山區興隆路三段,1298,公寓,45.4年,建坪27.23,主+陽27.23,2/5樓,3房(室)2廳2衛,0,24.9937989663,121.560608406
