區域人口資料
區 域 別,總計,合計_0~4歲,合計_5~9歲,合計_10~14歲,合計_15~19歲,合計_20~24歲,合計_25~29歲,合計_30~34歲,合計_35~39歲,合計_40~44歲,合計_45~49歲,合計_50~54歲,合計_55~59歲,合計_60~64歲,合計_65~69歲,合計_70~74歲,合計_75~79歲,合計_80~84歲,合計_85~89歲,合計_90~94歲,合計_95~99歲,100歲以上
松山區,187318,5645,8775,11206,7420,6980,9036,10158,11251,14796,15724,13448,12973,13064,13316,12924,9593,5450,3299,1587,558,115
信義區,201446,5751,6911,7655,7145,7943,10749,12612,13358,15451,15886,14498,15281,15531,15639,14817,10359,5990,3587,1575,573,135
大安區,282328,8707,14226,17357,11747,10333,13313,14133,15718,21494,23383,19248,19405,19909,20119,19961,15210,8676,5593,2663,950,183
中山區,212152,6069,7641,8879,7678,7926,10817,12828,13864,16681,17444,15667,16440,16716,16643,15614,10102,5420,3492,1669,481,81
中正區,144109,4616,7795,9685,5838,5232,6648,7637,8775,11921,12703,9782,9535,9707,9981,9417,6748,3750,2613,1263,375,88
大同區,116618,3431,4472,5358,4453,4658,6120,7146,7884,9569,10028,8244,8512,8737,8692,8017,5066,3021,2095,857,221,37
萬華區,168675,4213,4493,5190,5787,6867,9188,10671,10895,12832,13761,12651,13525,14026,13832,12552,8119,4849,3243,1440,470,71
文山區,253822,7053,10122,12491,10784,11370,14777,15646,15995,19316,20589,19218,20484,19559,18309,16097,10202,5877,3587,1585,638,123
南港區,111239,3390,4214,4571,4286,4924,6245,7271,7819,9205,9582,8544,8475,8124,8055,7052,4454,2625,1555,624,190,34
內湖區,267959,8947,12447,14072,10804,11002,14972,17778,19449,22815,22402,18374,19269,20688,20505,16636,8839,4403,2724,1266,469,98
士林區,258163,7247,9596,11726,9973,10552,13904,15599,16609,20218,20777,18166,19002,19335,20405,18960,12053,6884,4452,2013,599,93
北投區,235678,6834,9652,11461,9364,9806,12571,14233,15246,19209,19842,17575,17188,17493,17634,16209,10033,5788,3444,1490,508,98
