行政區_中山區,行政區_中正區,行政區_信義區,行政區_內湖區,行政區_北投區,行政區_南港區,行政區_士林區,行政區_大同區,行政區_大安區,行政區_文山區,行政區_松山區,行政區_萬華區,建坪,房屋總價,單價,房,廳,衛,車位數量,是否加蓋,房屋類型_公寓,房屋類型_大樓,房屋類型_華廈,房屋類型_透天,緯度,經度,成交年月
1,0,0,0,0,0,0,0,0,0,0,0,10.48,0,107.66,0,0,0,0,0,0,0,1,0,25.055613,121.532224,11502
1,0,0,0,0,0,0,0,0,0,0,0,1.04,0,76.27,0,0,0,0,0,0,1,0,0,25.065054,121.523705,11501
1,0,0,0,0,0,0,0,0,0,0,0,2.89,0,83.09,0,0,0,0,0,1,0,0,0,25.066862,121.528442,11501
1,0,0,0,0,0,0,0,0,0,0,0,0.91,0,90.42,0,0,0,0,0,0,0,1,0,25.066727,121.526918,11501
1,0,0,0,0,0,0,0,0,0,0,0,9.68,0,65.3,0,0,0,0,0,1,0,0,0,25.064633,121.533438,11412
1,0,0,0,0,0,0,0,0,0,0,0,2.3,0,92.57,0,0,0,0,0,0,0,1,0,25.061129,121.540668,11412
1,0,0,0,0,0,0,0,0,0,0,0,1.17,0,73.9,0,0,0,0,0,0,1,0,0,25.06574,121.52721,11412
1,0,0,0,0,0,0,0,0,0,0,0,8.47,0,78.34,0,0,0,0,0,0,0,1,0,25.0617,121.542754,11412
1,0,0,0,0,0,0,0,0,0,0,0,11.09,0,70.92,0,0,0,0,0,1,0,0,0,25.059883,121.529681,11412
1,0,0,0,0,0,0,0,0,0,0,0,8.95,0,52.58,0,0,0,0,0,0,0,1,0,25.067091,121.535094,11412
1,0,0,0,0,0,0,0,0,0,0,0,0.96,0,84.48,0,0,0,0,0,0,1,0,0,25.065054,121.523705,11412
1,0,0,0,0,0,0,0,0,0,0,0,1.27,0,99.29,0,0,0,0,0,0,1,0,0,25.062847,121.524589,11412
1,0,0,0,0,0,0,0,0,0,0,0,3.68,0,81.83,0,0,0,0,0,0,1,0,0,25.064175,121.524782,11412
1,0,0,0,0,0,0,0,0,0,0,0,6.36,0,63.72,0,0,0,0,0,0,0,1,0,25.056233,121.530413,11412
1,0,0,0,0,0,0,0,0,0,0,0,1.24,0,68.09,0,0,0,0,0,0,0,1,0,25.065499,121.528083,11412
1,0,0,0,0,0,0,0,0,0,0,0,1.45,0,57.44,0,0,0,0,0,0,1,0,0,25.060325,121.524832,11412
1,0,0,0,0,0,0,0,0,0,0,0,2.21,0,94.01,0,0,0,0,0,0,1,0,0,25.064175,121.524782,11412
1,0,0,0,0,0,0,0,0,0,0,0,1.99,0,60.71,0,0,0,0,0,0,1,0,0,25.065499,121.528083,11412
1,0,0,0,0,0,0,0,0,0,0,0,2.41,0,86.09,0,0,0,0,0,0,0,1,0,25.061289,121.531401,11412
1,0,0,0,0,0,0,0,0,0,0,0,0.96,0,89.88,0,0,0,0,0,0,1,0,0,25.065054,121.523705,11412
1,0,0,0,0,0,0,0,0,0,0,0,2.45,0,50.32,0,0,0,0,0,1,0,0,0,25.068172,121.530008,11412
1,0,0,0,0,0,0,0,0,0,0,0,8.05,0,70.75,0,0,0,0,0,1,0,0,0,25.065682,121.537919,11411
1,0,0,0,0,0,0,0,0,0,0,0,5.01,0,78.71,0,0,0,0,0,0,0,1,0,25.056956,121.530303,11411
1,0,0,0,0,0,0,0,0,0,0,0,11.58,0,64.81,0,0,0,0,0,0,0,1,0,25.057554,121.529705,11411
1,0,0,0,0,0,0,0,0,0,0,0,1.62,0,101.56,0,0,0,0,0,0,1,0,0,25.065054,121.523705,11411
1,0,0,0,0,0,0,0,0,0,0,0,5.93,0,64.95,0,0,0,0,0,1,0,0,0,25.067812,121.526468,11411
1,0,0,0,0,0,0,0,0,0,0,0,1.39,0,49.61,0,0,0,0,0,0,0,1,0,25.067477,121.525927,11411
1,0,0,0,0,0,0,0,0,0,0,0,8.39,0,41.98,0,0,0,0,0,1,0,0,0,25.065296,121.527269,11411
1,0,0,0,0,0,0,0,0,0,0,0,1.76,0,59.99,0,0,0,0,0,0,1,0,0,25.059421,121.52569,11411
1,0,0,0,0,0,0,0,0,0,0,0,1.76,0,59.99,0,0,0,0,0,0,1,0,0,25.059421,121.52569,11411
1,0,0,0,0,0,0,0,0,0,0,0,5.25,0,60.89,0,0,0,0,0,0,0,1,0,25.067562,121.526966,11411
1,0,0,0,0,0,0,0,0,0,0,0,2.65,0,26.46,0,0,0,0,0,0,0,1,0,25.063877,121.535643,11411
1,0,0,0,0,0,0,0,0,0,0,0,8.2,0,58.7,0,0,0,0,0,0,0,1,0,25.067104,121.535178,11411
1,0,0,0,0,0,0,0,0,0,0,0,6.72,0,26.73,0,0,0,0,0,0,0,1,0,25.06204,121.532643,11411
1,0,0,0,0,0,0,0,0,0,0,0,0.75,0,67.97,0,0,0,0,0,0,0,1,0,25.066775,121.525996,11411
1,0,0,0,0,0,0,0,0,0,0,0,1.9,0,49.06,0,0,0,0,0,0,1,0,0,25.059421,121.52569,11411
1,0,0,0,0,0,0,0,0,0,0,0,9.38,0,74.86,0,0,0,0,0,1,0,0,0,25.057472,121.53073,11411
1,0,0,0,0,0,0,0,0,0,0,0,0.97,0,59.37,0,0,0,0,0,0,1,0,0,25.060325,121.524832,11411
1,0,0,0,0,0,0,0,0,0,0,0,1.47,0,90.21,0,0,0,0,0,0,0,1,0,25.058159,121.539953,11411
1,0,0,0,0,0,0,0,0,0,0,0,0.68,0,78.3,0,0,0,0,0,0,0,1,0,25.058184,121.526803,11411
1,0,0,0,0,0,0,0,0,0,0,0,3.49,0,87.59,0,0,0,0,0,0,0,1,0,25.056858,121.530415,11411
1,0,0,0,0,0,0,0,0,0,0,0,10.36,0,55.88,0,0,0,0,0,1,0,0,0,25.067449,121.52889,11411
1,0,0,0,0,0,0,0,0,0,0,0,7.94,0,56.96,0,0,0,0,0,1,0,0,0,25.066606,121.538169,11411
1,0,0,0,0,0,0,0,0,0,0,0,5.79,0,102.15,0,0,0,0,0,0,1,0,0,25.064936,121.537765,11411
1,0,0,0,0,0,0,0,0,0,0,0,1.34,0,108.06,0,0,0,0,0,0,1,0,0,25.064465,121.525723,11411
1,0,0,0,0,0,0,0,0,0,0,0,12.4,0,60.41,0,0,0,0,0,1,0,0,0,25.06524,121.540116,11411
1,0,0,0,0,0,0,0,0,0,0,0,1.27,0,68.14,0,0,0,0,0,0,0,1,0,25.064991,121.526626,11411
1,0,0,0,0,0,0,0,0,0,0,0,7.53,0,78.37,0,0,0,0,0,0,1,0,0,25.057401,121.537914,11410
1,0,0,0,0,0,0,0,0,0,0,0,7.53,0,77.83,0,0,0,0,0,0,1,0,0,25.057401,121.537914,11410
1,0,0,0,0,0,0,0,0,0,0,0,0.92,0,68.18,0,0,0,0,0,0,1,0,0,25.066744,121.526994,11410
1,0,0,0,0,0,0,0,0,0,0,0,0.8,0,71.04,0,0,0,0,0,0,0,1,0,25.060563,121.525788,11410
1,0,0,0,0,0,0,0,0,0,0,0,4.68,0,70.92,0,0,0,0,0,0,0,1,0,25.065498,121.525477,11410
1,0,0,0,0,0,0,0,0,0,0,0,7.71,0,42.23,0,0,0,0,0,0,0,1,0,25.065252,121.537703,11410
1,0,0,0,0,0,0,0,0,0,0,0,7.2,0,70.5,0,0,0,0,0,0,0,1,0,25.067359,121.526863,11410
1,0,0,0,0,0,0,0,0,0,0,0,1.06,0,72.78,0,0,0,0,0,0,1,0,0,25.059421,121.52569,11410
1,0,0,0,0,0,0,0,0,0,0,0,4.19,0,73.75,0,0,0,0,0,0,0,1,0,25.064816,121.540697,11410
1,0,0,0,0,0,0,0,0,0,0,0,1.57,0,17.2,0,0,0,0,0,0,0,1,0,25.060756,121.527955,11410
1,0,0,0,0,0,0,0,0,0,0,0,3.75,0,73.99,0,0,0,0,0,0,0,1,0,25.06562,121.525514,11410
1,0,0,0,0,0,0,0,0,0,0,0,7.66,0,82.58,0,0,0,0,0,1,0,0,0,25.066098,121.528781,11410
1,0,0,0,0,0,0,0,0,0,0,0,8.07,0,64.52,0,0,0,0,0,1,0,0,0,25.059779,121.540028,11410
1,0,0,0,0,0,0,0,0,0,0,0,8.39,0,41.98,0,0,0,0,0,1,0,0,0,25.065296,121.527269,11410
1,0,0,0,0,0,0,0,0,0,0,0,1.78,0,93.93,0,0,0,0,0,0,1,0,0,25.063664,121.528022,11410
1,0,0,0,0,0,0,0,0,0,0,0,9.98,0,49.88,0,0,0,0,0,1,0,0,0,25.066049,121.542672,11410
1,0,0,0,0,0,0,0,0,0,0,0,11.72,0,77.48,0,0,0,0,0,1,0,0,0,25.059566,121.532648,11410
1,0,0,0,0,0,0,0,0,0,0,0,6.23,0,68.08,0,0,0,0,0,0,0,1,0,25.063004,121.530492,11410
1,0,0,0,0,0,0,0,0,0,0,0,1.94,0,81.76,0,0,0,0,0,0,0,1,0,25.060563,121.525788,11410
1,0,0,0,0,0,0,0,0,0,0,0,4.63,0,82.0,0,0,0,0,0,0,0,1,0,25.066155,121.539173,11410
1,0,0,0,0,0,0,0,0,0,0,0,0.82,0,78.66,0,0,0,0,0,0,1,0,0,25.066567,121.527194,11410
1,0,0,0,0,0,0,0,0,0,0,0,2.13,0,76.46,0,0,0,0,0,0,1,0,0,25.065054,121.523705,11410
1,0,0,0,0,0,0,0,0,0,0,0,1.65,0,65.58,0,0,0,0,0,0,0,1,0,25.059382,121.526222,11410
1,0,0,0,0,0,0,0,0,0,0,0,0.7,0,71.86,0,0,0,0,0,0,1,0,0,25.066744,121.526994,11410
1,0,0,0,0,0,0,0,0,0,0,0,1.79,0,76.53,0,0,0,0,0,0,1,0,0,25.065399,121.525742,11410
1,0,0,0,0,0,0,0,0,0,0,0,8.47,0,73.89,0,0,0,0,0,1,0,0,0,25.060655,121.539516,11410
1,0,0,0,0,0,0,0,0,0,0,0,3.06,0,73.77,0,0,0,0,0,0,0,1,0,25.060474,121.528031,11410
1,0,0,0,0,0,0,0,0,0,0,0,11.3,0,64.21,0,0,0,0,0,1,0,0,0,25.058882,121.528268,11410
1,0,0,0,0,0,0,0,0,0,0,0,1.92,0,70.78,0,0,0,0,0,0,0,1,0,25.058159,121.539953,11410
1,0,0,0,0,0,0,0,0,0,0,0,15.39,0,71.92,0,0,0,0,0,1,0,0,0,25.066652,121.532936,11410
1,0,0,0,0,0,0,0,0,0,0,0,3.25,0,78.04,0,0,0,0,0,0,1,0,0,25.063561,121.527391,11410
1,0,0,0,0,0,0,0,0,0,0,0,6.53,0,63.49,0,0,0,0,0,1,0,0,0,25.064991,121.535218,11410
1,0,0,0,0,0,0,0,0,0,0,0,2.61,0,82.32,0,0,0,0,0,0,0,1,0,25.059748,121.525599,11410
1,0,0,0,0,0,0,0,0,0,0,0,10.57,0,61.34,0,0,0,0,0,1,0,0,0,25.067666,121.539357,11410
1,0,0,0,0,0,0,0,0,0,0,0,0.93,0,31.62,0,0,0,0,0,0,0,1,0,25.065499,121.528083,11410
1,0,0,0,0,0,0,0,0,0,0,0,8.09,0,80.61,0,0,0,0,0,1,0,0,0,25.059028,121.539078,11410
1,0,0,0,0,0,0,0,0,0,0,0,4.11,0,82.99,0,0,0,0,0,0,0,1,0,25.06562,121.525514,11410
1,0,0,0,0,0,0,0,0,0,0,0,6.51,0,98.06,0,0,0,0,0,0,1,0,0,25.065409,121.525943,11410
1,0,0,0,0,0,0,0,0,0,0,0,2.06,0,70.34,0,0,0,0,0,0,0,1,0,25.067007,121.528128,11410
1,0,0,0,0,0,0,0,0,0,0,0,0.67,0,75.79,0,0,0,0,0,0,1,0,0,25.066744,121.526994,11410
1,0,0,0,0,0,0,0,0,0,0,0,0.66,0,69.69,0,0,0,0,0,0,1,0,0,25.059421,121.52569,11410
1,0,0,0,0,0,0,0,0,0,0,0,3.21,0,72.16,0,0,0,0,0,0,0,1,0,25.067007,121.528128,11409
1,0,0,0,0,0,0,0,0,0,0,0,5.51,0,77.61,0,0,0,0,0,0,1,0,0,25.065676,121.535509,11409
