行政區_中山區,行政區_中正區,行政區_信義區,行政區_內湖區,行政區_北投區,行政區_南港區,行政區_士林區,行政區_大同區,行政區_大安區,行政區_文山區,行政區_松山區,行政區_萬華區,建坪,房屋總價,單位,房,廳,衛,車位數量,是否加蓋,房屋類型_公寓,房屋類型_大樓,房屋類型_華廈,房屋類型_透天
0,0,0,0,0,1,0,0,0,0,0,0,7.7,3500000,454273.0,4,2,2,0,0,1,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,15.75,13660000,867409.0,3,1,2,0,0,1,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,27.17,18899999,695530.0,3,1,1,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,57.11,63750000,1330095.0,3,2,2,1,0,0,1,0,0
0,1,0,0,0,0,0,0,0,0,0,0,28.92,23500000,812533.0,3,2,1,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,6.64,3700000,557242.0,1,1,1,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,11.88,3349109,281932.0,4,2,2,0,0,0,0,1,0
0,0,0,0,0,1,0,0,0,0,0,0,30.81,20580000,929872.0,1,1,1,1,0,0,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,13.75,8000000,581751.0,1,1,1,0,0,0,0,0,1
0,0,0,0,0,0,1,0,0,0,0,0,12.18,1978234,162434.0,4,2,2,1,0,0,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,31.15,24700000,993912.0,1,1,1,1,1,0,0,1,0
1,0,0,0,0,0,0,0,0,0,0,0,7.82,6500000,830923.0,0,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,38.9,25800000,663163.0,3,2,2,0,1,0,0,1,0
0,0,0,1,0,0,0,0,0,0,0,0,11.22,9600000,855409.0,0,0,0,0,1,0,0,1,0
0,0,0,0,0,0,0,0,1,0,0,0,12.79,8500000,664443.0,4,2,2,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,28.41,19680000,692770.0,2,1,1,0,0,0,0,1,0
0,0,0,0,0,0,1,0,0,0,0,0,35.92,17500000,487169.0,5,0,5,0,0,1,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,30.99,15000000,483966.0,3,1,2,0,1,0,0,1,0
0,0,0,0,0,0,0,1,0,0,0,0,7.37,4200000,569497.0,2,1,1,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,11.54,10350000,897092.0,2,1,1,0,1,0,0,1,0
0,0,0,0,0,0,0,0,1,0,0,0,17.19,25220000,1467048.0,1,2,1,0,1,0,0,1,0
