區域名稱,成交價/售價,總價格,每坪價格,坪數,屋齡,房屋規格,住宅類型,樓層
內湖區,43000000,43000000,729544.0,74.18,9,住宅大樓(11層含以上有電梯),商辦用,一層，二層，見其他登記事項
內湖區,9600000,9600000,855409.0,11.22,30,華廈(10層含以下有電梯),住家用,五層
內湖區,18411500,18411500,550039.0,38.73,17,住宅大樓(11層含以上有電梯),辦公用,十三層
內湖區,18356500,18356500,549920.0,38.64,17,住宅大樓(11層含以上有電梯),辦公用,十一層
內湖區,23800700,23800700,529920.0,50.0,17,住宅大樓(11層含以上有電梯),辦公用,四層
內湖區,6500000,6500000,378838.0,17.16,47,公寓(5樓含以下無電梯),住家用,三層
內湖區,2500000,2500000,219102.0,11.41,44,公寓(5樓含以下無電梯),商業用,一層
內湖區,103300000,103300000,679715.0,168.38,28,華廈(10層含以下有電梯),工業用,九層
內湖區,43800000,43800000,912712.0,58.23,8,華廈(10層含以下有電梯),住家用,三層
內湖區,19700000,19700000,464842.0,42.38,44,公寓(5樓含以下無電梯),住家用,二層
內湖區,17600000,17600000,607391.0,28.98,47,公寓(5樓含以下無電梯),住家用,一層
內湖區,10500000,10500000,769131.0,13.65,28,華廈(10層含以下有電梯),商業用,三層
內湖區,38500000,38500000,721259.0,53.38,33,住宅大樓(11層含以上有電梯),住家用,三層
內湖區,46000000,46000000,565573.0,80.51,13,住宅大樓(11層含以上有電梯),住家用,八層
內湖區,15120000,15120000,600839.0,25.16,41,公寓(5樓含以下無電梯),住家用,四層
內湖區,12800000,12800000,807524.0,15.85,18,華廈(10層含以下有電梯),商業用,一層
內湖區,10000000,10000000,384752.0,25.99,46,公寓(5樓含以下無電梯),其他,一層，騎樓，停車場
內湖區,4500000,4500000,138887.0,32.4,43,公寓(5樓含以下無電梯),其他,地下層
內湖區,20500000,20500000,877835.0,23.35,17,住宅大樓(11層含以上有電梯),工業用,八層
內湖區,9000000,9000000,728684.0,12.35,18,住宅大樓(11層含以上有電梯),商業用,十層
內湖區,25000000,25000000,699316.0,35.75,45,公寓(5樓含以下無電梯),住家用,五層
內湖區,68000000,68000000,577669.0,117.71,20,華廈(10層含以下有電梯),工業用,九層
內湖區,19680000,19680000,872794.0,22.55,2,華廈(10層含以下有電梯),住家用,三層
內湖區,22490000,22490000,908718.0,24.55,2,華廈(10層含以下有電梯),住家用,六層
內湖區,45000000,45000000,500541.0,89.9,40,透天厝,住家用,全
內湖區,14800000,14800000,931211.0,15.89,3,華廈(10層含以下有電梯),住家用,二層
內湖區,75000000,75000000,1087850.0,81.03,8,住宅大樓(11層含以上有電梯),住家用,十六層
內湖區,18600000,18600000,853075.0,31.38,16,住宅大樓(11層含以上有電梯),住家用,三層
內湖區,35000000,35000000,668301.0,52.37,28,公寓(5樓含以下無電梯),住家用,四層
內湖區,18200000,18200000,479751.0,37.94,39,公寓(5樓含以下無電梯),住家用,五層
內湖區,3750000,3750000,215482.0,17.4,26,住宅大樓(11層含以上有電梯),住家用,六層
內湖區,18500000,18500000,591980.0,31.25,41,公寓(5樓含以下無電梯),住家用,三層
內湖區,39000000,39000000,1205933.0,32.34,42,公寓(5樓含以下無電梯),商業用,一層
內湖區,57000000,57000000,943667.0,69.1,16,住宅大樓(11層含以上有電梯),住家用,五層
內湖區,27080000,27080000,752403.0,35.99,43,華廈(10層含以下有電梯),住家用,五層
內湖區,17500000,17500000,865134.0,20.23,31,住宅大樓(11層含以上有電梯),住家用,十層
內湖區,13000000,13000000,184602.0,70.42,15,華廈(10層含以下有電梯),住家用,三層
內湖區,11300000,11300000,840582.0,13.44,18,住宅大樓(11層含以上有電梯),商業用,十四層
內湖區,25000000,25000000,372795.0,67.06,36,公寓(5樓含以下無電梯),住家用,四層，五層
內湖區,28000000,28000000,561735.0,49.85,32,公寓(5樓含以下無電梯),住家用,一層
內湖區,14300000,14300000,733028.0,19.51,33,住宅大樓(11層含以上有電梯),住家用,三層
內湖區,25000000,25000000,517209.0,48.34,31,華廈(10層含以下有電梯),住家用,一層
內湖區,5700000,5700000,207773.0,27.43,46,公寓(5樓含以下無電梯),工業用,三層
內湖區,10500000,10500000,766582.0,13.7,18,住宅大樓(11層含以上有電梯),商業用,十一層
內湖區,32000000,32000000,581976.0,54.98,36,華廈(10層含以下有電梯),住家用,三層
內湖區,31300000,31300000,614634.0,57.4,14,住宅大樓(11層含以上有電梯),商業用,四層
內湖區,32500000,32500000,1140901.0,28.49,46,公寓(5樓含以下無電梯),商業用,一層，騎樓
內湖區,15255000,15255000,872642.0,17.48,32,住宅大樓(11層含以上有電梯),住家用,七層
內湖區,17000000,17000000,630595.0,26.96,47,公寓(5樓含以下無電梯),住家用,三層
內湖區,19000000,19000000,671983.0,28.27,30,華廈(10層含以下有電梯),住家用,五層
內湖區,13500000,13500000,549474.0,24.57,46,公寓(5樓含以下無電梯),住家用,四層
內湖區,55000000,55000000,849739.0,64.72,26,住宅大樓(11層含以上有電梯),住家用,十三層，十四層
內湖區,22980000,22980000,606234.0,37.91,43,住宅大樓(11層含以上有電梯),住家用,五層
內湖區,12900000,12900000,905026.0,14.25,21,住宅大樓(11層含以上有電梯),商業用,四層
內湖區,19700000,19700000,907022.0,21.72,41,華廈(10層含以下有電梯),商業用,一層，地下一層
內湖區,15150000,15150000,1039925.0,14.57,18,住宅大樓(11層含以上有電梯),商業用,一層
內湖區,14600000,14600000,464353.0,31.44,50,公寓(5樓含以下無電梯),工業用,二層，陽臺
內湖區,18500000,18500000,651302.0,28.4,41,公寓(5樓含以下無電梯),住家用,三層
內湖區,28600000,28600000,799947.0,35.75,32,住宅大樓(11層含以上有電梯),住家用,四層
內湖區,8000000,8000000,219746.0,36.41,40,公寓(5樓含以下無電梯),住家用,二層
內湖區,22250000,22250000,752701.0,29.56,47,公寓(5樓含以下無電梯),住家用,一層
內湖區,23880000,23880000,610631.0,39.11,14,華廈(10層含以下有電梯),住家用,七層
內湖區,19500000,19500000,758658.0,25.7,48,公寓(5樓含以下無電梯),商業用,一層，停車場
內湖區,10000000,10000000,388051.0,25.77,42,公寓(5樓含以下無電梯),住家用,四層
內湖區,19000000,19000000,607861.0,31.26,41,公寓(5樓含以下無電梯),住家用,五層
內湖區,35000000,35000000,404213.0,101.59,18,華廈(10層含以下有電梯),商業用,四層
內湖區,25300000,25300000,700241.0,36.13,21,公寓(5樓含以下無電梯),住家用,三層
內湖區,15000000,15000000,485100.0,30.92,31,住宅大樓(11層含以上有電梯),住家用,五層
內湖區,10854500,10854500,1038877.0,10.45,27,透天厝,住家用,全
