區域名稱,成交價/售價,總價格,每坪價格,坪數,屋齡,房屋規格,住宅類型,樓層
北投區,8000000,8000000,581751.0,13.75,86,透天厝,住家用,全
北投區,24700000,24700000,993912.0,31.15,11,華廈(10層含以下有電梯),住家用,八層
北投區,14680000,14680000,463110.0,31.7,40,公寓(5樓含以下無電梯),住商用,一層
北投區,12600000,12600000,312735.0,40.29,24,華廈(10層含以下有電梯),住家用,二層
北投區,4300000,4300000,228758.0,18.8,30,華廈(10層含以下有電梯),住家用,三層，電梯樓梯間
北投區,38000000,38000000,638767.0,57.27,15,住宅大樓(11層含以上有電梯),住家用,十三層
北投區,18800000,18800000,504620.0,37.26,46,公寓(5樓含以下無電梯),住家用,二層
北投區,14500000,14500000,455605.0,31.83,49,公寓(5樓含以下無電梯),住家用,二層
北投區,8110000,8110000,721669.0,11.24,18,華廈(10層含以下有電梯),住家用,三層
北投區,30600000,30600000,869627.0,35.88,19,住宅大樓(11層含以上有電梯),住家用,六層
北投區,8500000,8500000,370702.0,22.93,46,公寓(5樓含以下無電梯),住家用,五層
北投區,16600000,16600000,605632.0,27.41,49,公寓(5樓含以下無電梯),住家用,三層
北投區,7440000,7440000,645543.0,11.53,29,公寓(5樓含以下無電梯),住家用,二層
北投區,5040000,5040000,198252.0,25.42,53,公寓(5樓含以下無電梯),住家用,一層，騎樓，地下層
北投區,13000000,13000000,223598.0,58.14,44,華廈(10層含以下有電梯),住家用,一層
北投區,3400000,3400000,340289.0,9.99,49,華廈(10層含以下有電梯),住家用,五層
北投區,16380000,16380000,859234.0,19.06,12,華廈(10層含以下有電梯),住家用,六層
北投區,5800000,5800000,506435.0,11.45,17,住宅大樓(11層含以上有電梯),住家用,六層
北投區,41500000,41500000,799541.0,62.07,9,住宅大樓(11層含以上有電梯),住家用,十四層
北投區,3000000,3000000,344593.0,8.71,44,華廈(10層含以下有電梯),住家用,二層
北投區,15000000,15000000,405056.0,37.03,46,公寓(5樓含以下無電梯),住家用,三層
北投區,7300000,7300000,463728.0,15.74,31,公寓(5樓含以下無電梯),住家用,二層，電梯樓梯間
北投區,17080000,17080000,516968.0,33.04,18,住宅大樓(11層含以上有電梯),商業用,二層
北投區,7500000,7500000,408256.0,18.37,53,公寓(5樓含以下無電梯),住家用,二層
北投區,16500000,16500000,437344.0,37.73,19,華廈(10層含以下有電梯),住家用,三層
北投區,18540000,18540000,639967.0,28.97,50,公寓(5樓含以下無電梯),住家用,四層，陽臺
北投區,20000000,20000000,705765.0,28.34,50,公寓(5樓含以下無電梯),住家用,三層，陽臺
北投區,15800000,15800000,597342.0,26.45,18,華廈(10層含以下有電梯),住家用,七層
北投區,6900000,6900000,191505.0,36.03,48,公寓(5樓含以下無電梯),住家用,五層
北投區,19000000,19000000,748552.0,32.08,28,住宅大樓(11層含以上有電梯),住家用,七層，電梯樓梯間
北投區,17580000,17580000,614267.0,28.62,47,公寓(5樓含以下無電梯),住家用,四層
北投區,20000000,20000000,352864.0,56.68,14,住宅大樓(11層含以上有電梯),住家用,八層
北投區,131000000,131000000,1257351.0,129.87,4,住宅大樓(11層含以上有電梯),住家用,十一層
北投區,11680000,11680000,791709.0,14.75,31,住宅大樓(11層含以上有電梯),住家用,十一層
