區域名稱,成交價/售價,總價格,每坪價格,坪數,屋齡,房屋規格,住宅類型,樓層
大安區,8500000,8500000,664443.0,12.79,51,公寓(5樓含以下無電梯),住家用,三層，陽臺
大安區,25220000,25220000,1467048.0,17.19,31,華廈(10層含以下有電梯),住家用,三層
大安區,18700000,18700000,1367362.0,13.68,21,住宅大樓(11層含以上有電梯),辦公用,十一層
大安區,56000000,56000000,821025.0,68.21,47,住宅大樓(11層含以上有電梯),住家用,三層
大安區,100000000,100000000,930844.0,107.43,44,住宅大樓(11層含以上有電梯),住家用,七層
大安區,14000000,14000000,962989.0,14.54,36,住宅大樓(11層含以上有電梯),住家用,六層
大安區,58880000,58880000,1096778.0,53.68,54,華廈(10層含以下有電梯),住家用,二層，陽臺
大安區,7000000,7000000,593500.0,11.79,39,華廈(10層含以下有電梯),住家用,五層
大安區,66880000,66880000,1055783.0,63.35,52,住宅大樓(11層含以上有電梯),住家用,四層，陽臺
大安區,23715000,23715000,348028.0,68.14,17,華廈(10層含以下有電梯),住家用,四層
大安區,19130000,19130000,1806441.0,14.77,18,住宅大樓(11層含以上有電梯),住家用,九層
大安區,29750000,29750000,929561.0,32.0,41,住宅大樓(11層含以上有電梯),住家用,九層
大安區,24380000,24380000,801544.0,30.42,46,住宅大樓(11層含以上有電梯),住家用,十層
大安區,53000000,53000000,1173840.0,45.15,42,住宅大樓(11層含以上有電梯),住家用,十一層
大安區,19000000,19000000,1387457.0,13.69,21,住宅大樓(11層含以上有電梯),辦公用,十一層
大安區,2500000,2500000,428878.0,5.83,47,華廈(10層含以下有電梯),住家用,二層
大安區,35500000,35500000,1026838.0,36.16,5,華廈(10層含以下有電梯),辦公用,二層
大安區,21000000,21000000,483305.0,43.45,46,華廈(10層含以下有電梯),住家用,四層
大安區,22800000,22800000,1101291.0,20.7,47,住宅大樓(11層含以上有電梯),辦公用,十四層
大安區,10580000,10580000,1083165.0,9.77,30,住宅大樓(11層含以上有電梯),住家用,十二層
