區域名稱,成交價/售價,總價格,每坪價格,坪數,屋齡,房屋規格,住宅類型,樓層
松山區,27400000,27400000,520211.0,52.67,34,華廈(10層含以下有電梯),商業用,七層
松山區,20300000,20300000,698020.0,29.08,49,公寓(5樓含以下無電梯),住家用,二層
松山區,16200000,16200000,953426.0,16.99,47,住宅大樓(11層含以上有電梯),商業用,三層
松山區,27520000,27520000,963522.0,28.56,42,住宅大樓(11層含以上有電梯),住家用,十層
松山區,10200000,10200000,1097985.0,9.29,39,華廈(10層含以下有電梯),住家用,六層
松山區,10880000,10880000,907115.0,11.99,18,住宅大樓(11層含以上有電梯),住家用,十層
松山區,17000000,17000000,697339.0,24.38,53,公寓(5樓含以下無電梯),住家用,三層
松山區,10500000,10500000,684499.0,15.34,61,透天厝,住家用,全
松山區,10000000,10000000,751319.0,13.31,43,華廈(10層含以下有電梯),住家用,一層
松山區,20000000,20000000,848837.0,23.56,29,住宅大樓(11層含以上有電梯),住家用,九層
松山區,39800000,39800000,734826.0,54.16,37,住宅大樓(11層含以上有電梯),住家用,三層
松山區,21500000,21500000,752909.0,28.56,47,公寓(5樓含以下無電梯),住家用,三層
松山區,17000000,17000000,595894.0,28.53,54,公寓(5樓含以下無電梯),住家用,三層
松山區,32500000,32500000,825498.0,39.37,46,華廈(10層含以下有電梯),住家用,二層
松山區,61320000,61320000,744060.0,82.41,33,住宅大樓(11層含以上有電梯),商業用,四層
松山區,70500000,70500000,706304.0,99.82,42,住宅大樓(11層含以上有電梯),商業用,十二層
松山區,13250000,13250000,739147.0,17.93,51,公寓(5樓含以下無電梯),住家用,三層，陽臺
松山區,8000000,8000000,223138.0,35.85,33,公寓(5樓含以下無電梯),住家用,一層
松山區,4880000,4880000,807422.0,6.04,53,公寓(5樓含以下無電梯),住家用,一層
松山區,18000000,18000000,1366661.0,13.17,20,住宅大樓(11層含以上有電梯),辦公用,十層
松山區,39880000,39880000,965826.0,41.29,45,華廈(10層含以下有電梯),住家用,四層
松山區,24500000,24500000,1301001.0,21.74,20,住宅大樓(11層含以上有電梯),辦公用,四層
松山區,35800000,35800000,855918.0,41.83,34,住宅大樓(11層含以上有電梯),住家用,四層
松山區,25099999,25099999,1696150.0,14.8,39,住宅大樓(11層含以上有電梯),商業用,一層，騎樓
松山區,23200000,23200000,635047.0,36.53,53,公寓(5樓含以下無電梯),住家用,三層，陽臺
松山區,19100000,19100000,730879.0,26.13,48,公寓(5樓含以下無電梯),住家用,五層，走廊
松山區,18000000,18000000,590320.0,30.49,46,公寓(5樓含以下無電梯),住家用,三層
松山區,12000000,12000000,346038.0,34.68,53,公寓(5樓含以下無電梯),住家用,三層，陽臺
