行政區_中山區,行政區_中正區,行政區_信義區,行政區_內湖區,行政區_北投區,行政區_南港區,行政區_士林區,行政區_大同區,行政區_大安區,行政區_文山區,行政區_松山區,行政區_萬華區,建坪,地坪,房屋總價,單價,屋齡,房,廳,衛,是否有車位,房屋類型_公寓,房屋類型_大樓,房屋類型_華廈,房屋類型_透天,緯度,經度,成交年月
1,0,0,0,0,0,0,0,0,0,0,0,57.59,10.48,6200.0,107.66,46.3,1,0,0,0,0,0,1,0,25.055613,121.532224,11502
1,0,0,0,0,0,0,0,0,0,0,0,18.82,1.04,1435.0,76.27,16.8,1,1,1,1,0,1,0,0,25.065054,121.523705,11501
1,0,0,0,0,0,0,0,0,0,0,0,7.82,2.89,650.0,83.09,55.9,1,0,0,0,1,0,0,0,25.066862,121.528442,11501
1,0,0,0,0,0,0,0,0,0,0,0,8.29,0.91,750.0,90.42,46.3,1,1,1,0,0,0,1,0,25.066727,121.526918,11501
1,0,0,0,0,0,0,0,0,0,0,0,28.33,9.68,1850.0,65.3,49.7,3,2,1,0,1,0,0,0,25.064633,121.533438,11412
1,0,0,0,0,0,0,0,0,0,0,0,11.26,2.3,1042.0,92.57,26.0,1,0,0,0,0,0,1,0,25.061129,121.540668,11412
1,0,0,0,0,0,0,0,0,0,0,0,28.42,1.17,2100.0,73.9,43.3,3,2,1,0,0,1,0,0,25.06574,121.52721,11412
1,0,0,0,0,0,0,0,0,0,0,0,43.4,8.47,3400.0,78.34,41.9,3,2,2,0,0,0,1,0,25.0617,121.542754,11412
1,0,0,0,0,0,0,0,0,0,0,0,24.96,11.09,1770.0,70.92,0.0,3,2,3,0,1,0,0,0,25.059883,121.529681,11412
1,0,0,0,0,0,0,0,0,0,0,0,41.84,8.95,2200.0,52.58,36.1,3,2,2,0,0,0,1,0,25.067091,121.535094,11412
1,0,0,0,0,0,0,0,0,0,0,0,15.39,0.96,1300.0,84.48,16.8,1,0,0,0,0,1,0,0,25.065054,121.523705,11412
1,0,0,0,0,0,0,0,0,0,0,0,11.28,1.27,1120.0,99.29,18.4,1,2,1,0,0,1,0,0,25.062847,121.524589,11412
