成交年月,型式,地址,成交總價(萬),單價(萬/坪),建物坪數,土地坪數,屋齡,樓層,總樓層,車位,房,廳,衛,lat,lon,備註
11502,華廈,台北市中山區長春路１３７巷５號,6200,107.66,57.59,10.48,46.3,1,7,無,無隔間,0,0,25.055613,121.532224,其他增建；
11501,大樓,台北市中山區農安街８號八樓之８,1435,76.27,18.82,1.04,16.8,8,14,有,1,1,1,25.065054,121.523705,其他增建；
11501,公寓,台北市中山區德惠街７９巷２號,650,83.09,7.82,2.89,55.9,1,4,無,無隔間,0,0,25.066862,121.528442,親友、員工、共有人或其他特殊關係間之交易；
11501,華廈,台北市中山區德惠街４５號五樓之９,750,90.42,8.29,0.91,46.3,5,9,無,1,1,1,25.066727,121.526918,陽台外推；
11412,公寓,台北市中山區復興北路５１４巷２６號三樓,1850,65.3,28.33,9.68,49.7,3,4,無,3,2,1,25.064633,121.533438,陽台外推；其他增建；
11412,華廈,台北市中山區龍江路２８８號四樓之４,1042,92.57,11.26,2.3,26,4,8,無,無隔間,0,0,25.061129,121.540668,陽台外推；其他增建；
11412,大樓,台北市中山區新生北路三段６２巷６號九樓之１,2100,73.9,28.42,1.17,43.3,9,12,無,3,2,1,25.06574,121.52721,陽台外推；其他增建；
11412,華廈,台北市中山區復興北路４０２巷２０號二樓,3400,78.34,43.4,8.47,41.9,2,7,無,3,2,2,25.0617,121.542754,
11412,公寓,台北市中山區新生北路二段１２７巷３９號,1770,70.92,24.96,11.09,0,2,3,無,3,2,3,25.059883,121.529681,其他增建；
11412,華廈,台北市中山區建國北路三段１３５號七樓,2200,52.58,41.84,8.95,36.1,7,7,無,3,2,2,25.067091,121.535094,
11412,大樓,台北市中山區農安街８號八樓之１,1300,84.48,15.39,0.96,16.8,8,14,無,無隔間,0,0,25.065054,121.523705,
11412,大樓,台北市中山區民權東路一段４８號五樓之３,1120,99.29,11.28,1.27,18.4,5,12,無,1,2,1,25.062847,121.524589,夾層；
11412,大樓,台北市中山區雙城街１３巷９號四樓之２,4150,81.83,50.72,3.68,14,4,15,有,2,2,2,25.064175,121.524782,
11412,華廈,台北市中山區吉林路１０１號四樓,2220,63.72,34.84,6.36,43.3,4,7,無,3,2,2,25.056233,121.530413,
11412,華廈,台北市中山區新生北路三段３４號六樓之２,758,68.09,11.13,1.24,31.5,6,10,無,1,1,1,25.065499,121.528083,陽台外推；
