成交年月,型式,地址,成交總價(萬),單價(萬/坪),建物坪數,土地坪數,屋齡,樓層,總樓層,車位,房,廳,衛,lat,lon,備註
11501,公寓,台北市士林區士商路４０巷１０號,980.25,63.03,15.55,5.27,46.8,1,4,無,無隔間,0,0,25.089984,121.520077,親友、員工、共有人或其他特殊關係間之交易；
11501,大樓,台北市士林區大南路３３９號,3880,72.5,58.04,8.97,18.3,1,15,有,4,2,3,25.08852,121.516271,夾層；其他增建；
11501,華廈,台北市士林區文林路１０２號二樓之１０,548,86.18,6.36,0.9,31.3,2,6,無,無隔間,0,0,25.087837,121.526405,含租約；
11412,大樓,台北市士林區基河路１６號七樓之３,2525,155.27,16.26,4.51,21.3,7,11,無,2,2,1,25.087202,121.52474,夾層；其他增建；
11412,大樓,台北市士林區後港街１６０號,1788,55.31,32.33,7.87,28.6,1,12,無,3,2,2,25.087171,121.520489,親友、員工、共有人或其他特殊關係間之交易；
11412,華廈,台北市士林區華齡街７３號三樓,3450,68.25,50.55,10.26,42.8,3,7,無,4,2,2,25.084937,121.519186,陽台外推；其他增建；
11412,公寓,台北市士林區大南路３１０號二樓,1880,61.76,30.44,11.19,54.8,2,3,無,3,2,2,25.088892,121.518782,其他增建；
11412,華廈,台北市士林區福壽街５６號二樓,1930,78.62,24.55,4.48,11.5,2,7,無,2,1,1,25.096707,121.525514,夾層；
11412,公寓,台北市士林區通河東街一段１２４巷２４號四樓,680,23.46,28.99,8.23,45.2,4,5,無,3,2,1,25.08647,121.51717,親友、員工、共有人或其他特殊關係間之交易；
11412,公寓,台北市士林區承德路四段８０巷１８號,2450,73,33.56,9.64,47.3,1,5,無,3,2,2,25.082696,121.52224,其他增建：壹樓空地增建、平台外移。其他增建；
11412,公寓,台北市士林區福港街３７巷７號三樓,812,49.09,16.54,10.32,54.3,3,4,無,3,2,2,25.090988,121.518627,親友、員工、共有人或其他特殊關係間之交易；
11412,公寓,台北市士林區小西街５８之１號四樓,730,32.99,22.13,9.53,52.9,4,4,無,4,0,3,25.090157,121.523826,親友、員工、共有人或其他特殊關係間之交易；含租約；
11412,公寓,台北市士林區中正路３４９巷４號三樓,2410,79.58,30.28,9.38,45.1,3,5,無,3,2,2,25.093999,121.522347,陽台加窗。其他增建；
11412,大樓,台北市士林區中正路４９７號九樓,3120,72.14,43.25,5.51,39.3,9,16,無,3,2,2,25.091998,121.51826,其他增建；
11411,公寓,台北市士林區華聲街４６號二樓,1180,67.3,17.53,6.35,56.7,2,4,無,3,1,1,25.095627,121.521953,
11411,公寓,台北市士林區天母東路１０５巷５６號二樓,1520,38.98,38.99,14.54,46.8,2,5,無,4,2,2,25.092897,121.519771,陽台外推；其他增建；
11411,公寓,台北市士林區前港街５８巷１弄１號,1720,60.78,28.3,6.41,45.8,1,5,無,3,2,1,25.084678,121.520949,
11411,華廈,台北市士林區後街２１巷１９號三樓,1780,82.34,21.62,4.42,11.8,3,7,有,1,1,1,25.098539,121.524837,
11411,公寓,台北市士林區大南路３２４號三樓,1590,71.42,22.26,15.79,53.6,3,3,無,3,1,1,25.089015,121.518095,頂樓加蓋；
11411,公寓,台北市士林區承德路四段８０巷５０號三樓,2550,59.38,42.94,11.59,40.7,3,5,無,3,2,2,25.083134,121.521635,其他增建；
11411,大樓,台北市士林區後港街１３４巷２號十五樓,6666,116.38,65.74,8.38,1.8,15,22,有,2,2,2,25.086972,121.52086,
11411,公寓,台北市士林區中正路２２３巷６０號二樓,1320,114.71,11.51,6.05,62.2,2,2,無,1,2,1,25.093967,121.526471,頂樓加蓋；
11411,公寓,台北市士林區士商路４０巷１０號,326.75,63.02,5.18,1.76,46.8,1,4,無,無隔間,0,0,25.089984,121.520077,親友、員工、共有人或其他特殊關係間之交易；
11411,華廈,台北市士林區文林路１０２之９號,442.9975,141.08,3.14,0.46,31.3,1,6,無,無隔間,0,0,25.087717,121.526451,含租約；
11411,大樓,台北市士林區承德路四段７５之２號二樓,3500,71.97,48.63,8.5,25.8,2,11,有,無隔間,0,0,25.082058,121.523335,其他增建；
11411,公寓,台北市士林區中正路２１２巷４弄５號,3850,104.54,36.83,16.74,53.9,1,3,無,0,3,2,25.09622,121.526528,其他增建；
11411,大樓,台北市士林區士商路１６７號九樓,4900,98.06,57.17,14.79,25.1,9,12,有,3,2,2,25.094613,121.517266,其他增建；
11411,大樓,台北市士林區大南路３２９號三樓,2920,68.77,46.94,7.32,18.3,3,14,有,3,2,2,25.088356,121.517016,
11411,公寓,台北市士林區承德路四段２９２巷１１弄３號二樓,800,23.18,34.51,8.44,42.5,2,5,無,3,2,2,25.08915,121.519426,親友、員工、共有人或其他特殊關係間之交易；
11411,公寓,台北市士林區福港街２５９巷３０號三樓,1350,44.16,30.57,8.55,43.3,3,5,無,3,2,2,25.083996,121.519152,親友、員工、共有人或其他特殊關係間之交易；
11410,大樓,台北市士林區文林路４７０號十樓,1100,64.54,17.04,1.45,1.3,10,13,有,2,2,1,25.095923,121.524636,持分買賣親友、員工、共有人或其他特殊關係間之交易；
11410,公寓,台北市士林區華齡街６８號,910,28.58,31.84,10.34,46,1,5,無,3,2,1,25.084424,121.51964,親友、員工、共有人或其他特殊關係間之交易；
11410,華廈,台北市士林區華齡街７５號七樓,36,20.48,1.76,0.34,42.8,7,7,無,2,1,1,25.085019,121.519257,親友、員工、共有人或其他特殊關係間之交易；
11410,大樓,台北市士林區後港街１３５號五樓之１,2888,63.59,45.41,6.36,16.2,5,14,有,5,2,2,25.085668,121.521543,親友、員工、共有人或其他特殊關係間之交易；
11410,大樓,台北市士林區承德路四段９５號十四樓,6700,89.31,96.05,11.76,23.6,"14,夾層",14,有,3,2,5,25.083349,121.524007,親友、員工、共有人或其他特殊關係間之交易；
11410,公寓,台北市士林區文林路５８７巷１５弄３號二樓,1600,55.75,28.7,8.7,55.7,2,4,無,3,2,1,25.097787,121.522292,陽台外推；
11410,公寓,台北市士林區中正路３９９巷１弄２１號三樓,1718,67.27,25.54,6.96,53.6,3,4,無,2,2,2,25.093642,121.521883,陽台外推；其他增建；
11410,公寓,台北市士林區前港街７６號,1200,53.64,22.37,4.39,44.8,1,5,無,3,2,1,25.084909,121.520011,親友、員工、共有人或其他特殊關係間之交易；
11410,大樓,台北市士林區承德路四段８８號十三樓之５,3800,94.11,52.64,4.47,3.9,13,15,有,3,2,2,25.082487,121.523019,
11410,華廈,台北市士林區福德路３１巷１１號五樓之７,1175,111.43,10.55,2.18,14.2,5,8,無,1,1,1,25.092214,121.525716,夾層；
11410,公寓,台北市士林區華齡街３３號四樓,500,43.1,11.6,4.06,52.3,4,4,無,2,2,1,25.083661,121.519332,親友、員工、共有人或其他特殊關係間之交易；頂樓加蓋；未登記建物；
11410,大樓,台北市士林區基河路３０號十樓之７,1720,110.43,15.58,2.42,27.3,10,13,無,0,2,1,25.087202,121.52474,其他增建；
11410,華廈,台北市士林區福德路３１巷１１號三樓之１１,1188,92.19,12.89,2.26,14.2,3,8,無,1,1,1,25.092214,121.525716,親友、員工、共有人或其他特殊關係間之交易；夾層；
11410,公寓,台北市士林區承德路四段２９２巷１１弄８號五樓,1700,47.06,36.12,11.1,41.8,5,5,無,3,2,1,25.089055,121.519616,頂樓加蓋；其他增建；
11410,公寓,台北市士林區承德路四段２９２巷１１弄６號五樓,1997,50.01,39.93,12.53,41.8,5,5,無,9,2,3,25.089224,121.51971,頂樓加蓋；其他增建；
11410,大樓,台北市士林區美德街１０號,3470,180.62,22.55,4.12,0.6,1,11,有,無隔間,0,0,25.094163,121.52546,
11410,公寓,台北市士林區後街２１巷３４號二樓,1600,43.2,37.04,13.05,46.9,2,4,無,5,2,2,25.098547,121.524886,其他增建；
11410,大樓,台北市士林區中山北路五段５１６號六樓,15700,101.43,179.32,24.09,10.8,6,12,有,3,1,1,25.093252,121.528193,
11409,大樓,台北市士林區華齡街１８５巷６號八樓,4850,95.56,60.76,6.46,17.4,8,15,有,4,2,2,25.087709,121.519356,陽台外推；
11409,大樓,台北市士林區華齡街１８５巷１號十五樓之１,4078,75.41,62.91,7.34,17.6,15,15,有,3,0,2,25.087698,121.519037,陽台外推；
11409,大樓,台北市士林區華齡街１８５巷１號十五樓之２,2950,92.33,41.51,4.24,17.6,15,15,有,1,2,0,25.087698,121.519037,陽台外推；
11409,公寓,台北市士林區大北路７５號,3288,55.8,58.92,8.77,39.2,1,5,無,3,3,2,25.090045,121.524918,其他增建；
11409,大樓,台北市士林區承德路四段１９２號二樓,2890,56,51.61,8.01,40.3,2,11,無,1,1,1,25.087274,121.522243,其他增建；
11409,大樓,台北市士林區基河路２２號二樓之２,5070,84.85,69.9,10.81,17.3,2,18,有,3,2,2,25.083252,121.524262,
11409,大樓,台北市士林區基河路２２號十七樓之１,8980,95.46,115.16,16.9,17.3,"17,18",18,有,4,2,2,25.083252,121.524262,
11409,公寓,台北市士林區大西路８６號一樓,1250,103.69,12.05,4.35,50.5,1,4,無,0,0,1,25.091966,121.524958,親友、員工、共有人或其他特殊關係間之交易；
11409,華廈,台北市士林區福榮街６１號五樓之１,270,69.84,3.86,0.92,28,5,9,無,2,1,1,25.097316,121.526814,親友、員工、共有人或其他特殊關係間之交易；
11409,大樓,台北市士林區福志路１１８號三樓,5800,92.15,70.3,9.92,12.1,3,12,有,3,2,3,25.098583,121.528023,
11409,大樓,台北市士林區中正路３３７號七樓,5999,80.04,74.95,9.05,8.8,7,13,有,3,2,2,25.094504,121.52291,土地價款:49386760元；建物價款:10603240元依土地法第34條之1規定處分
11409,大樓,台北市士林區文林路４７２號十一樓,2668,108.21,33.9,2.88,1.3,11,13,有,無隔間,0,0,25.095941,121.524646,
11409,大樓,台北市士林區基河路３９６巷２號四樓,6500,95.17,85.46,15.58,13.9,4,12,有,4,2,2,25.095393,121.517876,陽台外推；
11409,大樓,台北市士林區承德路四段７９號十樓之１,6308,94.14,67,11.14,18.8,10,14,有,5,2,2,25.082294,121.523359,其他增建；
11409,公寓,台北市士林區華齡街４０巷１弄１號,1250,41.53,30.1,12.02,54.3,3,4,無,4,2,2,25.083748,121.51985,親友、員工、共有人或其他特殊關係間之交易；
11409,華廈,台北市士林區福德路３１巷１１號四樓之１１,1337,103.75,12.89,2.26,14.2,4,8,無,1,1,1,25.092214,121.525716,陽台外推；夾層；其他增建；
11409,大樓,台北市士林區基河路１６之２號六樓之８,3078,105.06,29.3,5.48,21.3,6,11,有,2,2,2,25.087202,121.52474,夾層；其他增建；
11408,大樓,台北市士林區大南路３３５號七樓之１,2900,68.52,48.3,6.94,18.3,7,15,有,3,2,2,25.089046,121.517112,其他增建；
11408,大樓,台北市士林區承德路四段２３３號九樓,1980,75.98,28.9,3.08,16.3,9,11,有,1,2,1,25.088411,121.522126,
11408,公寓,台北市士林區承德路四段２７７巷６０號五樓,1300,45.45,28.6,9.34,45.1,5,5,無,3,1,1,25.091051,121.519329,頂樓加蓋；包含公共設施保留地用地；
11408,大樓,台北市士林區承德路四段８８號十一樓之７,1000,40.49,24.7,1.98,3.9,11,15,有,無隔間,0,0,25.082487,121.523019,親友、員工、共有人或其他特殊關係間之交易；
11408,公寓,台北市士林區承德路四段８０巷４３號三樓,1690,62.99,26.83,7.71,56.6,3,4,無,3,2,1,25.082616,121.521892,
11408,華廈,台北市士林區福港街１９巷５號四樓,3800,69.11,54.99,12.35,20.3,4,8,有,4,2,2,25.091404,121.518489,其他增建；
11408,公寓,台北市士林區福港街１１０巷１弄３號三樓,200,29.94,6.68,2.47,47.6,3,4,無,3,1,1,25.088459,121.517733,買賣建物持分1/4親友、員工、共有人或其他特殊關係間之交易；
11408,公寓,台北市士林區文林路５８７巷９弄４號三樓,1988,68.97,28.83,8.17,55.7,3,4,無,3,2,1,25.097879,121.522659,其他增建；
11408,公寓,台北市士林區承德路四段２９７巷３９號三樓,1041,57.29,18.17,7.16,56.4,3,3,無,3,2,2,25.090589,121.519222,親友、員工、共有人或其他特殊關係間之交易；陽台外推；頂樓加蓋；
11408,華廈,台北市士林區承德路四段１１０號二樓之１,1640,74.88,21.9,2.92,48.8,2,7,無,2,2,1,25.08316,121.523027,其他增建；
11408,大樓,台北市士林區劍潭路１０號,2186,117.94,18.53,2.89,27.3,1,13,無,1,1,1,25.083909,121.524248,夾層；其他增建；
11408,公寓,台北市士林區文昌路１６７號三樓,1828,58.82,31.08,9.76,54.3,3,4,無,3,2,2,25.098117,121.520208,
11408,公寓,台北市士林區大北路３８號三樓之１,970,68.9,14.08,5.48,54.2,3,4,無,3,1,1,25.089905,121.52605,其他增建：天井增建。其他增建；
