成交年月,型式,地址,成交總價(萬),單價(萬/坪),建物坪數,土地坪數,屋齡,樓層,總樓層,車位,房,廳,衛,lat,lon,備註
11501,華廈,台北市大安區瑞安街２０８巷５３弄７號三樓,2316,91.16,25.4,4.78,17.7,3,7,有,2,2,2,25.030411,121.540903,親友、員工、共有人或其他特殊關係間之交易；陽台外推；
11501,公寓,台北市大安區和平東路二段９６巷２０弄１９號二樓,2080,106.59,19.51,9.78,0,2,3,無,2,1,1,25.022489,121.539602,增建:陽台增建、懸空增建。陽台外推；
11501,公寓,台北市大安區泰順街４４巷２２之５號,5430,93.68,57.97,11.98,48.4,1,5,無,4,2,2,25.026476,121.534619,其他增建：天井增建、平台增建、壹樓空地增建。其他增建；
11501,大樓,台北市大安區建國南路二段７９巷１２號十七樓,3360,102.07,32.92,6.39,39.9,17,18,無,3,2,1,25.029823,121.538722,陽台外推；其他增建；
11501,華廈,台北市大安區和平東路二段１８巷５號四樓之１,6950,93.26,74.52,9.03,17.3,4,10,有,3,1,3,25.024651,121.536013,
11501,大樓,台北市大安區信義路三段１０５號二樓之８,2028,133.92,15.14,1.27,19,2,14,無,1,0,1,25.033603,121.53884,陽台外推；
11501,大樓,台北市大安區復興南路二段３０７號五樓,9028,134.25,67.25,6.36,1.2,5,23,有,4,2,2,25.024235,121.543712,土地價格:47739899元整。建物價格:42540101元整。車位位於地下五層。
11501,華廈,台北市大安區新生南路一段１６１巷８號之１五樓,6250,85.17,78.6,17.43,45.9,5,6,有,5,2,2,25.034652,121.535041,親友、員工、共有人或其他特殊關係間之交易；
11501,華廈,台北市大安區新生南路一段１６１巷８號之１四樓,6250,85.17,78.6,17.43,45.9,4,6,有,5,2,2,25.034652,121.535041,親友、員工、共有人或其他特殊關係間之交易；
11412,大樓,台北市大安區羅斯福路三段１５５號三樓之１,1748,117.12,14.93,1.32,1,3,15,無,1,1,1,25.021693,121.52753,
11412,公寓,台北市大安區辛亥路三段１５７巷２４弄１８號四樓,1370,68.92,19.88,5.51,47,4,5,無,2,2,1,25.026476,121.534619,陽台外推；其他增建；
11412,公寓,台北市大安區潮州街７８巷５號三樓,1500,113.47,13.22,6.98,50.2,3,4,無,3,2,2,25.026476,121.534619,本案移轉持分八分之三。親友、員工、共有人或其他特殊關係間之交易；
11412,華廈,台北市大安區新生南路一段１０３巷１１之２號,4800,96.87,49.55,11.15,54,3,7,無,3,2,2,25.026476,121.534619,有一個車位使用權
11412,華廈,台北市大安區新生南路三段８８號三樓之１,3998,102.31,39.08,7.15,44,3,7,無,3,2,2,25.01812,121.533348,陽台外推、陽台加窗。本案依土地法第34條之1第1項至第3項規定辦理。其他增建；
11412,華廈,台北市大安區麗水街１３巷３號五樓,2400,112.46,21.34,4.84,42.7,5,7,無,3,2,2,25.030278,121.5288,
11412,華廈,台北市大安區師大路６０號三樓之６,1100,104.7,10.51,1.84,17.3,3,9,無,0,0,1,25.024458,121.528665,親友、員工、共有人或其他特殊關係間之交易；
11412,華廈,台北市大安區羅斯福路二段１１７巷５號四樓,2660,100.27,26.53,4.92,7.4,4,7,有,1,1,1,25.024503,121.525262,
11412,大樓,台北市大安區和平東路二段１００號五樓之９,1500,134.45,11.16,0.85,41.8,5,12,無,0,1,1,25.025444,121.540158,
11412,大樓,台北市大安區羅斯福路三段２５３號二樓之１,3400,79.6,42.71,4.69,40.3,2,12,無,無隔間,0,0,25.019121,121.530154,親友、員工、共有人或其他特殊關係間之交易；
11412,華廈,台北市大安區和平東路一段８５巷１２號四樓,1868,156.73,11.92,2.99,20.3,4,7,無,1,0,1,25.028011,121.525492,
11412,公寓,台北市大安區青田街２巷１３號三樓,2500,99.8,25.05,9.3,51.5,3,4,無,2,2,1,25.02856,121.531275,陽台外推；其他增建；
11412,大樓,台北市大安區信義路二段１３０之１號十二樓之２,1718,135.22,12.71,1.31,30.1,12,12,無,2,0,1,25.021716,121.539749,陽台外推；夾層；
11412,大樓,台北市大安區羅斯福路三段１５５號五樓之３,1988,133.36,14.91,1.32,1,5,15,無,1,1,1,25.021693,121.52753,
11412,華廈,台北市大安區信義路三段１５０之１號四樓,688,63.85,10.78,1.2,47.7,4,8,無,5,2,2,25.033161,121.540684,親友、員工、共有人或其他特殊關係間之交易；
11412,華廈,台北市大安區和平東路二段１７５巷１５弄９號五樓,4900,103.9,47.16,9.96,39.2,5,7,無,4,2,2,25.026199,121.542219,其他增建；
11412,華廈,台北市大安區麗水街１３巷３號,4800,112.47,42.68,9.69,42.7,1,7,無,3,2,2,25.030278,121.5288,
11412,大樓,台北市大安區和平東路一段１４５號五樓之１,5123,96.55,53.06,3.21,40.3,5,12,有,無隔間,0,0,25.026617,121.53066,陽台外推；
11412,大樓,台北市大安區和平東路一段１９８號七樓,2779.5,75.01,37.06,3.88,49.3,7,11,無,1,2,2,25.026113,121.531225,土地價款：新臺幣25015500 元整。建物價款：新臺幣 2779500 不含營業稅元整。親友、員工、共有人或其他特殊關係間之交易；
