成交年月,型式,地址,成交總價(萬),單價(萬/坪),建物坪數,土地坪數,屋齡,樓層,總樓層,車位,房,廳,衛,lat,lon,備註
11501,大樓,台北市文山區秀明路一段２０１號三樓之１,2908,75.25,47.5,8.06,17.8,3,12,有,3,2,2,24.991837,121.569612,陽台外推；其他增建；
11412,大樓,台北市文山區木柵路四段９巷５號四樓,3268,50.17,65.14,27.79,27.6,4,13,有,3,2,2,24.991933,121.570787,陽台外推；
11412,公寓,台北市文山區景華街１９２巷６號四樓,1300,63.11,20.6,7.79,53,4,4,無,3,1,1,24.98973,121.570049,親友、員工、共有人或其他特殊關係間之交易；
11412,大樓,台北市文山區木柵路二段５７號七樓之３,600,65.35,9.18,1.98,28.3,7,13,無,1,1,1,24.988873,121.560371,其他增建；
11412,公寓,台北市文山區木新路二段２１１巷１０弄１２號四樓,1450,40.62,35.7,11.98,38.7,4,5,無,2,3,2,24.982689,121.56739,
11412,大樓,台北市文山區木柵路二段１０９巷１００弄７４號十五樓,1288,57.67,22.33,12.13,29.5,15,17,無,1,2,1,24.991403,121.564089,鐵鋁窗增建其他增建；
11412,公寓,台北市文山區新光路一段３２巷４弄１９號三樓,1160,57.13,20.3,6.54,48.8,3,4,無,3,2,1,24.989819,121.573048,
11411,大樓,台北市文山區興隆路四段１３９號十四樓,2060,60.2,34.22,9.09,30.3,14,14,無,3,2,2,24.985366,121.561571,陽台外推；其他增建；
11411,華廈,台北市文山區興隆路四段１０５巷４８之１號五樓,805,64.95,12.39,3.95,29.4,5,7,無,1,1,1,24.987413,121.562033,夾層；
11411,華廈,台北市文山區新光路一段３２巷１６號二樓,1100,54.02,20.36,5.78,28,2,6,無,2,1,1,24.989059,121.573096,親友、員工、共有人或其他特殊關係間之交易；陽台外推；
11411,公寓,台北市文山區木新路二段２１８巷３號二樓,700,29.41,23.8,7.03,48.4,2,4,無,3,1,1,24.983769,121.56715,親友、員工、共有人或其他特殊關係間之交易；
11411,大樓,台北市文山區木柵路四段９巷１號四樓,2038,61.48,33.15,14.53,27.6,4,13,有,3,2,1,24.992465,121.570506,陽台外推；夾層；其他增建；
11411,大樓,台北市文山區木柵路三段９６號十二樓之４,3800,59.26,70.53,6.99,33.7,12,19,有,4,2,2,24.988387,121.567258,其他增建；
11411,大樓,台北市文山區萬芳路８之３號十二樓,2650,105.49,28.64,21.38,0.6,12,26,有,2,2,1,24.996705,121.570929,
11411,公寓,台北市文山區木新路二段１１１巷１２弄８號三樓,1445,47.16,30.64,9.47,40.8,3,5,無,3,1,2,24.983537,121.56994,
11411,大樓,台北市文山區木柵路三段１２７號十三樓,3280,74.63,52.08,5.36,23,13,17,有,3,2,2,24.989079,121.568635,其他增建；
11411,大樓,台北市文山區久康街１５５之１號六樓,4700,70.01,84.32,9.63,12.3,6,13,有,3,2,2,24.990684,121.567309,其他增建；
11411,公寓,台北市文山區永安街２２巷９弄４號三樓,205,30.53,6.72,2.25,51.4,3,4,無,3,2,2,24.986537,121.569349,親友、員工、共有人或其他特殊關係間之交易；陽台外推；
11410,華廈,台北市文山區木柵路三段８５巷１４弄１４號五樓,1300,63.52,20.47,4.84,48.3,5,7,無,2,2,1,24.989672,121.566957,其他增建；
11410,華廈,台北市文山區指南路二段４５巷１４弄５號四樓之５,1030,90.2,11.42,2.8,16.8,4,7,無,1,0,1,24.989178,121.575021,其他增建；
11410,華廈,台北市文山區久康街１１０巷２弄１１號四樓,2008,49.04,40.95,10.46,14.6,4,6,有,3,2,2,24.990195,121.567986,含其他增建:陽台鐵鋁窗增建夾層；其他增建；
11410,大樓,台北市文山區久康街２４巷１０號四樓,3920,71.11,65.1,4.85,17.5,4,15,有,3,2,2,24.988834,121.565275,陽台外推；其他增建；
11410,大樓,台北市文山區木柵路二段１０９巷１００弄４２號五樓,1240,53.94,22.99,12.13,29.5,5,17,無,2,2,1,24.992517,121.562162,其他增建；
11410,大樓,台北市文山區木柵路二段１０９巷１００弄２２號八樓,540,61.24,8.82,4.04,29.5,8,17,無,1,0,1,24.992144,121.561416,其他增建；
