成交年月,型式,地址,成交總價(萬),單價(萬/坪),建物坪數,土地坪數,屋齡,樓層,總樓層,車位,房,廳,衛,lat,lon,備註
11412,公寓,台北市松山區寶清街１０１巷９號二樓,1610,77.58,20.75,5.99,42.7,2,5,無,3,2,1,25.052938,121.568151,
11412,大樓,台北市松山區八德路四段４４５號九樓之２０,1360,75.91,17.91,1.47,18.1,9,14,有,1,1,1,25.049701,121.570078,
11412,大樓,台北市松山區南京東路五段３９９號二樓之６,1460,81.5,17.91,1.95,32.7,2,15,無,2,1,1,25.0515,121.569836,陽台外推；其他增建；
11412,大樓,台北市松山區八德路四段５７９號七樓,3750,142.7,28.62,2.56,3,7,12,有,2,2,1,25.05014,121.5739,
11412,華廈,台北市松山區南京東路五段２５０巷３６弄４４號五樓,3320,77.93,42.6,8.26,42.4,5,7,無,3,2,2,25.049656,121.567769,
11411,公寓,台北市松山區光復南路２２巷１５號四樓,2500,57.72,43.31,12.16,45.7,4,5,無,4,2,2,25.049878,121.577233,親友、員工、共有人或其他特殊關係間之交易；
11411,華廈,台北市松山區寶清街１０號五樓之３,1780,77.72,22.9,3.38,29.5,5,5,無,2,1,1,25.049946,121.568743,陽台外推；其他增建；
11411,大樓,台北市松山區八德路四段６３６號五樓之３,1578,103.36,15.27,1.51,12.3,5,13,無,無隔間,0,0,25.050041,121.575348,
11411,大樓,台北市松山區八德路四段４４５號六樓之８,1130,97,11.65,1.13,18.1,6,14,無,1,1,1,25.049701,121.570078,夾層；
11411,大樓,台北市松山區八德路四段７７７號九樓之３,2350,91.39,30.55,2.33,18.7,9,15,有,2,1,1,25.050094,121.577661,陽台外推；
11411,大樓,台北市松山區八德路四段７６５號二樓之８,1200,96.1,12.49,1.12,28.8,2,14,無,2,1,1,25.050094,121.577661,陽台外推；夾層；
11411,大樓,台北市松山區八德路四段６７８號四樓之８,1350,60.86,22.18,1.92,32.3,4,12,無,無隔間,0,0,25.05005,121.575983,陽台外推；
11411,大樓,台北市松山區八德路四段６９９號六樓之１,1680,61.7,27.23,2.67,44.3,6,12,無,2,1,1,25.050058,121.576773,雙方約定土地增值稅由買方負擔，金額233319元
11411,大樓,台北市松山區八德路四段６９９號七樓之１,1520,65.48,23.21,2.62,44.3,7,12,無,2,1,1,25.050058,121.576773,其他增建；
11410,大樓,台北市松山區八德路四段４４５號六樓之９,1160,71.66,16.19,1.32,18.1,6,14,有,0,1,1,25.049701,121.570078,夾層；其他增建；
11410,大樓,台北市松山區塔悠路８７號十一樓之１,2100,62.84,33.42,3.94,31,11,12,無,3,2,2,25.052711,121.570486,親友、員工、共有人或其他特殊關係間之交易；
11410,大樓,台北市松山區八德路四段６５０號五樓之２,1400,136.68,10.24,1.12,19.3,5,13,無,1,1,1,25.050041,121.575348,
11410,大樓,台北市松山區八德路四段６３６號六樓,1958,100.79,19.43,1.92,12.3,6,13,無,1,1,1,25.050041,121.575348,其他增建；
11410,公寓,台北市松山區南京東路五段３８９巷１１弄５號三樓,1868,63.57,29.38,7.99,44.8,3,5,無,3,2,2,25.052486,121.569515,陽台外推；其他增建；
11409,公寓,台北市松山區八德路四段８２９巷２０號二樓,1930,57.76,33.41,7.37,40.7,2,5,無,3,2,2,25.051793,121.579672,其他增建；
11409,大樓,台北市松山區八德路四段６３６號七樓之２,1690,110.69,15.27,1.51,12.3,7,13,無,1,1,1,25.050041,121.575348,
11409,大樓,台北市松山區八德路四段７８３號十一樓之１,3576,103.72,34.48,3.37,18.7,11,15,無,3,2,2,25.051214,121.578367,
11409,大樓,台北市松山區八德路四段７６５號九樓之４,1300,69.99,18.57,1.94,28.8,9,14,無,2,1,1,25.050094,121.577661,
11409,大樓,台北市松山區八德路四段６９９號六樓,3818,55.8,68.43,7.38,44.3,6,12,無,3,3,3,25.050058,121.576773,
11409,公寓,台北市松山區八德路四段３８９巷３２號四樓,1970,77.53,25.41,8.7,51.1,4,4,無,3,2,2,25.050364,121.56836,其他增建：頂樓增建陽台外推；其他增建；
11409,大樓,台北市松山區八德路四段４４５號六樓之１４,2200,68.3,32.21,2.41,18.1,6,14,有,2,1,1,25.049701,121.570078,
11408,大樓,台北市松山區八德路四段４４５號八樓,2208,90.03,27.1,2.38,18.1,8,14,有,2,1,1,25.049701,121.570078,夾層；其他增建；
11408,大樓,台北市松山區八德路四段６５０號十一樓之３,1435,136.99,10.48,1.17,19.3,11,13,無,0,1,1,25.050041,121.575348,陽台外推；夾層；其他增建；
11408,大樓,台北市松山區八德路四段６８６號十樓,1000,38.33,26.09,2.47,39.8,10,12,無,2,2,1,25.05005,121.575983,親友、員工、共有人或其他特殊關係間之交易；
11408,大樓,台北市松山區八德路四段６５０號十二樓之２３,2168,126.16,17.19,1.86,19.3,12,13,無,2,1,1,25.050041,121.575348,夾層；其他增建；
11408,公寓,台北市松山區寶清街１８之８號四樓,2080,54.49,38.17,11.4,51.1,4,4,無,3,2,2,25.05058,121.568531,
11407,大樓,台北市松山區八德路四段６５０號二樓之５,1920,75.58,25.4,2.34,19.3,"2,3",13,有,2,1,1,25.050041,121.575348,陽台外推；
11407,大樓,台北市松山區八德路四段６２６號四樓之６,950,83.93,11.32,1.19,30.1,4,11,無,無隔間,0,0,25.050029,121.574539,
11407,大樓,台北市松山區南京東路五段４０５號十一樓之４,1468,113.92,12.89,1.54,20.2,11,11,無,1,2,1,25.051495,121.569793,夾層；其他增建；
11407,大樓,台北市松山區饒河街１９９號十樓之１,4280,92.85,53.95,3.15,7.4,10,18,有,3,2,2,25.050676,121.576121,
11407,大樓,台北市松山區南京東路五段４０５號五樓之３,1363,94.13,17.97,1.56,20.2,5,11,有,2,2,1,25.051495,121.569793,夾層；其他增建；
11407,大樓,台北市松山區八德路四段６３６號三樓之９,1920,103.74,18.51,1.83,12.3,3,13,無,0,1,1,25.050041,121.575348,陽台外推；
11407,公寓,台北市松山區寶清街８９巷１０號二樓,1000,66.47,15.04,6.35,56.2,2,4,無,3,2,1,25.052287,121.568508,親友、員工、共有人或其他特殊關係間之交易；
11407,大樓,台北市松山區塔悠路２７號八樓,1190,82.63,14.4,2.13,29.8,8,11,無,2,1,1,25.050336,121.571961,陽台外推；
11407,大樓,台北市松山區八德路四段４４５號十二樓之１０,980,92.56,10.59,1.06,18.1,12,14,無,1,1,1,25.049701,121.570078,
11407,大樓,台北市松山區塔悠路９５號五樓,1680,65.69,25.58,2.73,31,5,12,無,2,2,2,25.054102,121.570254,
11407,華廈,台北市松山區八德路四段７９５號八樓之２,190,17.57,10.81,1.26,26.3,8,10,無,1,1,1,25.050094,121.577661,親友、員工、共有人或其他特殊關係間之交易；
11406,公寓,台北市松山區饒河街１６７號二樓,1650,64.43,25.61,9.8,48.8,2,5,無,1,1,1,25.050603,121.575337,陽台外推；
11406,大樓,台北市松山區八德路四段４５３巷１２號十樓,2150,49.22,43.68,4.35,40.7,10,12,無,5,1,5,25.050385,121.570334,陽台外推；
11406,大樓,台北市松山區健康路４１８號,8360,73.24,114.15,10.87,14.7,1,15,有,無隔間,0,0,25.054664,121.569265,
11406,大樓,台北市松山區南京東路五段４１５號九樓,2765,88.98,35.59,3,8.5,9,12,有,2,2,1,25.0515,121.569836,車位所在樓層:地下二層
