路段,行政區_中山區,行政區_中正區,行政區_信義區,行政區_內湖區,行政區_北投區,行政區_南港區,行政區_士林區,行政區_大同區,行政區_大安區,行政區_文山區,行政區_松山區,行政區_萬華區,屋齡,建坪,房屋總價(萬),車位,房,廳,衛,室,有加蓋,總樓層,起始樓層,最高樓層,物件涵蓋層數,房屋類型_公寓,房屋類型_大樓,房屋類型_套房,房屋類型_華廈,房屋類型_透天
台北市大同區酒泉街,0,0,0,0,0,0,0,1,0,0,0,0,14.8,86.13,4988.0,2,6,3,3,0,0,7,2,2,1,0,0,0,1,0
台北市大同區哈密街,0,0,0,0,0,0,0,1,0,0,0,0,43.2,38.62,1888.0,0,3,2,2,0,0,5,4,4,1,1,0,0,0,0
台北市大同區寧夏路,0,0,0,0,0,0,0,1,0,0,0,0,29.4,17.94,1480.0,0,1,1,1,0,0,14,7,7,1,0,1,0,0,0
台北市大同區延平北路二段,0,0,0,0,0,0,0,1,0,0,0,0,2.3,38.47,3980.0,1,3,2,2,0,0,12,7,7,1,0,1,0,0,0
台北市大同區南京西路,0,0,0,0,0,0,0,1,0,0,0,0,47.3,20.01,1688.0,1,2,2,1,0,0,14,9,9,1,0,1,0,0,0
台北市大同區民權西路,0,0,0,0,0,0,0,1,0,0,0,0,17.7,12.18,1480.0,1,1,1,1,0,1,14,6,6,1,0,1,0,0,0
台北市大同區民族西路,0,0,0,0,0,0,0,1,0,0,0,0,58.5,18.53,1898.0,0,2,1,1,0,0,4,1,1,1,1,0,0,0,0
台北市大同區大龍街,0,0,0,0,0,0,0,1,0,0,0,0,31.0,60.77,3490.0,0,3,2,2,0,0,6,5,6,2,0,0,0,1,0
台北市大同區迪化街二段,0,0,0,0,0,0,0,1,0,0,0,0,55.9,17.65,1288.0,0,3,2,1,0,1,4,4,4,1,1,0,0,0,0
台北市大同區迪化街二段,0,0,0,0,0,0,0,1,0,0,0,0,51.1,18.85,1398.0,0,3,2,2,0,1,4,4,4,1,1,0,0,0,0
台北市大同區涼州街,0,0,0,0,0,0,0,1,0,0,0,0,51.6,17.0,1598.0,0,3,1,1,0,0,4,1,1,1,1,0,0,0,0
台北市大同區民生西路,0,0,0,0,0,0,0,1,0,0,0,0,55.6,22.73,1750.0,0,3,3,1,0,1,4,4,4,1,1,0,0,0,0
台北市大同區哈密街,0,0,0,0,0,0,0,1,0,0,0,0,8.9,26.31,1998.0,1,1,1,1,0,0,7,7,7,1,0,0,0,1,0
台北市大同區環河北路一段,0,0,0,0,0,0,0,1,0,0,0,0,31.9,35.81,2688.0,1,2,2,1,0,0,7,7,7,1,0,0,0,1,0
台北市大同區延平北路三段,0,0,0,0,0,0,0,1,0,0,0,0,57.8,23.95,3980.0,0,3,1,1,0,0,4,1,1,1,1,0,0,0,0
台北市大同區重慶北路二段,0,0,0,0,0,0,0,1,0,0,0,0,43.0,19.98,2398.0,0,1,1,2,0,0,12,1,1,1,0,1,0,0,0
台北市大同區承德路三段,0,0,0,0,0,0,0,1,0,0,0,0,13.5,92.95,11200.0,1,4,2,3,0,0,12,11,11,1,0,1,0,0,0
台北市大同區重慶北路三段,0,0,0,0,0,0,0,1,0,0,0,0,41.25,11.98,3688.0,0,3,1,2,0,0,1,1,1,1,0,0,0,0,1
台北市大同區哈密街,0,0,0,0,0,0,0,1,0,0,0,0,46.2,43.16,2098.0,0,4,2,1,0,0,5,3,3,1,1,0,0,0,0
台北市大同區敦煌路,0,0,0,0,0,0,0,1,0,0,0,0,16.4,53.55,4980.0,1,4,2,2,0,0,15,3,3,1,0,1,0,0,0
台北市大同區重慶北路三段,0,0,0,0,0,0,0,1,0,0,0,0,0.6,29.26,3500.0,1,2,2,2,0,0,15,2,2,1,0,1,0,0,0
台北市大同區承德路三段,0,0,0,0,0,0,0,1,0,0,0,0,15.5,101.45,8860.0,3,3,2,2,0,0,15,11,11,1,0,1,0,0,0
台北市大同區長安西路,0,0,0,0,0,0,0,1,0,0,0,0,58.0,14.25,1680.0,0,2,1,1,0,0,4,4,4,1,1,0,0,0,0
台北市大同區民族西路,0,0,0,0,0,0,0,1,0,0,0,0,3.5,45.73,3988.0,1,3,2,2,0,0,7,5,5,1,0,0,0,1,0
