區域,建案名稱,地址,類型,車位,價格_元,單價_元,總坪數_坪,實際坪數_坪,屋齡_年,房,廳,衛,所在樓層,總樓層
大同區,中山捷運邊間美宅,台北市大同區寧夏路,住宅大樓,0,14800000,824972.13,17.94,11.02,29.4,1,1,1,7,14
大同區,全新雙星三房車位,台北市大同區延平北路二段,住宅大樓,1,39800000,1034572.39,38.47,22.73,2.3,3,2,2,7,12
大同區,慶圓山三代同堂宅,台北市大同區酒泉街,華廈,1,49880000,579124.58,86.13,49.71,14.7,6,3,3,2,7
大同區,理想捷運兩房美妝,台北市大同區南京西路,住宅大樓,0,16880000,843578.21,20.01,15.72,47.3,2,2,1,9,14
大同區,大同馬路雙併電梯,台北市大同區重慶北路二段,辦公商業大樓,0,24680000,694624.26,35.53,27.31,42.5,0,2,1,2,12
大同區,民權捷運挑高美宅,台北市大同區民權西路,住宅大樓,0,14800000,1215106.73,12.18,7.91,17.7,1,1,1,6,14
大同區,一樓裝潢捷運2房,台北市大同區民族西路,公寓,0,18980000,1024284.94,18.53,18.53,58.5,2,1,1,1,4
大同區,露臺樓中樓真好,台北市大同區大龍街,華廈,0,34900000,574296.53,60.77,48.97,31.0,3,2,2,6,6
大同區,承德路醒目辦公,台北市大同區承德路三段,辦公商業大樓,1,39980000,810131.71,49.35,30.49,18.4,3,1,1,2,12
大同區,哈密三房邊間美寓,台北市大同區哈密街,公寓,0,18880000,488865.87,38.62,34.12,43.0,3,2,2,4,5
大同區,捷運電梯富貴三室,台北市大同區歸綏街,辦公商業大樓,0,19880000,742622.34,26.77,22.52,37.8,3,2,2,2,10
大同區,正民生西可辦,台北市大同區民生西路,辦公商業大樓,1,39800000,951697.75,41.82,24.81,8.1,0,2,1,2,12
大同區,迪化邊間採光鼎佳,台北市大同區迪化街二段,公寓,0,13980000,741644.56,18.85,18.85,51.1,3,2,2,4,4
大同區,低總價迪化頂加,台北市大同區迪化街二段,公寓,0,12880000,729745.04,17.65,17.65,55.8,3,2,1,4,4
大同區,三面採光正面雙星,台北市大同區延平北路一段,辦公商業大樓,0,25880000,552755.23,46.82,39.11,47.8,3,2,2,7,11
大同區,大稻埕馬稀有釋出,台北市大同區環河北路一段,店面,0,22880000,648709.95,35.27,31.03,47.7,0,2,1,2,7
大同區,捷運低總金一樓強,台北市大同區涼州街,公寓,0,15980000,940000.0,17.0,17.0,51.6,0,1,1,1,4
大同區,捷運空間寬闊一樓,台北市大同區民權西路,店面,0,27880000,849740.93,32.81,32.81,45.4,3,2,3,1,5
大同區,雙捷運田明高樓層,台北市大同區民權西路,辦公商業大樓,0,12800000,801502.82,15.97,9.88,35.9,1,1,1,16,18
大同區,大稻埕大空間,台北市大同區民生西路,公寓,0,17500000,769907.61,22.73,22.73,55.6,3,3,1,4,4
大同區,雙子星大面寬金店,台北市大同區長安西路,店面,0,47600000,1479639.42,32.17,32.17,51.7,0,1,1,-1,5
大同區,至善園稀有美邸,台北市大同區延平北路一段,辦公商業大樓,1,55800000,1014545.45,55.0,36.35,22.4,4,2,2,7,14
大同區,環河兩房電梯強,台北市大同區環河北路一段,華廈,0,26880000,750628.32,35.81,29.7,31.9,2,2,1,7,7
大同區,延三角窗連鎖金店,台北市大同區延平北路三段,公寓,0,39800000,1661795.41,23.95,23.95,57.8,0,1,1,1,4
大同區,連鎖出租金店面,台北市大同區重慶北路二段,住宅大樓,0,23980000,1200200.2,19.98,17.26,43.0,1,1,0,1,12
大同區,馬年開市發財鋪,台北市大同區南京西路,店面,0,84000000,4071740.18,20.63,14.3,19.5,0,1,1,1,7
大同區,品嘉進捷運兩房,台北市大同區,住宅大樓,1,32880000,961684.7,34.19,19.07,35.95,2,2,2,3,13
大同區,皇翔四房大戶,台北市大同區承德路三段,住宅大樓,1,112000000,1204948.9,92.95,56.63,13.4,4,2,3,11,12
大同區,未來雙星捷運小品,台北市大同區延平北路一段,辦公商業大樓,0,4680000,632432.43,7.4,5.48,45.0,1,1,1,9,11
大同區,捷運美妝陽台小品,台北市大同區延平北路一段,辦公商業大樓,0,7250000,937904.27,7.73,5.88,45.0,1,1,1,8,11
大同區,獨家京站挑高美屋,台北市大同區市民大道一段,辦公商業大樓,1,9800000,491228.07,19.95,10.23,16.6,1,1,1,11,18
大同區,高樓美景真好三房,台北市大同區敦煌路,住宅大樓,1,37980000,770072.99,49.32,25.39,16.4,3,2,2,12,15
大同區,京站北車高樓小品,台北市大同區市民大道一段,住宅大樓,0,6380000,517017.83,12.34,8.54,16.6,1,1,1,16,18
大同區,稀有捷運裝潢美居,台北市大同區重慶北路三段,住宅大樓,1,41880000,968323.7,43.25,22.03,5.0,2,1,2,5,13
大同區,雙子星透天美裝潢,台北市大同區延平北路二段,透天厝,0,85000000,1314365.24,64.67,64.67,66.6,2,5,6,5,5
大同區,拎包入住哈密三房,台北市大同區哈密街,公寓,0,18500000,723221.27,25.58,25.58,45.1,3,2,2,4,5
大同區,文化京都面寬店面,台北市大同區平陽街,店面,0,72880000,1277252.02,57.06,30.8,24.0,2,1,1,1,19
大同區,時尚高樓兩房美妝,台北市大同區五原路,住宅大樓,1,27880000,910516.0,30.62,15.26,16.2,2,2,1,9,14
大同區,時尚店面稀有釋出,台北市大同區五原路,店面,0,39880000,1105321.51,36.08,24.22,16.2,1,1,1,1,14
大同區,文化京都邊間一樓,台北市大同區太原路,住宅大樓,1,35700000,677162.37,52.72,26.99,24.0,1,1,1,1,19
大同區,中山樹海景觀大宅,台北市大同區太原路,華廈,0,49680000,855813.95,58.05,45.3,29.4,3,2,3,7,9
