區域,地址,價格,類型,屋齡,總坪數,實際坪數,樓層,規格,車位,緯度,經度
中山區,台北市中山區朱崙街,22588,住宅大樓,14.9年,建坪198.88,主+陽89.16,5/14樓,5房(室)2廳4.5衛,4,25.0497090244205,121.543217971164
中山區,台北市中山區北安路,2988,公寓,39.4年,建坪35.19,主+陽31.64,2/5樓,3房(室)2廳2衛,0,25.0838689183454,121.549117225926
中山區,台北市中山區林森北路,1258,華廈,34.1年,建坪10.30,主+陽+露8.04,5/5樓,1房(室)1廳1衛(含加蓋--房(室)1廳--衛),1,25.050080817,121.526426204
中山區,台北市中山區通北街,2998,華廈,31.5年,建坪45.34,主+陽34.93,6/9樓,3房(室)2廳2衛,1,25.0827795843,121.539235693
中山區,台北市中山區長安東路二段,998,套房,53.7年,建坪10.66,主9.51,9/9樓,--房(室)1廳1衛,0,25.0482354335,121.539366312
中山區,台北市中山區中山北路一段,4480,住宅大樓,18.0年,建坪52.61,主+陽26.53,3/15樓,3房(室)2廳2衛,1,25.0498231,121.5242672
中山區,台北市中山區伊通街,3250,華廈,7.9年,建坪31.42,主+陽11.67,8/9樓,2房(室)1廳1衛(含加蓋1房(室)--廳--衛),1,25.0480033487,121.534796096
中山區,台北市中山區吉林路,3780,華廈,40.0年,建坪58.15,主+陽56.14,5/7樓,4房(室)2廳2衛,0,25.0670085877,121.532551862
中山區,台北市中山區農安街,999,華廈,49.7年,建坪11.74,主10.07,6/10樓,1房(室)1廳1衛,0,25.0649807864,121.526606321
中山區,台北市中山區松江路,2688,公寓,53.5年,建坪31.72,主+陽31.72,2/5樓,1房(室)2廳1衛,1,25.0471608576,121.533510775
中山區,台北市中山區遼寧街,2998,住宅大樓,39.8年,建坪29.64,主+陽23.23,4/15樓,3房(室)2廳1衛,1,25.0554405486,121.542284416
中山區,台北市中山區天祥路,2230,住宅大樓,9.5年,建坪20.28,主+陽10.56,7/12樓,1房(室)2廳1衛,0,25.0608916373209,121.520961364427
中山區,台北市中山區復興南路一段,1780,住宅大樓,44.4年,建坪15.57,主+陽12.65,12/12樓,1房(室)1廳1衛,1,25.0453046411,121.543693414
中山區,台北市中山區林森北路,1080,華廈,39.3年,建坪13.39,主+陽10.95,5/7樓,--房(室)1廳1衛,0,25.049796892,121.526992302
中山區,台北市中山區建國北路二段,6380,住宅大樓,1.6年,建坪51.73,主+陽29.65,13/13樓,3房(室)2廳2衛,1,25.0545892212496,121.536443842328
中山區,台北市中山區新生北路二段,1499,住宅大樓,28.3年,建坪17.03,主+陽10.54,12/12樓,2房(室)1廳1衛,1,25.0567471214,121.527224196
中山區,台北市中山區錦州街,898,套房,29.1年,建坪9.58,主+陽6.15,9/11樓,1房(室)1廳1衛(含加蓋1房(室)--廳--衛),0,25.0595155021,121.524666248
中山區,台北市中山區中山北路一段,1550,住宅大樓,16.9年,建坪15.35,主7.44,6/13樓,1房(室)1廳1衛,1,25.0491865454,121.521016023
中山區,台北市中山區吉林路,3250,華廈,40.0年,建坪40.94,主+陽38.93,4/7樓,3房(室)2廳2衛,0,25.0670332032,121.532417282
中山區,台北市中山區新生北路三段,968,住宅大樓,45.1年,建坪11.44,主8.02,11/14樓,1房(室)1廳1衛,0,25.063011837,121.527997336
