區域,建案名稱,地址,價格,類型,屋齡,總坪數,實際坪數,樓層,規格,車位
中正區,城中特區高樓露台,台北市中正區衡陽路,4980 萬 (含車位價),住宅大樓,7.7年,建坪39.25,主+陽21.88,15/15樓,3房(室)2廳2衛,1
中正區,溫馨小品捷運首選,台北市中正區羅斯福路一段,1535 萬,住宅大樓,43.2年,建坪13.21,主9.69,6/12樓,--房(室)1廳1衛,0
中正區,雍居仁愛14A1,台北市中正區杭州南路一段,19998 萬 (含車位價),住宅大樓,2.9年,建坪128.42,主+陽56.62,14/20樓,3房(室)2廳3衛,1
中正區,宏燁文華A戶2F,台北市中正區,1728 萬,華廈,--年,建坪12.51,主+陽7.14,2/9樓,1房(室)--廳1衛,0
中正區,中正杭南面寬壹樓,台北市中正區杭州南路一段,4308 萬,店面,35.3年,建坪--,無資料,B1~1/5樓,3房(室)1廳2衛(含加蓋2房(室)--廳2衛),0
中正區,紀念堂坡平豪邸,台北市中正區金華街,12888 萬 (含車位價),住宅大樓,19.6年,建坪95.40,主+陽54.25,4/13樓,4房(室)3廳3衛(含加蓋--房(室)1廳--衛),1
中正區,自由之丘兩房車位,台北市中正區忠孝東路一段,3380 萬 (含車位價),住宅大樓,19.4年,建坪36.38,主+陽17.54,7/13樓,2房(室)2廳1衛(含加蓋1房(室)--廳--衛),1
中正區,東門中正電梯五房,台北市中正區信義路二段,6136 萬,住宅大樓,44.7年,建坪53.36,主+陽45.01,8/12樓,5房(室)2廳3衛,0
中正區,同安拾光露台寓所,台北市中正區同安街,2108 萬 (含車位價),華廈,29.1年,建坪28.46,主+陽+露16.68,6/7樓,2房(室)1廳1衛(含加蓋1房(室)--廳--衛),1
中正區,古亭捷運紀州樂章,台北市中正區同安街,2488 萬,華廈,0.8年,建坪22.38,主+陽13.88,1/9樓,1房(室)1廳1.5衛,0
中正區,永年捷運京華辦公,台北市中正區南昌路二段,5988 萬 (含車位價),辦公商業大樓,31.6年,建坪80.05,主+陽48.03,4/11樓,2房(室)2廳2衛,1
中正區,台大電梯三房坡車,台北市中正區思源街,5000 萬 (含車位價),住宅大樓,25.4年,建坪51.42,主+陽29.61,3/12樓,3房(室)2廳2衛,1
