區域,建案名稱,地址,價格,類型,屋齡,總坪數,實際坪數,樓層,規格,車位
信義區,永吉黃金低總美寓,台北市信義區永吉路,2160 萬,公寓,55.6年,建坪21.60,主21.60,3/4樓,3房(室)2廳1衛,0
信義區,春天首席永春小宅,台北市信義區忠孝東路五段,1700 萬,套房,26.4年,建坪12.56,主+陽9.02,2/5樓,1房(室)1廳1衛,0
信義區,近永春樓中樓美屋,台北市信義區永吉路,2988 萬,公寓,36.2年,建坪43.22,主+陽35.97,4~5/5樓,6房(室)4廳2.5衛(含加蓋4房(室)2廳1衛),0
信義區,海華稀有電梯頂加,台北市信義區忠孝東路五段,3900 萬,華廈,41.2年,建坪35.13,主+陽31.95,7/7樓,5房(室)3廳3衛(含加蓋2房(室)1廳1衛),0
信義區,四四東村,台北市信義區吳興街,3980 萬,住宅大樓,24.5年,建坪40.87,主+陽26.19,6/13樓,3房(室)2廳2衛,0
信義區,低總五分埔,台北市信義區永吉路,1680 萬,透天厝,32.2年,建坪4.67,主4.67,1~3/3樓,2房(室)2廳1衛(含加蓋1房(室)--廳1衛),0
信義區,莎莎家堡美妝一樓,台北市信義區吳興街,2600 萬,華廈,34.6年,建坪33.00,主+平28.85,1/5樓,3房(室)2廳2衛,0
信義區,信義捷運優質一樓,台北市信義區和平東路三段,2980 萬,公寓,47.4年,建坪27.25,主+平27.25,1/5樓,4房(室)2廳2.5衛(含加蓋1房(室)1廳--衛),0
信義區,廣慈公園捷運美寓,台北市信義區林口街,2500 萬,公寓,53.0年,建坪28.34,主+陽28.35,4/4樓,3房(室)2廳1衛,0
信義區,信義採光黃金三樓,台北市信義區富陽街,2250 萬,公寓,50.0年,建坪31.01,主31.01,3/4樓,3房(室)2廳1衛,0
信義區,時尚經典美妝壹樓,台北市信義區富陽街,2388 萬,公寓,55.9年,建坪22.21,主22.21,1/4樓,3房(室)3廳2衛(含加蓋--房(室)1廳--衛),0
信義區,店長推薦花園鼎家,台北市信義區富陽街,2480 萬,公寓,44.6年,建坪33.38,主+陽33.38,5/5樓,5房(室)3廳3衛(含加蓋2房(室)1廳1衛),0
信義區,松德路大土地頂佳,台北市信義區松德路,2980 萬,公寓,40.6年,建坪39.97,主+陽35.34,5/5樓,6房(室)3廳3衛(含加蓋2房(室)1廳1衛),0
信義區,世貿邊間電梯三房,台北市信義區吳興街,2498 萬,華廈,43.3年,建坪32.04,主+陽+露27.90,6/7樓,3房(室)2廳2衛(含加蓋--房(室)1廳--衛),0
信義區,市府站美屋富裔館,台北市信義區忠孝東路五段,2170 萬,華廈,16.5年,建坪15.28,主+陽8.24,3/7樓,1房(室)1廳1衛,0
信義區,高第邊間景帝王戶,台北市信義區永吉路,4900 萬 (含車位價),住宅大樓,18.7年,建坪63.65,主+陽28.94,14/14樓,2房(室)2廳2衛,1
信義區,文普捷運帷幕辦公,台北市信義區基隆路二段,3199 萬,辦公商業大樓,29.0年,建坪33.65,主23.39,5/21樓,--房(室)1廳--衛,0
信義區,永春低總小資頂佳,台北市信義區永吉路,1980 萬,公寓,52.6年,建坪22.77,主22.77,4/4樓,8房(室)2廳3衛(含加蓋3房(室)1廳2衛),0
信義區,家美金融景觀美辦,台北市信義區忠孝東路五段,6388 萬 (含車位價),辦公商業大樓,32.5年,建坪72.08,主+陽45.38,15/27樓,6房(室)1廳1衛,1
信義區,國際名紳採光露臺,台北市信義區松德路,6288 萬,住宅大樓,31.4年,建坪83.46,主+陽+露75.45,3/24樓,4房(室)2廳2衛,0
信義區,公園旁大空間一樓,台北市信義區吳興街,2398 萬,公寓,44.3年,建坪39.51,主+平31.35,1/5樓,3房(室)2廳2衛,0
信義區,國際名紳邊間坡車,台北市信義區松德路,5158 萬 (含車位價),住宅大樓,31.3年,建坪51.97,主+陽33.54,2/24樓,2房(室)2廳2衛,1
信義區,東都三房景觀頂佳,台北市信義區松山路,4180 萬,住宅大樓,38.6年,建坪38.20,主+陽29.48,16/16樓,5房(室)3廳3衛(含加蓋2房(室)1廳1衛),0
信義區,面101綠景大苑,台北市信義區祥雲街,2580 萬,公寓,44.7年,建坪39.93,主+陽36.56,5/5樓,3房(室)2廳2衛(含加蓋1房(室)--廳1衛),0
信義區,廣慈永春低總一樓,台北市信義區松山路,2488 萬,公寓,53.3年,建坪21.51,主+平21.52,1/4樓,3房(室)2廳2衛(含加蓋--房(室)--廳1衛),0
信義區,簡約現代經典兩房,台北市信義區崇德街,3100 萬,華廈,37.3年,建坪38.92,主+陽33.02,7/7樓,2房(室)2廳1衛,0
信義區,面綠蔭優質美寓,台北市信義區富陽街,1838 萬,公寓,55.9年,建坪26.31,主+陽26.31,4/4樓,2房(室)2廳1衛,0
信義區,世貿邊間美妝三房,台北市信義區吳興街,2268 萬,公寓,49.7年,建坪25.24,主25.24,2/4樓,3房(室)2廳2衛,0
信義區,馬可波羅面林蔭,台北市信義區松德路,9680 萬 (含車位價),住宅大樓,34.9年,建坪92.40,主+陽+露68.52,2/13樓,5房(室)2廳3衛(含加蓋2房(室)--廳1衛),1
信義區,正面國小景觀頂佳,台北市信義區福德街,2380 萬,公寓,42.0年,建坪29.92,主+陽26.52,5/5樓,5房(室)2廳2.5衛(含加蓋3房(室)--廳1衛),0
信義區,松山雙鐵公寓三房,台北市信義區松山路,2498 萬,公寓,41.3年,建坪32.33,主+陽28.59,4/5樓,3房(室)2廳2衛,0
信義區,永春捷運電梯三房,台北市信義區松山路,2850 萬,住宅大樓,40.6年,建坪35.72,主+陽28.02,2/14樓,2房(室)2廳2衛,0
信義區,莊敬林蔭三樓美寓,台北市信義區莊敬路,2260 萬,公寓,51.6年,建坪26.82,主26.82,3/4樓,3房(室)1廳1.5衛,0
信義區,清幽鼎佳大空間,台北市信義區松山路,1398 萬,公寓,49.0年,建坪29.11,主+陽17.65,4/4樓,4房(室)3廳2衛(含加蓋2房(室)1廳1衛),0
信義區,正面公園美妝二樓,台北市信義區松德路,2485 萬,公寓,47.6年,建坪29.64,主+陽29.64,2/5樓,3房(室)2廳1.5衛,0
信義區,101景觀樓中樓,台北市信義區松仁路,10808 萬,住宅大樓,33.8年,建坪95.54,主+陽+露81.66,9~10/12樓,5房(室)3廳5衛(含加蓋--房(室)1廳--衛),0
信義區,香榭高樓美山景,台北市信義區信義路五段,1750 萬,住宅大樓,19.1年,建坪14.80,主+陽9.25,14/19樓,1房(室)1廳1衛,0
信義區,莊敬松仁連鎖金店,台北市信義區莊敬路,3488 萬,店面,49.5年,建坪17.90,主15.02,1/7樓,--房(室)1廳--衛,0
信義區,捷運低總黑土屋,台北市信義區忠孝東路五段,1688 萬,公寓,52.3年,建坪21.62,主21.62,4/4樓,3房(室)2廳1衛,0
信義區,市府正大馬路金店,台北市信義區基隆路一段,4500 萬,店面,47.8年,建坪31.12,主29.65,1/12樓,--房(室)1廳2衛,0
信義區,北醫美妝三房公寓,台北市信義區吳興街,2188 萬,公寓,41.2年,建坪31.06,主+陽28.35,4/5樓,3房(室)2廳3衛,0
信義區,市政府邊間三房,台北市信義區永吉路,2588 萬,公寓,49.2年,建坪29.60,主29.60,3/4樓,3房(室)2廳1.5衛,0
信義區,近廣慈稀有頂家,台北市信義區信義路六段,1988 萬,公寓,54.0年,建坪19.69,主19.69,4/4樓,5房(室)2廳2衛(含加蓋3房(室)1廳1衛),0
信義區,A5宏築後棟雙車,台北市信義區,5600 萬 (含車位價),住宅大樓,--年,建坪78.37,主+陽33.60,3/24樓,3房(室)2廳2衛,1
信義區,正大馬路面寬金店,台北市信義區永吉路,5800 萬,店面,40.7年,建坪47.93,主+平30.91,1/5樓,--房(室)2廳1衛,0
信義區,近未來捷運大四房,台北市信義區松仁路,2880 萬,公寓,41.3年,建坪39.06,主+陽37.93,4/5樓,4房(室)2廳2衛,0
信義區,捷運丰藝精裝豪宅,台北市信義區福德街,13506 萬 (含車位價),住宅大樓,13.9年,建坪121.54,主+陽48.82,5/13樓,3房(室)2廳2衛,1
信義區,信義獨棟庭園別墅,台北市信義區松平路,19888 萬 (含車位價),透天厝,25.4年,建坪118.39,主+陽81.41,1~4/10樓,4房(室)3廳4衛(含加蓋--房(室)--廳2衛),1
信義區,捷運氣派邊間辦公,台北市信義區基隆路二段,6588 萬 (含車位價),辦公商業大樓,29.1年,建坪66.68,主+陽37.74,5/21樓,1房(室)1廳1衛,1
信義區,忠孝天廈高樓辦公,台北市信義區忠孝東路五段,9188 萬 (含車位價),辦公商業大樓,29.1年,建坪105.46,主54.40,14/18樓,3房(室)1廳2衛,1
信義區,丰藝獨層大戶豪宅,台北市信義區福德街,11706 萬 (含車位價),住宅大樓,13.9年,建坪117.28,主+陽48.82,4/13樓,--房(室)2廳--衛,1
信義區,世貿101辦公,台北市信義區信義路五段,7150 萬 (含車位價),辦公商業大樓,30.3年,建坪94.53,主+陽47.26,8/22樓,5房(室)2廳--衛(含加蓋3房(室)--廳--衛),1
信義區,忠孝天廈高樓景觀,台北市信義區忠孝東路五段,6480 萬 (含車位價),辦公商業大樓,29.1年,建坪69.28,主+陽39.41,14/18樓,4房(室)2廳3衛,1
信義區,市府面寬庭院住店,台北市信義區松隆路,5680 萬,華廈,42.5年,建坪47.16,主+平42.98,1/7樓,4房(室)2廳2衛(含加蓋--房(室)1廳--衛),0
信義區,和暘信邑四房豪邸,台北市信義區永吉路,7460 萬,住宅大樓,8.2年,建坪62.27,主+陽39.18,3/14樓,4房(室)2廳2衛,0
信義區,虎林國泰護膝二樓,台北市信義區虎林街,2588 萬,公寓,56.9年,建坪30.73,主+陽30.73,2/4樓,3房(室)2廳2衛,0
信義區,捷運邊間方正美寓,台北市信義區松山路,2760 萬,公寓,54.2年,建坪31.40,主31.40,4/4樓,2房(室)2廳2衛,0
信義區,世貿邊間房公寓,台北市信義區吳興街,2568 萬,公寓,49.4年,建坪28.96,主28.96,4/4樓,3房(室)2廳1衛,0
信義區,凱廈鋼骨邊間豪邸,台北市信義區松德路,6188 萬 (含車位價),住宅大樓,31.4年,建坪59.99,主+陽38.56,7/23樓,4房(室)2廳2衛,1
信義區,面忠孝東路春秋,台北市信義區忠孝東路五段,4380 萬,住宅大樓,42.7年,建坪42.58,主+陽37.22,14/14樓,2房(室)2廳2衛,0
信義區,市府公寓大頂佳,台北市信義區永吉路,2688 萬,公寓,47.2年,建坪28.97,主+陽28.97,5/5樓,5房(室)3廳2衛(含加蓋3房(室)1廳1衛),0
信義區,中庭花園挑高一樓,台北市信義區吳興街,2880 萬,住宅大樓,33.6年,建坪45.54,主+平39.78,1/11樓,5房(室)2廳2衛,0
信義區,信義香榭典雅兩房,台北市信義區信義路五段,3180 萬 (含車位價),住宅大樓,19.2年,建坪32.59,主+陽16.96,10/19樓,2房(室)1廳1衛,1
信義區,正面公園美裝車位,台北市信義區永吉路,3680 萬 (含車位價),住宅大樓,15.8年,建坪31.69,主+陽16.48,4/12樓,4房(室)2廳2衛(含加蓋2房(室)--廳1衛),1
信義區,海華電梯高樓坡車,台北市信義區忠孝東路五段,4280 萬 (含車位價),華廈,41.2年,建坪48.04,主+陽31.95,7/7樓,5房(室)3廳3衛(含加蓋2房(室)1廳1衛),1
信義區,信義富陽邊間大戶,台北市信義區富陽街,2058 萬,公寓,50.1年,建坪31.66,主31.66,4/4樓,6房(室)3廳3衛(含加蓋3房(室)1廳1衛),0
信義區,帛詩華出價就談,台北市信義區基隆路二段,3450 萬 (含車位價),住宅大樓,11.4年,建坪32.71,主+陽19.72,2/15樓,1房(室)1廳1衛,1
信義區,世貿小資首選頂佳,台北市信義區吳興街,1380 萬,公寓,47.7年,建坪19.21,主+陽19.21,5/5樓,2房(室)2廳1衛,0
信義區,法拉利景觀小豪邸,台北市信義區和平東路三段,1750 萬,住宅大樓,18.1年,建坪13.65,主+陽8.93,11/14樓,1房(室)1廳1衛(含加蓋1房(室)--廳--衛),0
信義區,正面公園馬可4房,台北市信義區松德路,9100 萬 (含車位價),住宅大樓,35.0年,建坪90.58,主+陽54.98,4/12樓,4房(室)2廳3衛,1
信義區,信松廣場三房平車,台北市信義區松隆路,6680 萬 (含車位價),住宅大樓,1.2年,建坪50.80,主+陽25.89,9/22樓,3房(室)2廳2衛,1
信義區,市府京華高樓商辦,台北市信義區基隆路一段,8528 萬 (含車位價),辦公商業大樓,18.5年,建坪111.80,主50.04,9/12樓,3房(室)2廳2衛(含加蓋1房(室)--廳--衛),1
信義區,市府春秋捷運好宅,台北市信義區忠孝東路五段,4980 萬,辦公商業大樓,42.7年,建坪45.90,主+陽40.25,2/14樓,4房(室)1廳2衛,0
信義區,太子東都四房釋出,台北市信義區松山路,3868 萬,住宅大樓,38.7年,建坪43.65,主+陽33.60,2/16樓,4房(室)2廳2衛,0
