區域,地址,價格,類型,屋齡,總坪數,實際坪數,樓層,規格,車位,緯度,經度
內湖區,台北市內湖區文湖街,2600,華廈,8.2年,建坪31.79,主+陽15.85,7/10樓,1房(室)1廳1衛(含加蓋--房(室)--廳1衛),1,25.0912272238316,121.558915533189
內湖區,台北市內湖區內湖路三段,1880,公寓,49.3年,建坪33.53,主33.53,3/4樓,4房(室)3廳2衛(含加蓋--房(室)1廳--衛),0,25.086660051,121.590661946
內湖區,台北市內湖區金湖路,4388,透天厝,27.5年,建坪56.27,主+陽51.57,1~4/4樓,5房(室)2廳3衛,1,25.0731067478,121.598482615
內湖區,台北市內湖區內湖路三段,6999,住宅大樓,8.9年,建坪78.11,主+陽37.11,15/19樓,3房(室)2廳2衛,2,25.0884043700847,121.593091602586
內湖區,台北市內湖區內湖路一段,4860,住宅大樓,32.0年,建坪62.74,主+陽43.25,3/12樓,4房(室)2廳2衛,1,25.0823912126,121.571039261
內湖區,台北市內湖區文湖街,3300,華廈,8.2年,建坪30.98,主+陽16.69,1/10樓,--房(室)1廳1衛,1,25.0908156162,121.559180332
內湖區,台北市內湖區康樂街,1680,華廈,31.7年,建坪27.53,主+陽+露25.07,5/5樓,2房(室)2廳1衛(含加蓋1房(室)1廳--衛),0,25.069147233,121.619399068
內湖區,台北市內湖區內湖路二段,4680,住宅大樓,9.8年,建坪44.89,主+陽29.74,6/13樓,3房(室)2廳2衛,1,25.0821621332,121.590371895
內湖區,台北市內湖區文湖街,3280,華廈,32.2年,建坪43.44,主+陽28.82,7/9樓,3房(室)2廳2衛,1,25.0888570191,121.560753597
內湖區,台北市內湖區環山路一段,1880,公寓,46.1年,建坪28.38,主+陽28.39,4/4樓,3房(室)2廳2衛(含加蓋1房(室)--廳1衛),0,25.0875115346,121.568664124
內湖區,台北市內湖區成功路二段,1688,公寓,45.4年,建坪31.17,主+陽31.17,5/5樓,4房(室)3廳3衛(含加蓋1房(室)1廳1衛),0,25.0734897913,121.589428704
內湖區,台北市內湖區民權東路六段,2080,公寓,40.3年,建坪30.97,主+陽28.51,5/5樓,5房(室)4廳4衛(含加蓋2房(室)2廳2衛),0,25.0665780486,121.588022761
內湖區,台北市內湖區內湖路二段,9000,住宅大樓,10.3年,建坪75.63,主+陽44.26,7/15樓,4房(室)2廳2衛,1,25.0815748915,121.581287488
內湖區,台北市內湖區瑞光路,11000,透天厝,18.2年,建坪163.02,主+陽116.96,B1~4/4樓,7房(室)2廳7衛(含加蓋2房(室)--廳1衛),3,25.072832,121.580043
內湖區,台北市內湖區民權東路六段,4280,華廈,20.7年,建坪46.86,主+陽30.55,5/10樓,3房(室)2廳2衛,1,25.0679916877,121.602067935
內湖區,台北市內湖區星雲街,3988,公寓,37.7年,建坪70.39,主+陽+露54.03,4~5/5樓,3房(室)3廳3衛,1,25.0792072920677,121.591248110686
內湖區,台北市內湖區文德路,2988,華廈,19.9年,建坪31.92,主+陽20.28,9/10樓,2房(室)1廳1衛,1,25.0791527277153,121.588969707341
內湖區,台北市內湖區成功路三段,1998,公寓,45.3年,建坪36.50,主+陽36.50,5/5樓,3房(室)2廳2衛,0,25.0792298,121.5918974
內湖區,台北市內湖區星雲街,3600,住宅大樓,26.8年,建坪49.02,主+陽34.27,4/12樓,3房(室)2廳2衛,1,25.0792547,121.5949085
內湖區,台北市內湖區文德路,2288,公寓,43.0年,建坪34.30,主+陽30.91,4/5樓,3房(室)2廳2衛,0,25.0770864002,121.584965102
內湖區,台北市內湖區新明路,2880,住宅大樓,6.8年,建坪33.69,主+陽13.37,18/20樓,2房(室)2廳1衛,1,25.0544893365,121.579281169
內湖區,台北市內湖區文湖街,9888,住宅大樓,10.3年,建坪148.21,主+陽80.56,2/11樓,6房(室)2廳3衛,4,25.0909353753,121.559549761
內湖區,台北市內湖區文湖街,1988,公寓,41.1年,建坪37.05,主+陽34.30,4/4樓,3房(室)2廳2衛,0,25.0908712879,121.559719533
內湖區,台北市內湖區環山路三段,2480,公寓,45.1年,建坪35.86,主+平32.04,1/5樓,3房(室)2廳2衛,1,25.085367,121.5790943
內湖區,台北市內湖區內湖路二段,2888,住宅大樓,42.9年,建坪45.73,主+陽38.31,13~14/14樓,3房(室)2廳2衛,1,25.084446253141,121.58131479259
內湖區,台北市內湖區內湖路一段,2500,公寓,38.4年,建坪41.55,主+陽36.56,4/5樓,4房(室)2廳2衛,0,25.0871749695206,121.559102602551
內湖區,台北市內湖區瑞光路,6880,廠辦,27.6年,建坪105.56,主66.53,3/10樓,5房(室)1廳--衛,2,25.0782417951,121.571219987
內湖區,台北市內湖區康寧路三段,3488,公寓,36.1年,建坪66.72,主+陽53.93,4~5/5樓,4房(室)3廳2衛,1,25.0689205,121.6117064
內湖區,台北市內湖區安泰街,1280,公寓,45.4年,建坪29.39,主+陽29.40,4/5樓,3房(室)2廳1衛,0,25.0747387336,121.616726425
內湖區,台北市內湖區康寧路三段,3650,華廈,35.3年,建坪70.79,主+平52.44,B1~1/7樓,2房(室)3廳5衛(含加蓋1房(室)2廳3衛),1,25.0668979,121.6072923
內湖區,台北市內湖區文湖街,1880,公寓,45.3年,建坪30.06,主+平30.06,1/4樓,3房(室)2廳1衛,0,25.0910489505538,121.561231768406
內湖區,台北市內湖區文湖街,2880,華廈,22.7年,建坪39.60,主+陽25.25,6/8樓,3房(室)2廳2衛,1,25.0908316879985,121.560188596466
內湖區,台北市內湖區成功路五段,9288,住宅大樓,25.0年,建坪112.48,主+陽67.07,13~14/14樓,5房(室)3廳2.5衛(含加蓋--房(室)1廳--衛),2,25.0743181514065,121.607271163229
內湖區,台北市內湖區成功路四段,4950,透天厝,39.5年,建坪99.14,主+陽+露64.91,B2~4/4樓,6房(室)4廳4衛(含加蓋--房(室)1廳--衛),1,25.0866871465044,121.597983704894
內湖區,台北市內湖區內湖路一段,1856,公寓,47.7年,建坪27.08,主+陽27.08,5/5樓,4房(室)3廳2衛(含加蓋1房(室)1廳1衛),0,25.0815756178,121.572039579
內湖區,台北市內湖區成功路二段,8300,住宅大樓,10.3年,建坪103.60,主+陽67.70,9/14樓,3房(室)2廳3衛,1,25.0701924,121.5914582
內湖區,台北市內湖區康寧路三段,3650,華廈,35.3年,建坪70.79,主+平52.44,B1~1/7樓,2房(室)3廳5衛(含加蓋1房(室)2廳3衛),1,25.0668849,121.6072918
內湖區,台北市內湖區金龍路,2180,住宅大樓,33.6年,建坪29.73,主+陽16.71,4/12樓,2房(室)2廳2衛(含加蓋--房(室)--廳1衛),1,25.0887186188,121.586976991
內湖區,台北市內湖區內湖路三段,1688,公寓,45.3年,建坪36.66,主+陽36.66,4/5樓,4房(室)2廳2衛,0,25.0882314529,121.584266771
內湖區,台北市內湖區文德路,2380,公寓,46.6年,建坪32.10,主+陽32.10,4/5樓,3房(室)2廳2衛,0,25.0783268485,121.57971717
內湖區,台北市內湖區星雲街,1988,公寓,42.1年,建坪--,無資料,5/5樓,4房(室)3廳2衛(含加蓋1房(室)1廳1衛),0,25.0788361,121.5908188
內湖區,台北市內湖區金湖路,1698,華廈,26.8年,建坪14.65,主+陽10.75,10/10樓,1房(室)1廳1衛,1,25.0736173837,121.604521972
內湖區,台北市內湖區康樂街,4880,華廈,34.3年,建坪118.68,主+平75.68,B1~1/6樓,5房(室)2廳3衛(含加蓋2房(室)--廳2衛),1,25.0716372,121.6208446
內湖區,台北市內湖區星雲街,1650,公寓,42.9年,建坪28.44,主+陽24.89,5/5樓,3房(室)2廳1.5衛(含加蓋--房(室)--廳0.5衛),0,25.0789460858,121.59015515
內湖區,台北市內湖區民權東路六段,5490,華廈,15.6年,建坪60.90,主+陽36.54,6/10樓,3房(室)2廳2衛,1,25.0666240043495,121.600069207541
內湖區,台北市內湖區成功路五段,4500,住宅大樓,25.4年,建坪47.97,主+陽34.04,8~9/19樓,3房(室)2廳2.5衛(含加蓋1房(室)--廳--衛),1,25.0760858043048,121.607943009549
內湖區,台北市內湖區金龍路,1988,公寓,42.0年,建坪34.84,主+陽32.48,5/5樓,3房(室)2廳2衛,0,25.0848605041,121.593933574
內湖區,台北市內湖區內湖路三段,4388,住宅大樓,6.9年,建坪55.13,主+陽27.45,2/15樓,3房(室)2廳2衛,1,25.085600878,121.592535837
內湖區,台北市內湖區成功路四段,6680,住宅大樓,12.7年,建坪99.66,主+陽39.93,3/12樓,4房(室)2廳2衛(含加蓋1房(室)--廳--衛),3,25.0822481518,121.59274283
內湖區,台北市內湖區康樂街,2488,公寓,41.5年,建坪32.28,主25.38,1/5樓,4房(室)--廳2衛,0,25.0703469571,121.616735186
內湖區,台北市內湖區成功路五段,4998,住宅大樓,28.8年,建坪71.79,主+陽39.42,1/12樓,4房(室)2廳2衛,2,25.0745247107,121.607962212
內湖區,台北市內湖區內湖路二段,4580,住宅大樓,7.9年,建坪34.77,主+陽18.89,14/15樓,2房(室)2廳1衛,1,25.0832993860509,121.592206097824
內湖區,台北市內湖區內湖路一段,2100,公寓,42.9年,建坪34.31,主+陽32.14,5/5樓,8房(室)--廳8衛(含加蓋1房(室)--廳1衛),0,25.0850217,121.5688508
內湖區,台北市內湖區成功路二段,1828,公寓,48.5年,建坪31.15,主+陽31.16,3/4樓,3房(室)2廳1衛,0,25.0707131129,121.588586159
內湖區,台北市內湖區成功路四段,2888,住宅大樓,36.3年,建坪39.56,主+陽36.76,11/16樓,7房(室)--廳5衛,1,25.0821736,121.5920477
內湖區,台北市內湖區環山路一段,2300,公寓,46.4年,建坪28.38,主+陽28.38,4/4樓,6房(室)2廳5衛(含加蓋2房(室)2廳2衛),0,25.0860484876,121.568617295
內湖區,台北市內湖區民權東路六段,1168,華廈,31.2年,建坪11.97,主+陽8.34,3/7樓,1房(室)1廳1衛,1,25.0702747892,121.605921453
內湖區,台北市內湖區環山路一段,2480,公寓,44.2年,建坪32.21,主+平31.17,1/5樓,4房(室)2廳2衛(含加蓋1房(室)--廳--衛),1,25.0866994271,121.567771337
內湖區,台北市內湖區內湖路一段,1658,公寓,45.8年,建坪22.28,主+陽22.28,5/5樓,5房(室)--廳5衛,0,25.079420175,121.578163252
內湖區,台北市內湖區民權東路六段,2150,公寓,42.3年,建坪23.03,主+平21.53,1/5樓,3房(室)2廳2衛(含加蓋--房(室)--廳1衛),0,25.0698101682,121.587026984
內湖區,台北市內湖區內湖路一段,2380,華廈,29.6年,建坪19.57,主+陽16.63,6/7樓,2房(室)2廳1衛,1,25.0841599984,121.563591432
內湖區,台北市內湖區內湖路一段,1698,華廈,16.3年,建坪20.16,主+陽10.24,7/9樓,1房(室)1廳1衛,1,25.0849196235,121.571451889
內湖區,台北市內湖區康樂街,2080,公寓,41.0年,建坪29.77,主+陽27.15,4/5樓,3房(室)2廳2衛,0,25.0686412753,121.617106589
內湖區,台北市內湖區五分街,3498,住宅大樓,18.4年,建坪43.98,主+陽23.01,12/12樓,1房(室)2廳1衛,1,25.0669731556,121.616425958
內湖區,台北市內湖區東湖路,6800,住宅大樓,35.3年,建坪113.78,主+陽+露95.56,12~13/13樓,6房(室)3廳3衛(含加蓋1房(室)--廳--衛),1,25.0705516501,121.615205221
內湖區,台北市內湖區康寧路三段,3698,華廈,33.8年,建坪53.19,主+陽37.55,6/8樓,4房(室)2廳2衛,1,25.073932051,121.610210835
內湖區,台北市內湖區行善路,2980,華廈,27.9年,建坪38.31,主+陽25.36,8/8樓,3房(室)2廳2衛,1,25.0556267515,121.575603999
