區域,地址,價格,類型,屋齡,總坪數,實際坪數,樓層,規格,車位,緯度,經度
北投區,台北市北投區溫泉路,4980,華廈,18.3年,建坪85.01,主+陽41.12,1/7樓,3房(室)3廳5衛(含加蓋2房(室)1廳2衛),2,25.13466886,121.505803171
北投區,台北市北投區溫泉路,800,華廈,48.4年,建坪20.06,主+陽16.37,7/7樓,2房(室)2廳1衛,0,25.139976595,121.512071464
北投區,台北市北投區溫泉路,1218,華廈,30.7年,建坪17.57,主+陽12.98,3/7樓,1房(室)2廳1衛,0,25.1354753986,121.504342705
北投區,台北市北投區中央北路一段,3200,住宅大樓,11.5年,建坪39.12,主+陽22.66,3/12樓,3房(室)2廳2衛,1,25.1354343921,121.49838104
北投區,台北市北投區中和街,1400,華廈,30.7年,建坪30.44,主+平11.75,1~B1/10樓,3房(室)2廳1衛(含加蓋3房(室)--廳--衛),0,25.144086,121.4987944
北投區,台北市北投區行義路,1980,華廈,40.8年,建坪37.30,主+陽32.17,7/7樓,3房(室)2廳1衛(含加蓋1房(室)--廳--衛),1,25.1296592776,121.528316038
北投區,台北市北投區中央北路三段,1820,公寓,44.2年,建坪28.44,主+平28.44,1/4樓,4房(室)4廳2衛(含加蓋2房(室)2廳1衛),0,25.1395432,121.4854633
北投區,台北市北投區泉源路,5200,住宅大樓,22.3年,建坪93.27,主+陽58.50,11~12/12樓,5房(室)2廳3衛,1,25.1381946,121.5050677
北投區,台北市北投區中山北路七段,3288,華廈,41.2年,建坪64.01,主+陽50.50,6/7樓,3房(室)2廳2衛,1,25.1284750943,121.530859016
北投區,台北市北投區復興一路,4800,透天厝,71.9年,建坪29.65,主22.08,1/--樓,4房(室)2廳2衛(含加蓋1房(室)1廳2衛),0,25.1417475403406,121.503537291686
北投區,台北市北投區磺港路,4500,住宅大樓,0.7年,建坪53.58,主+陽30.67,2/15樓,2房(室)2廳2衛,1,25.131103405,121.503515812
北投區,台北市北投區石牌路二段,1800,公寓,47.6年,建坪34.32,主+陽34.32,4/5樓,4房(室)2廳2衛,1,25.122924,121.525293
