區域,地址,價格,類型,屋齡,總坪數,實際坪數,樓層,規格,車位,緯度,經度
南港區,台北市南港區松河街,2988,華廈,20.5年,建坪36.01,主+陽23.68,4/9樓,3房(室)2廳2衛,1,25.0589223805,121.595068078
南港區,台北市南港區園區街,3998,華廈,17.5年,建坪50.42,主+陽26.63,5/10樓,3房(室)2廳2衛(含加蓋1房(室)--廳--衛),1,25.0592916,121.6118777
南港區,台北市南港區福德街,1688,公寓,48.8年,建坪21.94,主+陽21.94,4/4樓,5房(室)3廳2衛(含加蓋2房(室)1廳1衛),0,25.0387051091,121.590036925
南港區,台北市南港區重陽路,2950,華廈,18.3年,建坪39.40,主+陽19.47,5/10樓,2房(室)2廳1衛,1,25.0587805617058,121.595326689383
南港區,台北市南港區福德街,2798,住宅大樓,27.8年,建坪38.86,主+陽23.72,13/18樓,3房(室)2廳1衛,1,25.038969674965,121.592980353313
南港區,台北市南港區福德街,2788,住宅大樓,27.8年,建坪40.16,主+陽24.27,5/16樓,3房(室)2廳1衛,1,25.0407590474316,121.591576964451
南港區,台北市南港區玉成街,2388,公寓,46.7年,建坪30.76,主+陽27.08,2/5樓,4房(室)2廳2衛,0,25.0449499033254,121.585525089523
南港區,台北市南港區向陽路,3098,華廈,17.4年,建坪41.56,主+陽20.26,6/9樓,1房(室)2廳1衛,1,25.0582033909537,121.596409895701
南港區,台北市南港區重陽路,1990,住宅大樓,4.1年,建坪22.21,主+陽9.63,10/14樓,1房(室)1廳1衛,1,25.0553246343946,121.59546626209
南港區,台北市南港區成福路,2798,公寓,41.1年,建坪60.04,主+平26.97,1/5樓,6房(室)2廳2衛(含加蓋3房(室)--廳2衛),0,25.041816,121.588681
南港區,台北市南港區舊莊街一段,2300,公寓,52.4年,建坪29.78,主29.78,1/4樓,5房(室)2廳2衛(含加蓋--房(室)1廳1衛),0,25.0408261199,121.618874571
南港區,台北市南港區研究院路二段,1460,公寓,40.3年,建坪30.00,主+陽26.88,4/5樓,3房(室)2廳2衛,0,25.0479595476,121.614191777
南港區,台北市南港區忠孝東路六段,2735,公寓,45.1年,建坪36.47,主+陽36.47,5/5樓,3房(室)2廳2衛(含加蓋--房(室)--廳1衛),0,25.0492438063,121.592002545
