區域,地址,價格,類型,屋齡,總坪數,實際坪數,樓層,規格,車位,緯度,經度
士林區,台北市士林區菁山路,1850,住宅大樓,26.3年,建坪39.68,主+陽24.65,2~3/11樓,3房(室)2廳2衛(含加蓋1房(室)--廳--衛),1,25.1396044313,121.551197943
士林區,台北市士林區中山北路五段,6872,住宅大樓,1.9年,建坪89.51,主+陽40.24,13/17樓,4房(室)2廳2衛,2,25.0989937858,121.526785488
士林區,台北市士林區中山北路五段,6568,住宅大樓,1.9年,建坪74.56,主+陽38.79,7/17樓,3房(室)2廳2衛,1,25.0990258599,121.526776156
士林區,台北市士林區中山北路五段,6488,住宅大樓,1.9年,建坪74.79,主+陽38.94,6/17樓,3房(室)2廳2衛,1,25.0990258599,121.526776156
士林區,台北市士林區天母東路,2880,公寓,47.3年,建坪58.72,主+陽58.72,5~6/4樓,4房(室)--廳2衛(含加蓋4房(室)--廳2衛),0,25.1203482405198,121.534695865607
士林區,台北市士林區重慶北路四段,1380,公寓,59.0年,建坪18.19,主18.19,1/2樓,2房(室)2廳1衛,0,25.0794988279,121.511539127
士林區,台北市士林區大東路,4380,公寓,54.7年,建坪47.73,主47.73,B1~1/4樓,5房(室)2廳2衛,0,25.0914471411159,121.526166165813
士林區,台北市士林區中山北路七段,12000,住宅大樓,11.6年,建坪114.39,主+陽58.48,3/12樓,3房(室)2廳4衛(含加蓋1房(室)--廳1衛),2,25.1224726362,121.532621088
士林區,台北市士林區中山北路六段,4990,住宅大樓,3.9年,建坪50.67,主+陽23.22,3/14樓,2房(室)2廳2衛,1,25.1084830078077,121.526132364418
士林區,台北市士林區忠誠路一段,10888,華廈,11.8年,建坪124.75,主+陽54.89,9~10/10樓,--房(室)3廳--衛,1,25.1083252,121.5317049
士林區,台北市士林區德行西路,2100,公寓,47.2年,建坪33.59,主+陽33.59,5/5樓,4房(室)2廳3衛(含加蓋1房(室)--廳1衛),0,25.1040389464,121.520723879
士林區,台北市士林區中山北路七段,4580,華廈,45.9年,建坪84.52,主+陽72.09,2/7樓,3房(室)2廳3衛,1,25.1231754423225,121.531965139881
士林區,台北市士林區克強路,4500,公寓,41.5年,建坪80.26,主+陽77.19,2/5樓,6房(室)3廳3衛,0,25.1091453401,121.523816318
士林區,台北市士林區莊頂路,7800,透天厝,49.1年,建坪149.91,主121.22,B2~1/2樓,7房(室)4廳3衛(含加蓋1房(室)1廳2衛),0,25.1127923228495,121.55465399759
士林區,台北市士林區中山北路七段,2088,華廈,42.9年,建坪40.16,主+陽31.80,2/7樓,3房(室)2廳2衛,1,25.122841621,121.535358345
士林區,台北市士林區中正路,5700,華廈,28.2年,建坪85.01,主+陽23.79,B1~1/5樓,5房(室)2廳3衛(含加蓋4房(室)--廳2衛),1,25.0967817274,121.529529699
士林區,台北市士林區士東路,2488,公寓,44.5年,建坪38.90,主+陽37.87,5/5樓,3房(室)2廳2衛,0,25.1109020062,121.528215679
士林區,台北市士林區天母東路,3880,華廈,48.5年,建坪49.22,主+平41.97,1/8樓,4房(室)2廳2衛(含加蓋1房(室)--廳--衛),1,25.1192439,121.533867
士林區,台北市士林區忠誠路二段,12666,住宅大樓,15.2年,建坪138.93,主+陽54.34,6/11樓,3房(室)2廳3衛(含加蓋--房(室)1廳--衛),4,25.1091104277,121.531068662
士林區,台北市士林區葫蘆街,1770,公寓,48.2年,建坪--,無資料,4/4樓,5房(室)2廳4衛(含加蓋2房(室)--廳2衛),0,25.0807263218,121.508847299
士林區,台北市士林區社中街,1790,公寓,42.7年,建坪30.29,主+陽27.49,5/5樓,3房(室)3廳1衛(含加蓋1房(室)1廳--衛),0,25.0910330641,121.506956389
士林區,台北市士林區華聲街,1880,公寓,46.6年,建坪23.01,主+平19.11,1/5樓,4房(室)2廳2衛,0,25.0959932137,121.521850267
士林區,台北市士林區至誠路一段,7850,透天厝,48.6年,建坪65.84,主+平+陽65.84,1~2/2樓,7房(室)3廳4衛,1,25.1013920034,121.531335337
士林區,台北市士林區德行東路,2188,公寓,43.2年,建坪45.50,主+陽41.40,5/5樓,4房(室)2廳2衛,0,25.1075955,121.5324506
士林區,台北市士林區大北路,1850,公寓,54.0年,建坪31.10,主31.10,3/4樓,3房(室)2廳1衛,0,25.0897526825582,121.526629250312
士林區,台北市士林區福港街,1598,公寓,47.5年,建坪26.44,主+陽26.44,2/5樓,3房(室)2廳1衛,0,25.0832168,121.5179416
士林區,台北市士林區劍潭路,1998,住宅大樓,17.1年,建坪27.83,主+陽10.08,7/14樓,1房(室)1廳1衛,1,25.0839801324,121.523986919
士林區,台北市士林區小東街,1680,公寓,48.8年,建坪24.02,主+陽24.02,3/5樓,4房(室)2廳2衛(含加蓋1房(室)--廳--衛),0,25.089404,121.5263498
