區域,地址,價格,類型,屋齡,總坪數,實際坪數,樓層,規格,車位,緯度,經度
大同區,台北市大同區酒泉街,4988,華廈,14.8年,建坪86.13,主+陽49.71,2/7樓,6房(室)3廳3衛,2,25.0722533777,121.511824101
大同區,台北市大同區哈密街,1888,公寓,43.2年,建坪38.62,主+陽34.12,4/5樓,3房(室)2廳2衛,0,25.0757842113,121.51654846
大同區,台北市大同區寧夏路,1480,住宅大樓,29.4年,建坪17.94,主+陽11.02,7/14樓,1房(室)1廳1衛,0,25.0547129466,121.51499769
大同區,台北市大同區延平北路二段,3980,住宅大樓,2.3年,建坪38.47,主+陽22.73,7/12樓,3房(室)2廳2衛,1,25.0581532917,121.511405565
大同區,台北市大同區南京西路,1688,住宅大樓,47.3年,建坪20.01,主+陽15.72,9/14樓,2房(室)2廳1衛,1,25.0536731167,121.511111482
大同區,台北市大同區民權西路,1480,住宅大樓,17.7年,建坪12.18,主+陽7.91,6/14樓,1房(室)1廳1衛(含加蓋1房(室)--廳--衛),1,25.0627688019438,121.516705343402
大同區,台北市大同區民族西路,1898,公寓,58.5年,建坪18.53,主18.53,1/4樓,2房(室)1廳1衛,0,25.0676371592,121.511489498
大同區,台北市大同區大龍街,3490,華廈,31.0年,建坪60.77,主+陽+露48.97,5~6/6樓,3房(室)2廳2衛,0,25.0680061754,121.516693771
大同區,台北市大同區迪化街二段,1288,公寓,55.9年,建坪17.65,主17.65,4/4樓,3房(室)2廳1衛(含加蓋1房(室)1廳--衛),0,25.0709069392,121.51151704
大同區,台北市大同區迪化街二段,1398,公寓,51.1年,建坪18.85,主+陽18.85,4/4樓,3房(室)2廳2衛(含加蓋2房(室)1廳1衛),0,25.070333091808,121.51164344776
大同區,台北市大同區涼州街,1598,公寓,51.6年,建坪17.00,主+平17.00,1/4樓,--房(室)1廳1衛,0,25.059945272,121.510759956
大同區,台北市大同區民生西路,1750,公寓,55.6年,建坪22.73,主22.73,4/4樓,3房(室)3廳1衛(含加蓋1房(室)1廳--衛),0,25.0569740958,121.508972412
大同區,台北市大同區哈密街,1998,華廈,8.9年,建坪26.31,主+陽12.36,7/7樓,1房(室)1廳1衛,1,25.0736698491,121.517861556
大同區,台北市大同區環河北路一段,2688,華廈,31.9年,建坪35.81,主+陽29.70,7/7樓,2房(室)2廳1衛,1,25.0590683504,121.508892592
