區域,地址,價格,類型,屋齡,總坪數,實際坪數,樓層,規格,車位,緯度,經度
大安區,台北市大安區忠孝東路三段,43030,住宅大樓,4.0年,建坪180.88,主+陽101.17,20/30樓,--房(室)1廳--衛,3,25.0414545014,121.542127085
大安區,台北市大安區敦化南路二段,6000,住宅大樓,40.3年,建坪40.67,主+陽34.16,26/26樓,5房(室)2廳3衛(含加蓋3房(室)--廳1衛),1,25.0276631,121.5483706
大安區,台北市大安區和平東路三段,4588,住宅大樓,42.0年,建坪49.98,主+陽46.78,9/12樓,4房(室)2廳3衛,1,25.0246488096,121.550443112
大安區,台北市大安區樂利路,2498,公寓,44.1年,建坪31.36,主+陽31.36,5/5樓,3房(室)2廳2衛,0,25.0291727903,121.551744061
大安區,台北市大安區辛亥路一段,6660,住宅大樓,35.2年,建坪60.60,主+陽38.12,17/27樓,3房(室)2廳2衛,1,25.0218175838,121.531086364
大安區,台北市大安區瑞安街,13980,住宅大樓,1.8年,建坪95.87,主+陽47.44,10/21樓,--房(室)1廳3衛,2,25.0265004,121.5397792
大安區,台北市大安區建國南路一段,3980,住宅大樓,35.8年,建坪34.88,主+陽29.07,10/15樓,3房(室)2廳2衛,1,25.0440151368,121.536218366
大安區,台北市大安區安和路二段,2780,華廈,0.6年,建坪17.13,主+陽10.35,4/5樓,2房(室)2廳1衛,1,25.0263619898054,121.550609812268
大安區,台北市大安區敦化南路一段,8288,華廈,30.6年,建坪66.62,主+陽40.99,10/10樓,3房(室)2廳2衛,1,25.0343483,121.548439
大安區,台北市大安區瑞安街,2496,華廈,10.8年,建坪20.13,主+陽10.72,2/7樓,1房(室)1廳1衛,1,25.0297470451,121.540660084
大安區,台北市大安區信義路四段,4780,華廈,40.7年,建坪46.84,主+陽40.35,2/7樓,4房(室)2廳2衛,1,25.0347876,121.5541667
大安區,台北市大安區富陽街,1838,公寓,46.6年,建坪29.09,主+陽29.09,5/5樓,3房(室)2廳2衛,0,25.0193416,121.5568554
大安區,台北市大安區大安路一段,9998,華廈,55.3年,建坪83.70,主83.70,2/7樓,4房(室)2廳2.5衛,1,25.0391288,121.5458963
大安區,台北市大安區新生南路一段,2650,住宅大樓,5.0年,建坪14.76,主+陽8.92,10/12樓,1房(室)1廳1衛(含加蓋1房(室)--廳--衛),1,25.0358437,121.5330331
大安區,台北市大安區新生南路三段,4380,華廈,42.2年,建坪40.72,主+陽35.84,4/6樓,4房(室)2廳2衛,1,25.0203604425,121.533519247
大安區,台北市大安區辛亥路一段,3499,公寓,48.6年,建坪35.15,主+陽35.16,4/5樓,3房(室)2廳2衛,0,25.020223,121.530439
大安區,台北市大安區瑞安街,9998,住宅大樓,9.2年,建坪79.33,主+陽37.50,4/12樓,3房(室)2廳3衛,2,25.0275800385,121.539074616
大安區,台北市大安區市民大道三段,13588,住宅大樓,10.2年,建坪97.31,主+陽53.69,6/23樓,3房(室)2廳2衛,2,25.0444418516,121.537872609
大安區,台北市大安區大安路一段,6388,住宅大樓,48.6年,建坪56.44,主+陽49.88,12/12樓,6房(室)3廳3衛(含加蓋1房(室)1廳1衛),1,25.0425330114,121.546271169
大安區,台北市大安區復興南路一段,2688,住宅大樓,1.9年,建坪15.92,主+陽9.86,11/15樓,1房(室)1廳1衛,1,25.042820551,121.54355407
大安區,台北市大安區忠孝東路三段,3388,住宅大樓,38.9年,建坪38.47,主+陽27.97,2/14樓,3房(室)2廳2衛,0,25.0414452516,121.541129297
大安區,台北市大安區大安路一段,5960,住宅大樓,48.5年,建坪56.44,主+陽49.88,9/12樓,4房(室)2廳2衛,0,25.0425330114,121.546271169
大安區,台北市大安區泰順街,4250,公寓,48.9年,建坪52.91,主+陽52.91,3/5樓,4房(室)2廳2衛,0,25.0247094,121.5297522
大安區,台北市大安區復興南路一段,3280,住宅大樓,44.2年,建坪35.42,主+陽30.23,9/16樓,3房(室)2廳2衛,1,25.0435549,121.5436036
大安區,台北市大安區大安路一段,6980,華廈,48.2年,建坪54.27,主+陽46.28,7/7樓,5房(室)4廳3衛(含加蓋2房(室)2廳1衛),1,25.0357877,121.5461778
大安區,台北市大安區安和路二段,3988,華廈,42.3年,建坪35.24,主+陽29.95,5/7樓,3房(室)2廳2衛,1,25.0291760252,121.551184519
大安區,台北市大安區復興南路一段,5200,住宅大樓,47.1年,建坪45.63,主+陽40.72,9/14樓,1房(室)1廳2衛,1,25.0364289,121.5439997
大安區,台北市大安區辛亥路二段,5380,住宅大樓,43.1年,建坪76.83,主+陽52.34,2/26樓,4房(室)2廳2衛,1,25.0216715504,121.540865064
大安區,台北市大安區忠孝東路四段,8888,華廈,38.7年,建坪81.81,主+陽64.30,6/13樓,5房(室)2廳2衛,1,25.0395735,121.5544546
大安區,台北市大安區忠孝東路四段,5450,華廈,50.1年,建坪47.45,主43.38,5/7樓,2房(室)2廳2衛,0,25.0393491509,121.553210105
大安區,台北市大安區延吉街,4488,華廈,43.5年,建坪41.40,主+陽36.12,6/7樓,2房(室)2廳2衛,1,25.0400434346,121.554942737
大安區,台北市大安區辛亥路三段,1950,公寓,50.7年,建坪30.73,主30.73,2/4樓,3房(室)2廳1衛,0,25.017323641,121.549703996
大安區,台北市大安區和平東路二段,4168,華廈,50.1年,建坪41.40,主36.08,5/7樓,3房(室)2廳2衛,0,25.0244117716,121.535995777
大安區,台北市大安區忠孝東路四段,2288,華廈,47.4年,建坪20.14,主+陽17.96,2/7樓,2房(室)1廳1衛,0,25.0391587084,121.552847014
大安區,台北市大安區仁愛路四段,5880,住宅大樓,48.8年,建坪48.51,主+陽38.51,2/12樓,4房(室)2廳2衛,1,25.0381343,121.5504798
大安區,台北市大安區仁愛路四段,14688,住宅大樓,13.2年,建坪133.24,主+陽68.41,2/13樓,3房(室)2廳4衛,2,25.0367939752,121.55684652
大安區,台北市大安區羅斯福路二段,3850,公寓,46.5年,建坪40.41,主+陽40.41,5/5樓,5房(室)3廳3衛(含加蓋2房(室)1廳1衛),0,25.0247981953,121.525596377
大安區,台北市大安區安居街,2380,公寓,49.6年,建坪31.16,主31.16,4/4樓,6房(室)4廳3衛(含加蓋3房(室)2廳1衛),0,25.0184441,121.5522584
大安區,台北市大安區忠孝東路四段,4480,華廈,48.0年,建坪36.28,主+陽36.28,2/7樓,4房(室)1廳2衛(含加蓋2房(室)--廳--衛),0,25.0427285741,121.553086034
大安區,台北市大安區溫州街,7268,華廈,43.0年,建坪48.08,主+平38.29,1/7樓,4房(室)2廳2衛,1,25.0240374436665,121.532773019639
大安區,台北市大安區光復南路,5980,華廈,44.4年,建坪55.83,主+平29.86,B1~1/7樓,3房(室)3廳2.5衛(含加蓋--房(室)--廳1衛),1,25.036555,121.5560217
大安區,台北市大安區敦化南路一段,7988,華廈,30.5年,建坪66.62,主+陽40.99,7/10樓,3房(室)2廳2衛,1,25.0344021204158,121.548451200209
大安區,台北市大安區敦化南路一段,2188,華廈,12.2年,建坪27.05,主+陽9.49,3/7樓,1房(室)1廳1衛,1,25.0429727242,121.550368438
大安區,台北市大安區和平東路三段,3350,住宅大樓,40.0年,建坪44.13,主+陽36.10,4/12樓,4房(室)2廳2衛,0,25.0210470754,121.555898333
大安區,台北市大安區延吉街,2860,住宅大樓,47.6年,建坪28.05,主+陽23.66,3/7樓,2房(室)2廳1衛,0,25.0433526891,121.554804712
大安區,台北市大安區和平東路二段,4580,公寓,56.4年,建坪--,無資料,1/4樓,3房(室)2廳2衛(含加蓋--房(室)--廳2衛),0,25.0271840406,121.542127382
大安區,台北市大安區復興南路二段,4300,住宅大樓,38.7年,建坪41.24,主+陽33.84,4/18樓,3房(室)2廳2衛,1,25.023843342,121.543561882
大安區,台北市大安區市民大道四段,2430,華廈,42.1年,建坪23.74,主+陽21.22,4/7樓,2房(室)2廳1衛,0,25.0447263476774,121.55684971655
大安區,台北市大安區安和路二段,2220,華廈,0.8年,建坪14.18,主+陽8.57,3/5樓,--房(室)--廳1衛,1,25.026365635383,121.550570920238
大安區,台北市大安區和平東路三段,2988,住宅大樓,40.8年,建坪30.64,主+陽22.78,7/19樓,3房(室)2廳1衛,0,25.0274097135,121.546679357
大安區,台北市大安區通化街,4500,公寓,44.8年,建坪45.31,主+平28.25,B1~1/5樓,2房(室)2廳1衛,0,25.0316054322349,121.555620549738
大安區,台北市大安區仁愛路四段,5980,住宅大樓,42.2年,建坪48.65,主+陽40.35,2/14樓,2房(室)1廳1衛,1,25.0380074924,121.555748587
大安區,台北市大安區市民大道三段,9880,透天厝,67.1年,建坪51.49,主51.49,1~2/2樓,2房(室)3廳4衛(含加蓋1房(室)1廳--衛),0,25.0446840579,121.535049657
大安區,台北市大安區市民大道三段,5488,透天厝,63.4年,建坪21.71,主21.71,1~2/2樓,1房(室)2廳1衛(含加蓋--房(室)--廳1衛),1,25.0443690117,121.541552608
大安區,台北市大安區忠孝東路四段,5318,住宅大樓,50.9年,建坪--,無資料,11/12樓,3房(室)2廳2衛,0,25.041394,121.545296
