區域,建案名稱,地址,價格,類型,屋齡,總坪數,實際坪數,樓層,規格,車位
文山區,景仁巷寬邊間美居,台北市文山區景仁街,2288 萬,公寓,46.1年,建坪32.49,主+陽32.49,2/4樓,3房(室)2廳2衛,0
文山區,邊間清幽全新兩房,台北市文山區萬盛街,2288 萬 (含車位價),華廈,9.6年,建坪31.84,主+陽12.30,2/8樓,2房(室)2廳1衛(含加蓋1房(室)--廳--衛),1
文山區,未政捷運景觀三房,台北市文山區政大一街,2480 萬 (含車位價),華廈,23.2年,建坪43.96,主+陽30.72,3/7樓,3房(室)2廳1衛,1
文山區,南方綠意景觀三房,台北市文山區辛亥路四段,2988 萬 (含車位價),住宅大樓,30.6年,建坪56.45,主+陽27.70,14/18樓,3房(室)2廳2衛,1
文山區,景明捷運好宅,台北市文山區景明街,1680 萬,公寓,48.6年,建坪20.64,主+陽20.65,4/4樓,5房(室)3廳3衛(含加蓋2房(室)2廳1衛),0
文山區,萬芳景觀三房美寓,台北市文山區萬美街一段,1738 萬,公寓,39.1年,建坪34.19,主+陽27.14,4/4樓,4房(室)3廳3衛(含加蓋1房(室)1廳1衛),0
文山區,捷運邊間採光二樓,台北市文山區辛亥路五段,1780 萬,公寓,44.8年,建坪37.99,主+陽38.00,2~3/5樓,3房(室)2廳2衛,0
文山區,萬美電梯精美小宅,台北市文山區萬美街二段,998 萬,住宅大樓,42.5年,建坪14.15,主+陽10.85,2/12樓,1房(室)1廳1衛,0
文山區,捷運電梯三房車位,台北市文山區木新路二段,2750 萬 (含車位價),華廈,31.0年,建坪40.92,主+陽28.74,5/10樓,3房(室)2廳2衛,1
文山區,景美景觀樓中樓,台北市文山區羅斯福路六段,7280 萬 (含車位價),住宅大樓,20.7年,建坪100.29,主+陽56.68,19~20/20樓,4房(室)2廳3衛(含加蓋1房(室)--廳1衛),1
文山區,綠境景觀森活雅居,台北市文山區木柵路二段,1968 萬,住宅大樓,29.5年,建坪34.60,主+陽27.25,4/17樓,3房(室)2廳2衛,0
文山區,公園綠景三房雙車,台北市文山區秀明路一段,3880 萬 (含車位價),住宅大樓,16.9年,建坪57.99,主+陽31.30,5/11樓,2房(室)2廳2衛,1
文山區,公園富境機能好宅,台北市文山區興隆路四段,1398 萬,公寓,44.8年,建坪26.20,主+陽+露24.36,5/5樓,6房(室)3廳2衛(含加蓋2房(室)2廳1衛),0
文山區,景美河濱電梯別墅,台北市文山區和興路,7980 萬 (含車位價),透天厝,17.4年,建坪110.78,主+陽87.74,B1~5/5樓,6房(室)4廳5衛,1
文山區,觀星遠景方正三房,台北市文山區木柵路二段,1988 萬 (含車位價),住宅大樓,29.5年,建坪34.38,主+陽22.80,12/17樓,3房(室)2廳2衛,1
文山區,景美捷運成家首選,台北市文山區景興路,1450 萬,公寓,43.6年,建坪24.42,主+陽24.42,4/5樓,3房(室)2廳1衛,0
文山區,捷運露臺三房平車,台北市文山區辛亥路四段,3688 萬 (含車位價),住宅大樓,22.5年,建坪62.23,主+陽34.37,7/11樓,3房(室)2廳2衛,1
文山區,國小捷運三房公寓,台北市文山區辛亥路四段,1430 萬,公寓,43.5年,建坪33.61,主+陽33.61,5/5樓,3房(室)2廳1衛,0
文山區,文湖邊間明亮小宅,台北市文山區萬安街,1198 萬,華廈,30.9年,建坪17.15,主+陽+露12.66,5/5樓,2房(室)1廳1衛(含加蓋1房(室)--廳--衛),0
