區域,地址,價格,類型,屋齡,總坪數,實際坪數,樓層,規格,車位,緯度,經度
松山區,台北市松山區光復南路,4790,華廈,38.4年,建坪59.26,主+陽45.70,2/6樓,3房(室)2廳2衛,1,25.0477428004,121.559610372
松山區,台北市松山區南京東路五段,2500,住宅大樓,43.4年,建坪25.04,主+陽19.28,9/16樓,2房(室)2廳1衛,1,25.0511737592,121.565676166
松山區,台北市松山區興安街,2750,公寓,43.7年,建坪29.66,主+陽29.66,4/5樓,3房(室)2廳2衛,0,25.0558589,121.544871
松山區,台北市松山區延壽街,4350,住宅大樓,19.8年,建坪51.80,主+陽28.75,3/11樓,3房(室)2廳2衛,1,25.0568353654,121.567773135
松山區,台北市松山區三民路,3588,華廈,51.6年,建坪238.57,主41.83,2/8樓,3房(室)--廳3衛,0,25.0575418842716,121.56387251091
松山區,台北市松山區民權東路三段,7688,華廈,46.1年,建坪65.10,主+平41.37,1/7樓,5房(室)--廳2衛(含加蓋--房(室)--廳1衛),0,25.0599964919,121.548214201
松山區,台北市松山區民權東路五段,2180,公寓,46.5年,建坪28.56,主+陽28.55,5/5樓,5房(室)3廳3衛(含加蓋2房(室)1廳1衛),0,25.0627778756,121.563947556
松山區,台北市松山區八德路三段,5980,公寓,53.1年,建坪33.67,主33.67,1/4樓,4房(室)3廳3衛(含加蓋1房(室)1廳1衛),0,25.0460745805,121.552303072
松山區,台北市松山區松河街,3350,住宅大樓,10.9年,建坪37.08,主+陽20.66,6/15樓,2房(室)2廳1衛,1,25.0506909316,121.573237686
松山區,台北市松山區光復南路,4500,華廈,42.6年,建坪49.04,主+平26.73,1/7樓,4房(室)3廳2衛,1,25.0459455052,121.558785656
松山區,台北市松山區民生東路四段,5988,華廈,50.0年,建坪77.40,主30.02,B1~1/7樓,8房(室)2廳2衛,0,25.0586700537,121.550422641
松山區,台北市松山區健康路,4988,住宅大樓,28.6年,建坪54.70,主+陽33.91,3/13樓,4房(室)2廳2衛,1,25.0535511483,121.553466368
松山區,台北市松山區八德路三段,3150,透天厝,61.2年,建坪19.85,主19.85,1~2/2樓,2房(室)3廳3衛(含加蓋1房(室)--廳1衛),0,25.045601444,121.550408846
松山區,台北市松山區八德路三段,2999,公寓,39.2年,建坪37.07,主+陽33.89,2/5樓,3房(室)2廳2衛,0,25.0488870478,121.556377175
松山區,台北市松山區南京東路四段,4780,華廈,48.0年,建坪45.19,主+陽40.76,2/7樓,3房(室)2廳2衛,0,25.0529486744682,121.551276098688
松山區,台北市松山區光復北路,7500,住宅大樓,21.1年,建坪78.93,主+陽35.69,7/11樓,3房(室)2廳2衛,2,25.0490798928,121.557228164
松山區,台北市松山區富錦街,2600,公寓,47.2年,建坪32.02,主+陽32.02,5/5樓,3房(室)2廳2衛,0,25.0628671735,121.566829993
松山區,台北市松山區敦化南路一段,6060,華廈,42.3年,建坪43.41,主+陽41.58,7/7樓,4房(室)3廳3衛(含加蓋2房(室)1廳1衛),1,25.0453663629,121.549262699
松山區,台北市松山區八德路三段,4688,華廈,40.1年,建坪45.39,主+陽42.55,3/6樓,3房(室)2廳2衛,1,25.0453878027,121.552235762
松山區,台北市松山區八德路三段,6088,華廈,48.7年,建坪61.97,主+陽61.97,4/7樓,4房(室)2廳2衛,1,25.046561918,121.551600493
松山區,台北市松山區吉祥路,4580,華廈,33.2年,建坪55.61,主+陽36.75,4/7樓,4房(室)2廳2衛,1,25.0499362938,121.562620064
松山區,台北市松山區南京東路五段,3988,華廈,41.2年,建坪43.84,主+陽37.44,3/7樓,4房(室)2廳2衛,0,25.0491597695971,121.559652875432
松山區,台北市松山區南京東路五段,3350,住宅大樓,41.5年,建坪40.18,主+陽30.45,7/14樓,3房(室)2廳2衛,1,25.0517125401,121.5595555
松山區,台北市松山區復興北路,3078,住宅大樓,40.8年,建坪31.44,主+陽24.81,7/14樓,3房(室)2廳2衛,1,25.0562108381,121.544445293
松山區,台北市松山區民生東路四段,4228,華廈,48.3年,建坪49.66,主+陽43.54,6/7樓,4房(室)2廳2衛,0,25.0583544048,121.550363248
松山區,台北市松山區八德路四段,1950,住宅大樓,12.2年,建坪16.95,主+陽10.86,4/13樓,1房(室)1廳1衛,0,25.0498156,121.5746885
松山區,台北市松山區八德路四段,1788,住宅大樓,12.2年,建坪15.27,主8.91,10/13樓,1房(室)1廳1衛(含加蓋1房(室)--廳--衛),0,25.0498449388,121.574602098
松山區,台北市松山區民生東路五段,3300,華廈,44.2年,建坪47.33,主+平37.41,1/7樓,4房(室)3廳3衛(含加蓋1房(室)--廳--衛),0,25.0586221638,121.565308781
松山區,台北市松山區延壽街,6318,住宅大樓,2.5年,建坪54.89,主+陽28.36,3/15樓,3房(室)2廳2衛,1,25.0571710059,121.568525148
松山區,台北市松山區,5168,住宅大樓,--年,建坪46.29,主+陽24.70,14/24樓,3房(室)2廳2衛,1,25.0568074382562,121.565175386924
松山區,台北市松山區八德路四段,1720,公寓,47.1年,建坪23.39,主+陽23.38,4/5樓,2房(室)2廳2衛,0,25.0491818592,121.56640098
松山區,台北市松山區,2988,住宅大樓,--年,建坪31.18,主+陽13.17,11/12樓,2房(室)1廳1衛,1,25.0654719954912,121.544497858965
松山區,台北市松山區健康路,4288,住宅大樓,47.6年,建坪45.44,主+陽34.53,6/13樓,3房(室)2廳2衛,1,25.053342237,121.558205989
