區域,地址,價格,類型,屋齡,總坪數,實際坪數,樓層,規格,車位,緯度,經度
萬華區,台北市萬華區康定路,6800,透天厝,100.7年,建坪23.33,主23.33,1~2/2樓,4房(室)3廳1衛(含加蓋2房(室)1廳1衛),0,25.0347019,121.5009898
萬華區,台北市萬華區青年路,2500,住宅大樓,39.0年,建坪40.23,主+陽31.47,9/12樓,4房(室)2廳2衛,0,25.0255839314,121.50442269
萬華區,台北市萬華區桂林路,1498,公寓,55.1年,建坪28.55,主+陽28.54,3/4樓,4房(室)1廳1衛,0,25.0364182453,121.492365014
萬華區,台北市萬華區西園路二段,1270,公寓,53.2年,建坪23.78,主+陽23.78,4/4樓,3房(室)2廳1衛(含加蓋--房(室)1廳--衛),0,25.0264419819,121.490362374
萬華區,台北市萬華區青年路,850,公寓,50.8年,建坪11.61,主9.83,4/5樓,2房(室)1廳2衛,0,25.020235109,121.502335117
萬華區,台北市萬華區長泰街,1688,公寓,54.1年,建坪32.10,主32.10,4/4樓,5房(室)3廳2衛(含加蓋2房(室)1廳1衛),0,25.0208832,121.4931772
萬華區,台北市萬華區莒光路,1880,公寓,49.5年,建坪29.85,主+陽25.38,4/5樓,3房(室)2廳1衛,0,25.0305556,121.5030792
萬華區,台北市萬華區青年路,2680,住宅大樓,38.8年,建坪33.52,主+平26.17,1/12樓,3房(室)2廳2衛,0,25.0256922003108,121.503690953324
萬華區,台北市萬華區西藏路,2680,華廈,30.0年,建坪34.99,主+平24.59,1/8樓,3房(室)2廳2衛,0,25.0265823855,121.503321554
萬華區,台北市萬華區康定路,1688,透天厝,--年,建坪11.91,主11.91,1/1樓,3房(室)1廳1衛(含加蓋1房(室)--廳0.5衛),0,25.03426,121.501806
萬華區,台北市萬華區萬大路,1488,工廠,55.4年,建坪19.64,主+平19.64,1/4樓,2房(室)2廳1衛(含加蓋--房(室)--廳1衛),1,25.0199562472,121.496330464
萬華區,台北市萬華區華西街,880,公寓,54.6年,建坪13.12,主13.12,2/5樓,2房(室)--廳2衛,0,25.0389155101,121.49895562
萬華區,台北市萬華區水源路,2600,住宅大樓,28.2年,建坪45.67,主+陽27.37,1/16樓,3房(室)1廳1衛,1,25.0192154,121.502311
萬華區,台北市萬華區西園路二段,1320,住宅大樓,42.8年,建坪15.89,主+陽13.29,12/12樓,1房(室)1廳1衛,1,25.0247555462,121.491892973
萬華區,台北市萬華區東園街,1650,工廠,53.3年,建坪26.75,主26.75,3/4樓,3房(室)1廳1衛,1,25.0250296865,121.496950106
萬華區,台北市萬華區興義街,1398,公寓,55.8年,建坪27.29,主27.29,3/4樓,3房(室)2廳1衛,0,25.0264755009,121.491638202
萬華區,台北市萬華區中華路二段,4088,住宅大樓,13.7年,建坪52.88,主+陽31.39,7/14樓,3房(室)2廳2衛,1,25.0287268,121.5036807
萬華區,台北市萬華區環河南路二段,888,公寓,52.1年,建坪19.57,主19.57,2/5樓,2房(室)1廳1衛,0,25.0343721773,121.493859583
萬華區,台北市萬華區西園路二段,488,公寓,54.4年,建坪9.20,主+陽9.20,3/5樓,--房(室)2廳1衛(含加蓋--房(室)1廳--衛),0,25.0270136414,121.491152481
萬華區,台北市萬華區國興路,1738,住宅大樓,43.6年,建坪24.70,主+陽18.78,2/12樓,3房(室)2廳1衛,0,25.0241241723025,121.50920746306
萬華區,台北市萬華區莒光路,5980,住宅大樓,8.2年,建坪78.48,主+陽38.55,2/15樓,3房(室)2廳2衛,2,25.0308983380987,121.497217317699
萬華區,台北市萬華區康定路,1438,套房,9.9年,建坪21.33,主+陽10.27,4/26樓,1房(室)1廳1衛,1,25.0394923796,121.502023287
萬華區,台北市萬華區貴陽街二段,5200,透天厝,56.3年,建坪57.29,主57.29,1~3/3樓,4房(室)3廳3衛,0,25.0396850609485,121.503664572045
萬華區,台北市萬華區貴陽街二段,3758,公寓,52.9年,建坪50.64,主50.64,4/4樓,7房(室)4廳7衛(含加蓋2房(室)2廳2衛),0,25.039928,121.502432
萬華區,台北市萬華區環河南路二段,2180,公寓,40.6年,建坪49.76,主+陽38.34,5/5樓,6房(室)3廳3衛(含加蓋2房(室)1廳1衛),0,25.0328379,121.490815
萬華區,台北市萬華區康定路,6800,透天厝,64.2年,建坪77.41,主77.41,1~4/4樓,7房(室)6廳5衛(含加蓋--房(室)--廳1衛),0,25.0372001984,121.501459157
萬華區,台北市萬華區環河南路一段,415,住宅大樓,48.5年,建坪5.58,主4.48,6/12樓,--房(室)1廳1衛,0,25.0450180792,121.501909166
萬華區,台北市萬華區雙園街,2500,透天厝,61.5年,建坪24.28,主24.28,1~2/2樓,1房(室)2廳1衛(含加蓋1房(室)--廳1衛),0,25.0313677719893,121.492314737344
萬華區,台北市萬華區西園路二段,3980,公寓,56.1年,建坪37.04,主37.04,1/4樓,1房(室)--廳2衛,0,25.0314216691,121.495308123
萬華區,台北市萬華區興寧街,1580,透天厝,--年,建坪9.27,主9.27,1/1樓,--房(室)1廳1衛,0,25.0323644973,121.501429675
萬華區,台北市萬華區廣州街,1588,透天厝,65.6年,建坪14.99,主14.99,1/1樓,1房(室)1廳1衛,0,25.0371678629,121.497021248
萬華區,台北市萬華區東園街,3680,透天厝,57.8年,建坪33.99,主33.99,1~2/2樓,4房(室)2廳3衛(含加蓋2房(室)--廳1衛),0,25.0260808644,121.498590897
